time,combined_hoop,combined_rr,combined_rz,combined_zz,creep_hoop,creep_rr,creep_rz,creep_zz,effective_creep,effective_plastic,elastic_hoop,elastic_rr,elastic_rz,elastic_zz,plastic_hoop,plastic_rr,plastic_rz,plastic_zz,stress_hoop,stress_rr,stress_rz,stress_zz
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,-0.0028582448780099,-0.0028582448780099,0,0.0057164897560199,-4.7257980424946e-07,-4.7257980424946e-07,0,9.4515960849892e-07,9.4515960849892e-07,0.0057155445964114,0.0028582448780099,0.0028582448780099,0,0.0042325469577633,-0.0028577722982057,-0.0028577722982057,0,0.0057155445964114,1587695755.8996,1587695755.8996,0,1799126845.0924
0.2,-0.0061137156957679,-0.0061137156957679,0,0.012227431391536,-1.0379477713784e-06,-1.0379477713784e-06,0,2.0758955427569e-06,2.0758955427569e-06,0.012225355495993,0.0061137156957679,0.0061137156957679,0,0.0075726453172158,-0.0061126777479965,-0.0061126777479965,0,0.012225355495993,3225195881.1279,3225195881.1279,0,3449646592.1199
0.3,-0.0093374341755761,-0.0093374341755761,0,0.018674868351152,-1.706440356366e-06,-1.706440356366e-06,0,3.412880712732e-06,3.412880712732e-06,0.01867145547044,0.0093374341755761,0.0093374341755761,0,0.010880163096692,-0.0093357277352198,-0.0093357277352198,0,0.01867145547044,4846724270.9937,4846724270.9937,0,5084067181.9346
0.4,-0.012530013787575,-0.012530013787575,0,0.02506002757515,-2.4887181058322e-06,-2.4887181058322e-06,0,4.9774362116645e-06,4.9774362116645e-06,0.025055050138938,0.012530013787575,0.012530013787575,0,0.014155729439381,-0.012527525069469,-0.012527525069469,0,0.025055050138938,6452589468.9959,6452589468.9959,0,6702699569.2738
0.5,-0.01569205040345,-0.01569205040345,0,0.031384100806901,-3.3957469128237e-06,-3.3957469128237e-06,0,6.7914938256475e-06,6.7914938256475e-06,0.031377309313075,0.01569205040345,0.01569205040345,0,0.01739995542452,-0.015688654656538,-0.015688654656538,0,0.031377309313075,8043091165.6949,8043091165.6949,0,8305845784.321
0.6,-0.018824122963045,-0.018824122963045,0,0.03764824592609,-4.438755789703e-06,-4.438755789703e-06,0,8.8775115794061e-06,8.8775115794061e-06,0.037639368414511,0.018824122963045,0.018824122963045,0,0.020613434752434,-0.018819684207255,-0.018819684207255,0,0.037639368414511,9618520534.1444,9618520534.1444,0,9893799270.9734
0.7,-0.021926794109984,-0.021926794109984,0,0.043853588219968,-5.6292303438022e-06,-5.6292303438022e-06,0,1.1258460687605e-05,1.1258460687605e-05,0.04384232975928,0.021926794109984,0.021926794109984,0,0.023796744396855,-0.02192116487964,-0.02192116487964,0,0.04384232975928,11179160549.631,11179160549.631,0,11466845209.149
0.8,-0.025000610797581,-0.025000610797581,0,0.050001221595162,-6.9788864962131e-06,-6.9788864962131e-06,0,1.3957772992426e-05,1.3957772992426e-05,0.049987263822169,0.025000610797581,0.025000610797581,0,0.026950445227269,-0.024993631911085,-0.024993631911085,0,0.049987263822169,12725286294.524,12725286294.524,0,13025260822.168
0.9,-0.028046104866884,-0.028046104866884,0,0.056092209733768,-8.4996503406202e-06,-8.4996503406202e-06,0,1.6999300681241e-05,1.6999300681241e-05,0.056075210433087,0.028046104866884,0.028046104866884,0,0.030075082602514,-0.028037605216543,-0.028037605216543,0,0.056075210433087,14257165249.092,14257165249.092,0,14569315669.958
1,-0.031063793598345,-0.031063793598345,0,0.06212758719669,-1.0203639170022e-05,-1.0203639170022e-05,0,2.0407278340045e-05,2.0407278340045e-05,0.06210717991835,0.031063793598345,0.031063793598345,0,0.033171186937284,-0.031053589959175,-0.031053589959175,0,0.06210717991835,15775057569.05,15775057569.05,0,16099271928.887
