contact_pressure,id,nodal_area,penetration,x,y,z
1766368.5501839,12,8.0902273767057e-06,1.766368550184e-06,0.00412,0,0
1368585.8483775,13,1.618046727494e-05,1.3685858483776e-06,0.00412,0.000625,0
1124255.5480177,20,1.6180514222317e-05,1.1242555480173e-06,0.00412,0.00125,0
992483.21200647,27,1.6180561897446e-05,9.9248321200656e-07,0.00412,0.001875,0
960339.76475883,34,1.6180597188385e-05,9.6033976475962e-07,0.00412,0.0025,0
995016.96746811,41,1.6180618502819e-05,9.9501696746838e-07,0.00412,0.003125,0
1122339.7888165,48,1.6180626116098e-05,1.1223397888166e-06,0.00412,0.00375,0
1341980.707209,55,1.6180622907238e-05,1.3419807072094e-06,0.00412,0.004375,0
1651056.6120058,62,8.0903092258991e-06,1.6510566120049e-06,0.00412,0.005,0
