T,disp_x,disp_y,id,x,y,z
737.32271040303,0,0,0,0,0,0
732.63044449981,9.1956634755787e-07,0,1,0.00068666666666667,0,0
732.63080662568,9.1273328367488e-07,1.8146358669967e-06,2,0.00068666666666667,0.0025,0
737.32308208247,0,1.8127028925476e-06,3,0,0.0025,0
721.73031369957,1.7539685744561e-06,0,4,0.0013733333333333,0,0
721.73064820423,1.7417816830125e-06,1.8191196726225e-06,5,0.0013733333333333,0.0025,0
704.13737422129,2.4443264398263e-06,0,6,0.00206,0,0
704.13764561278,2.4288380679936e-06,1.826369794761e-06,7,0.00206,0.0025,0
680.01369363921,2.9256622951489e-06,0,8,0.0027466666666667,0,0
680.01383124872,2.9090446245328e-06,1.8363123022346e-06,9,0.0027466666666667,0.0025,0
649.71089715441,3.1357968808398e-06,0,10,0.0034333333333333,0,0
649.71075827856,3.120022582424e-06,1.8488466075627e-06,11,0.0034333333333333,0.0025,0
613.74893700668,3.0184276281689e-06,0,12,0.00412,0,0
613.74822980568,3.0028842277591e-06,1.8609998320236e-06,13,0.00412,0.0025,0
732.6320750557,8.7114045971954e-07,3.7558765059021e-06,14,0.00068666666666667,0.005,0
737.32433274892,0,3.7664000338719e-06,15,0,0.005,0
721.73195812427,1.667221707242e-06,3.7341932419728e-06,16,0.0013733333333333,0.005,0
704.13902453578,2.3341153295715e-06,3.7084626020868e-06,17,0.00206,0.005,0
680.01531495176,2.8081911749165e-06,3.6898943656911e-06,18,0.0027466666666667,0.005,0
649.7124107322,3.0236643833613e-06,3.6878589638236e-06,19,0.0034333333333333,0.005,0
613.7501967973,2.9178643081348e-06,3.714324464797e-06,20,0.00412,0.005,0
732.63378344594,7.8621252352383e-07,6.212124985054e-06,21,0.00068666666666667,0.0075,0
737.32599365542,0,6.2864867762571e-06,22,0,0.0075,0
721.73377813365,1.5132547681164e-06,6.0521760204856e-06,23,0.0013733333333333,0.0075,0
704.14102719483,2.1372322114624e-06,5.8284221301726e-06,24,0.00206,0.0075,0
680.01756756518,2.6065354719126e-06,5.5888781453103e-06,25,0.0027466666666667,0.0075,0
649.71495831443,2.8625611242501e-06,5.3951701811298e-06,26,0.0034333333333333,0.0075,0
613.75301272733,2.8313527131344e-06,5.2897831018897e-06,27,0.00412,0.0075,0
732.63463137215,1.0270536176617e-06,9.0942044664655e-06,28,0.00068666666666667,0.01,0
737.32680923756,0,9.2677251329461e-06,29,0,0.01,0
721.734705421,1.9588320581189e-06,8.7006099507914e-06,30,0.0013733333333333,0.01,0
704.14209666219,2.7346668385401e-06,8.1041111603062e-06,31,0.00206,0.01,0
680.01886714029,3.2917943278982e-06,7.3772145851414e-06,32,0.0027466666666667,0.01,0
649.71662661639,3.5792431804457e-06,6.6415404817932e-06,33,0.0034333333333333,0.01,0
613.75529546441,3.5591366319801e-06,6.1159511633793e-06,34,0.00412,0.01,0
612.7914777595,2.0124071456621e-06,0,35,0.004121,0,0
606.18672768746,1.9400616175777e-06,0,36,0.0044065,0,0
606.18636820853,1.9252774752879e-06,-3.7285947419542e-07,37,0.0044065,0.002004,0
612.79065526231,1.9957364901042e-06,-3.7238088540771e-07,38,0.004121,0.002004,0
600,1.8815155216559e-06,0,39,0.004692,0,0
600,1.8669510065927e-06,-3.7328063407821e-07,40,0.004692,0.002004,0
606.18686206611,1.9227157221356e-06,-7.3993060199919e-07,41,0.0044065,0.004008,0
612.79171029936,1.994122242896e-06,-7.5401366308917e-07,42,0.004121,0.004008,0
600,1.8618995473361e-06,-7.2641341977186e-07,43,0.004692,0.004008,0
606.18776541694,1.7574877566287e-06,-1.0921417253092e-06,44,0.0044065,0.006012,0
612.79358184226,1.8232594718332e-06,-1.1116824291253e-06,45,0.004121,0.006012,0
600,1.7079154750077e-06,-1.073427949629e-06,46,0.004692,0.006012,0
606.18877092098,1.7608685641757e-06,-1.4478844886585e-06,47,0.0044065,0.008016,0
612.79565310309,1.825333637285e-06,-1.3993013675722e-06,48,0.004121,0.008016,0
600,1.7171376569889e-06,-1.4939626657146e-06,49,0.004692,0.008016,0
606.1895881918,2.4484503938428e-06,-1.8354548144582e-06,50,0.0044065,0.01002,0
612.79740822764,2.5563375749696e-06,-1.7207162392691e-06,51,0.004121,0.01002,0
600,2.3667567669938e-06,-1.9452674496363e-06,52,0.004692,0.01002,0
