time,T_center,T_clad_inner,T_fuel_surface,T_mid_ref,u_clad_inner,u_fuel_outer,u_z_fuel_top
0,0,0,0,0,0,0,0
0.05,606.89803839052,600.68698348527,600.7823558386,605.36155973859,6.7035234456218e-09,1.5424302097356e-07,4.8813134038622e-07
0.1,613.85156625121,601.37390495893,601.54940584794,610.75017274176,1.3406102942799e-08,3.0887798910629e-07,9.786896821397e-07
0.15,620.8606633605,602.06076424619,602.30109287742,616.16571862342,2.0107729331385e-08,4.6389994176273e-07,1.471666489397e-06
0.2,627.92540413494,602.7475611792,603.03736084397,621.60807375452,2.6808393453539e-08,6.1930385579533e-07,1.9670529220281e-06
0.25,635.0458575807,603.4342955971,603.75815474705,627.07711126836,3.3508086164324e-08,7.7508464799798e-07,2.4648398345413e-06
0.3,642.22301929625,604.12104215921,604.46346918924,632.57336961435,4.0209071891961e-08,9.3125462265353e-07,2.9652218694463e-06
0.35,649.47654329001,604.80903560978,605.16934736677,638.11524296325,4.6927786241498e-08,1.0885347305227e-06,3.4703353914812e-06
0.4,656.835181485,605.49563832544,605.90739168669,643.73239758788,5.3627910557013e-08,1.2481794630123e-06,3.9823447063196e-06
0.45,664.26815223629,606.18213730849,606.64532416855,649.39334416636,6.0327044251714e-08,1.4088766345538e-06,4.4984960272069e-06
0.5,671.77605361126,606.86853160047,607.38314378443,655.09835497429,6.7025178088138e-08,1.5706325239765e-06,5.0188180842894e-06
0.55,679.35946366973,607.55482016081,608.12084941809,660.84769067074,7.3722302259127e-08,1.7334531247904e-06,5.5433383686881e-06
0.6,687.01896169589,608.24100194151,608.85843994532,666.6416123065,8.0418406887706e-08,1.8973444394858e-06,6.0720844216237e-06
0.65,694.75580411418,608.92709381386,609.59593227043,672.4806413772,8.2599370399099e-08,2.0623439932349e-06,6.6063766985257e-06
0.7,702.56963963836,609.61326484958,610.33349584088,678.36482620218,2.2034657411578e-07,2.2238303061433e-06,7.1526866088039e-06
0.75,710.46140968618,610.29941121154,611.0710256285,684.29446858041,3.7952274647621e-07,2.3862253942911e-06,7.7050209024429e-06
0.8,718.43167387822,610.98549309823,611.80848217624,690.2698041691,5.3953224626207e-07,2.5496176871062e-06,8.2619604780706e-06
0.85,726.48101841347,611.67150330396,612.54585835676,696.29109557928,7.0055199794296e-07,2.7140641672316e-06,8.823388242226e-06
0.9,734.61003236985,612.35744205466,613.28315441898,702.3586086647,8.6250654439575e-07,2.8795380571367e-06,9.3894251979962e-06
0.95,742.81930474066,613.04330752094,614.0203683364,708.47260771183,1.0255192540058e-06,3.0460925201498e-06,9.9599659609554e-06
1,751.10942572111,613.72909898866,614.75749931529,714.63335827368,1.1895959547427e-06,3.2137334726941e-06,1.0535039022997e-05
