creep_q0,creep_q1,creep_q2,creep_q3,id,plastic_q0,plastic_q1,plastic_q2,plastic_q3,stress_q0,stress_q1,stress_q2,stress_q3,x,y,z
0.00013161130099786,0.00012954851115036,0.00013120600415776,0.00012889469447784,24,0.00026948605659886,0.00025360163003624,0.00026701682134787,0.00025151830560989,5538972.1131977,5507203.2600725,5534033.6426957,5503036.6112198,0.00426375,0.001002,0
0.00012571460281519,0.0001238412516519,0.0001254031498921,0.00012355032904939,25,0.00022865885220187,0.00021580030561397,0.00022757809199051,0.00021475391262308,5457317.7044037,5431600.6112279,5455156.183981,5429507.8252462,0.00454925,0.001002,0
0.00013114223826772,0.00012852705174119,0.00013104377369901,0.00012845205985138,26,0.0002670785565224,0.00025069617535871,0.00026824094923675,0.0002518199943389,5534157.1130448,5501392.3507174,5536481.8984735,5503639.9886778,0.00426375,0.003006,0
0.00012499318040956,0.00012289571099782,0.00012502932169954,0.00012294266426252,27,0.00022663595511499,0.00021277485994822,0.00022861008683929,0.00021465543349635,5453271.91023,5425549.7198964,5457220.1736786,5429310.8669927,0.00454925,0.003006,0
0.00012860632640709,0.00012629882813097,0.00012452953437544,0.00012250044064481,28,0.00026050477480948,0.00024482972826852,0.00024481578208056,0.00022970109519034,5521009.549619,5489659.456537,5489631.5641611,5459402.1903807,0.00426375,0.00501,0
0.00012290176426698,0.00012107505068748,0.00011890032863841,0.00011735039134898,29,0.00022123183263332,0.00020804505173814,0.00020345918856629,0.00019099166152551,5442463.6652666,5416090.1034763,5406918.3771326,5381983.323051,0.00454925,0.00501,0
0.00012165104973101,0.00012085167126908,0.00012413884907296,0.00012337435297533,30,0.00023309203515014,0.00022277870483903,0.00023626446956396,0.00022607357553492,5466184.0703003,5445557.4096781,5472528.9391279,5452147.1510698,0.00426375,0.007014,0
0.00011811540595055,0.00011822508151274,0.00012044105578683,0.00012062159115627,31,0.00019845407030546,0.00019196460007821,0.00019912790486422,0.00019287875609881,5396908.1406109,5383929.2001564,5398255.8097284,5385757.5121976,0.00454925,0.007014,0
0.00013292950931845,0.00013171065671796,0.00014890716647924,0.00014690207172304,32,0.00026945697756038,0.00025648548176333,0.00034577038890304,0.00032954058365626,5538913.9551208,5512970.9635267,5691540.7778061,5659081.1673125,0.00426375,0.009018,0
0.00012863280064347,0.00012829090291615,0.00014056996377571,0.00013963074784115,33,0.00022643090741402,0.00021816691493684,0.00028998459804485,0.0002785423594054,5452861.814828,5436333.8298737,5579969.1960897,5557084.7188108,0.00454925,0.009018,0
