id,stress_xx,stress_xy,stress_xz,stress_yy,stress_yz,stress_zz,x,y,z
0,1000000,-3.8285889215894e-11,-5.6242987697686e-11,-5.6388671509922e-11,1.2536087619364e-11,3.6379788070917e-11,0.5,0.5,0.5
1,1000000,-1.1418004128988e-10,-4.2351647362715e-11,-8.5492501966655e-11,-8.9361975935329e-11,-1.4551915228367e-11,1.5,0.5,0.5
