T,contact_pressure,disp_x,disp_y,id,inner_clad_tangential_force_y,nodal_area,penetration,x,y,z
300,1100000000,1.1e-05,0,7,0,1.0576695267086e-06,1.1e-05,0.00101,0,0
300,1100000000,1.1e-05,3.3448173483365e-06,8,-2.3268729587588,2.1153390534171e-06,1.1e-05,0.00101,0.00033333333333333,0
300,1100000000,1.1e-05,6.6783187961785e-06,10,-2.3268729587588,2.1153390534171e-06,1.1e-05,0.00101,0.00066666666666667,0
300,1100000000,1.1e-05,1e-05,12,-1.1634364793794,1.0576695267086e-06,1.1e-05,0.00101,0.001,0
