time,T_center,T_clad_inner,T_fuel_surface,average_effective_creep,average_effective_plastic,average_vonmises_stress,u_clad_inner,u_clad_outer,u_fuel_outer,u_z_fuel_top
0,0,0,0,0,0,0,0,0,0,0
1,602.43950790058,600.33821882554,600.36387436535,0,0,0,0,0,6.1342178124725e-08,1.8200571197448e-07
2,606.57113886114,600.8228897944,600.88496265191,0,0,0,0,0,1.5820450993328e-07,4.769940883891e-07
3,611.80540102042,601.38765529649,601.49206945885,0,0,0,0,0,2.7655983363303e-07,8.422796840768e-07
4,617.74838049057,601.99916136989,602.14937905742,0,0,0,0,0,4.0824221681157e-07,1.2517616486789e-06
5,624.15292732585,602.63851447061,602.8365989896,0,0,0,0,0,5.483854391561e-07,1.6895986152396e-06
6,630.86746533918,603.29457921318,603.54176859183,0,0,0,0,0,6.9406333678441e-07,2.1461978115686e-06
7,637.79971514497,603.96069644979,604.2577352173,1.4551900487208e-10,0,60740.202386373,-1.2728472271832e-09,-1.2264186382725e-09,8.4352490520908e-07,2.6157285750386e-06
8,644.89360938799,604.63286208623,604.98019891885,1.8144070974015e-07,0,769283.39325503,-4.4215649389573e-09,-4.3020889752505e-09,9.9572808950303e-07,3.095339581489e-06
9,652.11512691403,605.30875570352,605.70666075605,2.4404218925922e-06,0,2846176.0862067,1.3752289469902e-07,1.3063344090148e-07,1.142834809234e-06,3.5905613056302e-06
10,659.44364390839,605.98686079742,606.43549087001,1.0262888186741e-05,2.6378685327929e-06,4575574.4736181,2.8602769158998e-07,2.7163465713902e-07,1.2943577474109e-06,4.0914281956859e-06
11,666.86669553187,606.66625900485,607.16570774043,2.051829842891e-05,2.1039819377627e-05,5042079.6387553,4.411648511725e-07,4.170521688847e-07,1.4503781820729e-06,4.591691684105e-06
12,674.37680926139,607.34640682539,607.89672690658,3.107355217638e-05,4.5349735205271e-05,5090699.4704105,6.0017226566441e-07,5.6520298641436e-07,1.6092050286682e-06,5.0944383080646e-06
13,681.96957823984,608.02697880806,608.62819856197,4.1935023379605e-05,6.9701722046245e-05,5139403.4440925,7.6016920006365e-07,7.1429489029376e-07,1.7691031187189e-06,5.6015334344272e-06
14,689.64248151943,608.70777174773,609.35990439586,5.3108411543355e-05,9.4036950310002e-05,5188073.90062,9.2115870287993e-07,8.6432768375501e-07,1.9300526974583e-06,6.1128583990233e-06
15,697.3941609854,609.38866038266,610.09170982821,6.4599061358736e-05,0.00011832516065477,5236650.3213095,1.0831534440882e-06,1.0153112134836e-06,2.0920486743531e-06,6.6283472253871e-06
16,705.22397761,610.06956725238,610.82353162807,7.6412113003912e-05,0.00014254953375967,5285099.0675193,1.2461681967341e-06,1.1672579346255e-06,2.2550927940757e-06,7.1479676901748e-06
17,713.13173841333,610.75044422149,611.55531806566,8.8552573402385e-05,0.00016669973264017,5333399.4652803,1.4102171702644e-06,1.3201801807985e-06,2.4191899490777e-06,7.6717090190515e-06
18,721.11752794979,611.43126118878,612.2870367835,0.00010102535017446,0.00019076866178033,5381537.3235607,1.5753132136815e-06,1.4740892748995e-06,2.584346397218e-06,8.1995739727718e-06
19,729.18160399002,612.11199917349,613.01866736945,0.00011383526758937,0.00021475092062797,5429501.841256,1.7414677324814e-06,1.6289953620458e-06,2.7505688984167e-06,8.731573813948e-06
20,737.32433274892,612.79264607081,613.7501967973,0.00012698707358636,0.00023864204241827,5477284.0848365,1.9086908573646e-06,1.7849075111719e-06,2.9178643081348e-06,9.2677251329461e-06
