effective_creep_strain,effective_plastic_strain,id,stress_xx,stress_xy,stress_xz,stress_yy,stress_yz,stress_zz,x,y,z
0.00028295712461228,0.00070942548309656,0,201441692.06273,-409.04013758914,-409.04013759802,22841.104098356,-436.36839424027,22841.104098381,0.0005,0.0005,0.0005
0.00028298362458087,0.0007099488579543,1,201438936.39982,-1050.0983314588,-1050.0983314948,19038.762899641,-1919.3456672574,19038.762899641,0.0015,0.0005,0.0005
0.00028293055646554,0.00071005863057095,2,201430176.11603,4076.6789174363,4076.6789174482,10059.155214679,-1751.9532482951,10059.155214643,0.0025,0.0005,0.0005
0.00028255689656026,0.00070969651537111,3,201415144.08466,3112.5323595502,3112.5323595725,-4248.7747542346,54.489345306258,-4248.7747542653,0.0035,0.0005,0.0005
0.00028297273341159,0.00070939662118853,4,201432165.93546,360.14306292972,-1308.865814927,20386.819070016,-1732.8181992723,6359.4461113121,0.0005,0.0015,0.0005
0.00028301531902119,0.00071001648426701,5,201425756.70641,1678.5390596704,-7834.1054999449,24538.886015081,-7966.1847536404,-13082.200332914,0.0015,0.0015,0.0005
0.00028294481348232,0.00071006010990179,6,201417173.27149,7809.3972016012,10535.957369419,16839.032738115,-7555.7395913267,-22721.796796981,0.0025,0.0015,0.0005
0.00028245217099032,0.00070952404005779,7,201406204.90684,8267.0980543821,4019.0325888087,-3366.9117733864,-558.84505550622,-22316.657176219,0.0035,0.0015,0.0005
0.00028299596658287,0.00070954925558405,8,201429628.35462,10279.302547577,-1267.5647700747,12460.633727199,4715.1526097073,8601.3424611669,0.0005,0.0025,0.0005
0.00028304349469028,0.00071005629445656,9,201427587.23345,16444.206189884,-7809.3971642576,24288.723038889,11858.173111548,-9325.773698464,0.0015,0.0025,0.0005
0.00028296846685555,0.00070997550222197,10,201423284.38114,-1190.6054454723,9935.3064080147,22695.837992273,12309.602543369,-16017.563413549,0.0025,0.0025,0.0005
0.00028234098364141,0.00070943620900112,11,201409738.92428,3455.9346480129,3754.0579091077,-1104.6146871541,5706.9699143589,-17160.369131243,0.0035,0.0025,0.0005
