time,axial_displacement,axial_plastic,axial_stress,effective_plastic,hoop_plastic,hoop_stress,radial_plastic,radial_stress
0,0,0,0,0,0,0,0,0
0.1,2e-07,0,40000000,0,0,-2.4003444883876e-09,0,-3.0628173934247e-09
0.2,4e-07,0,80000000,0,0,-2.1507973566265e-09,0,-1.0753986783132e-09
0.3,6e-07,0,120000000,0,0,-1.4901161193848e-08,0,-1.4901161193848e-08
0.4,8e-07,0,160000000,0,0,-4.301594713253e-09,0,-2.1507973566265e-09
0.5,1e-06,0,200000000,0,0,1.4901161193848e-08,0,7.4505805969238e-09
0.6,1.2e-06,0.0001980198019802,200396039.60396,0.0001980198019802,-9.9009900990099e-05,-3.525652593053e-08,-9.9009900990099e-05,-2.5078843562189e-08
0.7,1.4e-06,0.0003960396039604,200792079.20792,0.0003960396039604,-0.0001980198019802,-5.4542035428351e-09,-0.0001980198019802,-3.8797106009997e-09
0.8,1.6e-06,0.00059405940594059,201188118.81188,0.00059405940594059,-0.0002970297029703,-1.2482900027506e-08,-0.0002970297029703,-1.0121160614752e-08
0.9,1.8e-06,0.00079207920792079,201584158.41584,0.00079207920792079,-0.0003960396039604,-1.0177682368341e-08,-0.0003960396039604,-1.3692030610677e-08
1,2e-06,0.00099009900990099,201980198.0198,0.00099009900990099,-0.00049504950495049,-1.0177682368341e-08,-0.00049504950495049,-3.5143482423353e-09
