disp_x,disp_y,disp_z,id,x,y,z
0,0,0,0,0,0,0
0.0010005014993807,0,0,1,1,0,0
0.0010005014993807,-0.00024996877344008,0,2,1,1,0
0,-0.00024996877344008,0,3,0,1,0
0,0,-0.00024996877344008,4,0,0,1
0.0010005014993807,0,-0.00024996877344008,5,1,0,1
0.0010005014993807,-0.00024996877344007,-0.00024996877344008,6,1,1,1
0,-0.00024996877344008,-0.00024996877344008,7,0,1,1
0.00050025074969035,0,0,8,0.5,0,0
0.0010005014993807,-0.00012498438672004,0,9,1,0.5,0
0.00050025074969035,-0.00024996877344008,0,10,0.5,1,0
0,-0.00012498438672004,0,11,0,0.5,0
0,0,-0.00012498438672004,12,0,0,0.5
0.0010005014993807,0,-0.00012498438672004,13,1,0,0.5
0.0010005014993807,-0.00024996877344007,-0.00012498438672004,14,1,1,0.5
0,-0.00024996877344008,-0.00012498438672004,15,0,1,0.5
0.00050025074969035,0,-0.00024996877344008,16,0.5,0,1
0.0010005014993807,-0.00012498438672004,-0.00024996877344008,17,1,0.5,1
0.00050025074969035,-0.00024996877344008,-0.00024996877344008,18,0.5,1,1
0,-0.00012498438672004,-0.00024996877344008,19,0,0.5,1
