metric,value
mode_count,12
axial_nodes,97
poisson_relaxation_modes,3
automatic_distortion_modes,0
independent_shear_modes,2
independent_axial_warping_modes,3
shear_free_distortion_modes,0
transverse_corrector_modes,0
refinement_iterations,6
algebraic_relative_residual,1.409226955875393e-07
dof_count,1188
section_basis_size,12
recovered_local_dofs,31872
active_axial_dofs,1188
constraint_count,6
strain_energy,1.4301313871304714e-06
equilibrium_relative_residual,6.4319275456720801e-08
constraint_maximum_error,4.9512501183723653e-37
external_work,2.8602627742609474e-06
global_constraint_count,0
global_system_size,1188
local_system_size,31878
section_preprocessing_seconds,0.19178421800000001
assembly_seconds,1.0167281429999999
condensation_seconds,1.155142817
solve_and_refinement_seconds,0.35635061999999973
field_recovery_seconds,0.15816099900000014
width_line_count,0
seed_mode_count,12
width_enrichment_modes,0
solid_displacement_dofs,31872
solid_elements,2048
modal_elements,32
solid_lower_interface,0.0062500000000000003
solid_upper_interface,0.19375000000000001
