family,name,squared_error_share,error_over_global_reference,relative_L2,absolute_weighted_error
region,root_0_6mm,0.001018136649270806,1.5903843679587177e-05,2.4038650889932903e-05,0.0005118956530695599
region,tip_194_200mm,5.337731578882104e-06,1.151535757368033e-06,8.652048886617247e-06,3.706438270060767e-05
region,transition_6_30mm,0.8440900499891303,0.00045792405032149633,0.001226880499371989,0.014739162149615964
region,interior_30_170mm,0.15488647563002006,0.00019615790377905466,0.0003081303119911822,0.006313717632210877
component,xx,0.38363426393238204,0.0003087150182460612,0.0015042383187180556,0.009936583825976758
component,yy,0.4100439472389482,0.00031916426927205564,0.0019026660501361608,0.010272912972930372
component,zz,0.10436246934429214,0.00016101681663150888,0.00017708384580088007,0.005182634472857654
component,xy,0.00908109376713087,4.749721472321295e-05,0.000438138565205198,0.001528788778333574
component,yz,0.06802842043533842,0.00013000027066447994,0.0006337670607221528,0.004184307566882529
component,xz,0.024849805281908346,7.857068835224291e-05,0.0003544234475826675,0.002528948010085085
