case	native_input_sha256	fuelsim_input_sha256	only_conductivity_changed
b14_nts_cax4t	650de8e8943f7e07f1db9de05e155094633be3271b8070f3d003590d8b4c8145	58ef4d2e2590b7fa2602b0b22318ef388b45032a8fd36320a2ad0318d47466c1	true
b14_nts_cax8t	926d3b24a7ec6c9300238009a9224db302174bfaeff7e32731be681ccee501ae	c0dd36fbe0700bcd85979091c2c04e3d3f4775b51d3c7231e4958256c3a2ecc6	true
