variant	bulk_conductivity	requested_contact_conductance	sample_time	sample_node	native_heat_reaction_w	isolated_contact_heat_w	inferred_conductance
original	1e-12	1000	4.0	28	2.0487259789925113e-05	2.0487259743639045e-05	0.0015887025595763455
closed1000	1e-12	1000	4.0	28	2.0487259789925113e-05	2.0487259743639045e-05	0.0015887025595763455
closed500	1e-12	500	4.0	28	2.0487259789925113e-05	2.0487259743639045e-05	0.0015887025595763455
bulk1e9	1e-09	1000	4.0	28	0.020487259789925112	0.020487259743639043	1.5887025595763455
closed1e4	1e-12	0.0001	4.0	28	1.2895592290384599e-06	1.2895591827523913e-06	0.00010000000000000002
bulk1e6	1e-06	1000	4.0	28	12.89559187380998	12.895591827523912	1000.0
bulk1e3	0.001	1000	4.0	28	12.895638113592591	12.895591827523912	1000.0
bulk1e6_half	1e-06	500	4.0	28	6.447795960048024	6.447795913761956	500.0
bulk1e6_gap	1e-06	1000	4.0	28	12.89559187380998	12.895591827523912	1000.0
pressure_only	1e-12	1000	4.0	28	2.0487259789925113e-05	2.0487259743639045e-05	0.0015887025595763455
pressure_first	1e-12	1000	4.0	28	2.0487259789925113e-05	2.0487259743639045e-05	0.0015887025595763455
pressure_last	1e-12	1000	4.0	28	2.0487259789925113e-05	2.0487259743639045e-05	0.0015887025595763455
equilibrium	1e-12	1000	4.0	28	2.0487259789925113e-05	2.0487259743639045e-05	0.0015887025595763455
