time,node,pressure,gap,shear,slip,normal_r,normal_z,tangential_r,tangential_z,heat
1.0,13,1000000.0000010004,-1.000000000001e-06,1.3363823550474347e-42,8.352389719038111e-53,-40.228093929257504,0.0,0.0,-5.376011490419678e-47,0.16607041482789056
1.0,14,1000000.0000010004,-1.000000000001e-06,4.286864949768886e-26,2.6792905936028734e-36,-80.45618785851501,0.0,0.0,-3.4490481172234394e-30,0.19387270962047662
1.0,21,1000000.0000010004,-1.000000000001e-06,4.2868649497688886e-26,2.679290593602875e-36,-80.45618785851501,0.0,0.0,-3.4490481172234416e-30,0.22167500441306265
1.0,28,1000000.0000010004,-1.000000000001e-06,4.2868649497688886e-26,2.679290593602875e-36,-80.45618785851501,0.0,0.0,-3.4490481172234416e-30,0.2494772992056487
1.0,35,1000000.0000010002,-1.000000000001e-06,-9.047501321292776e-29,-5.654688325802329e-39,-40.22809392925752,0.0,0.0,3.6396373297768324e-33,0.27727959399823476
2.0,13,1000000.000001,-1.000000000001e-06,160000.00000016004,1e-05,-40.22809392925749,0.0,0.0,-6.4364950286811995,0.1660227537511033
2.0,14,1000000.000001,-1.000000000001e-06,160000.00000016004,1e-05,-80.45618785851498,0.0,0.0,-12.872990057362399,0.19382504854368926
2.0,21,1000000.000001,-1.000000000001e-06,160000.00000016,1e-05,-80.45618785851497,0.0,0.0,-12.872990057362395,0.2216273433362754
2.0,28,1000000.000001,-1.0000000000001327e-06,160000.00000016004,1e-05,-80.45618785851498,0.0,0.0,-12.872990057362399,0.24942963812886146
2.0,35,1000000.0000009999,-1.000000000001e-06,160000.00000016,1e-05,-40.228093929257504,0.0,0.0,-6.436495028681201,0.2772319329214475
3.0,13,889980.0000009997,-8.899261415183488e-07,142379.54789046868,9.998788448217144e-06,-35.867828177647574,0.39461784561048163,-0.06313120569840674,-5.738157216724799,0.1660227070891223
3.0,14,495956.00000119436,-4.959140583470769e-07,79300.93514641933,9.99344386727708e-06,-40.12972450862371,0.5219271969591606,-0.08345360232986623,-6.416546388579591,0.1938250178055701
3.0,21,347948.00000080984,-3.479088102629258e-07,55617.19204232333,9.990212625556455e-06,-28.34187925013355,0.4254116075445031,-0.06799923860398979,-4.530262398666892,0.2216273184499342
3.0,28,445956.00000019255,-4.458914671878358e-07,71285.69316729541,9.990572664016269e-06,-36.60995128036781,0.6228817110841725,-0.0995671199307714,-5.852070055881761,0.24942960197650654
3.0,35,789980.0000009388,-7.898371770517664e-07,126346.25557330415,9.996001130816127e-06,-32.612952779636515,0.6202331359631349,-0.09919761805531407,-5.215985805831993,0.2772318613420993
4.0,13,1109952.8254658894,-1.109952825466508e-06,-177592.47376957646,-1.0000001221619156e-05,-44.73313695707797,0.49215397280177564,0.07874464526787964,7.1573027874821875,0.16611801770591814
4.0,14,756012.060702904,-7.560120607019844e-07,-121020.77511400537,-1.0004864786935908e-05,-61.17186952296449,0.795601335015677,0.12735814049820074,9.792260533461526,0.1939203238375541
4.0,21,648074.9984302971,-6.480749984305354e-07,-103770.12912059309,-1.0007534754073099e-05,-52.788529753006834,0.7923558315926298,0.12687245635609173,8.452528737914204,0.22172261913225558
4.0,28,786122.2263981152,-7.861222263981142e-07,-125861.73055287435,-1.0006533202345678e-05,-64.53528242435765,1.0980032951680114,0.17579530287013873,10.332391140833446,0.2495248965445723
4.0,35,1170128.4105802868,-1.170128410579953e-06,-187227.7163663984,-1.000038300676488e-05,-48.30671991736584,0.9186971993884749,0.1469971817780319,7.729371215586816,0.2773271490316102
