task	status	started_utc	finished_utc	runner	arguments	log
058_run_b58_reference_mass	success	2026-09-13T15:08:43.2329853Z	2026-09-13T15:08:47.3231691Z	../production/run_b58_reference_mass.ps1	"{""DestinationDirectory"": ""$SOURCE""}"	logs/058_run_b58_reference_mass.log
059_run_b526	success	2026-09-13T15:08:44.5313594Z	2026-09-13T15:08:50.7476957Z	../production/run_b526.ps1	"{""Case"": ""b526_contact_cycle"", ""SourceDirectory"": ""$SOURCE""}"	logs/059_run_b526.log
060_run_b527	success	2026-09-13T15:08:47.4743843Z	2026-09-13T15:08:54.0188459Z	../production/run_b527.ps1	"{""Case"": ""b527_medium"", ""SourceDirectory"": ""$SOURCE""}"	logs/060_run_b527.log
061_run_b528	success	2026-09-13T15:08:48.4155443Z	2026-09-13T15:08:57.4460748Z	../production/run_b528.ps1	"{""Geometry"": ""regular"", ""SourceDirectory"": ""$SOURCE""}"	logs/061_run_b528.log
062_run_b528	success	2026-09-13T15:08:49.5355938Z	2026-09-13T15:08:58.4393904Z	../production/run_b528.ps1	"{""Geometry"": ""warped"", ""SourceDirectory"": ""$SOURCE""}"	logs/062_run_b528.log
063_run_b528	success	2026-09-13T15:08:50.9993908Z	2026-09-13T15:08:59.9594699Z	../production/run_b528.ps1	"{""Geometry"": ""holdout"", ""SourceDirectory"": ""$SOURCE""}"	logs/063_run_b528.log
064_run_b529	success	2026-09-13T15:08:52.1780975Z	2026-09-13T15:08:56.0924500Z	../production/run_b529.ps1	"{""Geometry"": ""regular"", ""SourceDirectory"": ""$SOURCE""}"	logs/064_run_b529.log
065_run_b529	success	2026-09-13T15:08:55.3037570Z	2026-09-13T15:08:59.1092898Z	../production/run_b529.ps1	"{""Geometry"": ""warped"", ""SourceDirectory"": ""$SOURCE""}"	logs/065_run_b529.log
066_run_b532	success	2026-09-13T15:08:57.3939468Z	2026-09-13T15:09:01.3043159Z	../production/run_b532.ps1	"{""Geometry"": ""regular"", ""SourceDirectory"": ""$SOURCE""}"	logs/066_run_b532.log
067_run_b532	success	2026-09-13T15:08:58.5850164Z	2026-09-13T15:09:02.5118319Z	../production/run_b532.ps1	"{""Geometry"": ""warped"", ""SourceDirectory"": ""$SOURCE""}"	logs/067_run_b532.log
068_run_c3d20rt_material	success	2026-09-13T15:08:58.6888855Z	2026-09-13T15:09:02.6437945Z	../production/run_c3d20rt_material.ps1	"{""CaseName"": ""small_coupled"", ""SourceDirectory"": ""$SOURCE""}"	logs/068_run_c3d20rt_material.log
069_run_c3d20rt_material	success	2026-09-13T15:16:21.4281918Z	2026-09-13T15:16:27.4913592Z	../production/run_c3d20rt_material.ps1	"{""CaseName"": ""finite_coupled"", ""SourceDirectory"": ""$SOURCE""}"	logs/069_run_c3d20rt_material.log
070_run_c3d20rt_material	success	2026-09-13T15:08:59.7778779Z	2026-09-13T15:09:07.5174726Z	../production/run_c3d20rt_material.ps1	"{""CaseName"": ""small_plastic"", ""SourceDirectory"": ""$SOURCE""}"	logs/070_run_c3d20rt_material.log
071_run_c3d20rt_material	success	2026-09-13T15:16:21.5120422Z	2026-09-13T15:16:25.3179632Z	../production/run_c3d20rt_material.ps1	"{""CaseName"": ""finite_plastic"", ""SourceDirectory"": ""$SOURCE""}"	logs/071_run_c3d20rt_material.log
072_run_c3d20rt_material	success	2026-09-13T15:16:21.5943265Z	2026-09-13T15:16:27.5842834Z	../production/run_c3d20rt_material.ps1	"{""CaseName"": ""finite_creep"", ""SourceDirectory"": ""$SOURCE""}"	logs/072_run_c3d20rt_material.log
073_run_c3d20rt_material	success	2026-09-13T15:09:02.5844428Z	2026-09-13T15:09:10.5445233Z	../production/run_c3d20rt_material.ps1	"{""CaseName"": ""small_creep_hold"", ""SourceDirectory"": ""$SOURCE""}"	logs/073_run_c3d20rt_material.log
074_run_c3d20rt_probe	success	2026-09-13T15:09:02.8907635Z	2026-09-13T15:09:10.8591337Z	../production/run_c3d20rt_probe.ps1	"{""JobName"": ""c3d20rt_small_probe"", ""SourceDirectory"": ""$SOURCE""}"	logs/074_run_c3d20rt_probe.log
075_run_c3d20rt_contact	success	2026-09-13T15:09:04.0966730Z	2026-09-13T15:09:16.2347101Z	../production/run_c3d20rt_contact.ps1	"{""JobName"": ""c3d20rt_contact_friction"", ""SourceDirectory"": ""$SOURCE""}"	logs/075_run_c3d20rt_contact.log
076_run_c3d20rt_contact	success	2026-09-13T15:09:08.9145667Z	2026-09-13T15:10:02.3193723Z	../production/run_c3d20rt_contact.ps1	"{""JobName"": ""c3d20rt_finite_contact_frictionless"", ""SourceDirectory"": ""$SOURCE""}"	logs/076_run_c3d20rt_contact.log
077_run_b7_rz	success	2026-09-13T15:15:18.6753369Z	2026-09-13T15:15:23.6954898Z	../production/run_b7_rz.ps1	"{""Cases"": ""b70_rz_small_coupled"", ""DestinationDirectory"": ""$SOURCE""}"	logs/077_run_b7_rz.log
078_run_b7_rz	success	2026-09-13T15:15:24.2610720Z	2026-09-13T15:15:29.2152984Z	../production/run_b7_rz.ps1	"{""Cases"": ""b71_rz_finite_coupled"", ""DestinationDirectory"": ""$SOURCE""}"	logs/078_run_b7_rz.log
079_run_b7_rz	success	2026-09-13T15:15:25.3642635Z	2026-09-13T15:15:32.3738339Z	../production/run_b7_rz.ps1	"{""Cases"": ""b72_rz_small_creep"", ""DestinationDirectory"": ""$SOURCE""}"	logs/079_run_b7_rz.log
080_run_b7_rz	success	2026-09-13T15:15:29.4444717Z	2026-09-13T15:15:36.4503252Z	../production/run_b7_rz.ps1	"{""Cases"": ""b73_rz_finite_creep"", ""DestinationDirectory"": ""$SOURCE""}"	logs/080_run_b7_rz.log
081_run_b7_rz	success	2026-09-13T15:15:30.5649534Z	2026-09-13T15:15:37.5709476Z	../production/run_b7_rz.ps1	"{""Cases"": ""b74_rz_small_plastic"", ""DestinationDirectory"": ""$SOURCE""}"	logs/081_run_b7_rz.log
082_run_b7_rz	success	2026-09-13T15:15:33.2701748Z	2026-09-13T15:15:38.3548921Z	../production/run_b7_rz.ps1	"{""Cases"": ""b75_rz_finite_plastic"", ""DestinationDirectory"": ""$SOURCE""}"	logs/082_run_b7_rz.log
083_run_b7_rz	success	2026-09-13T15:15:34.3886243Z	2026-09-13T15:15:39.3375068Z	../production/run_b7_rz.ps1	"{""Cases"": ""b76_rz_small_thermal"", ""DestinationDirectory"": ""$SOURCE""}"	logs/083_run_b7_rz.log
084_run_b7_rz	success	2026-09-13T15:15:36.5678253Z	2026-09-13T15:15:41.5191615Z	../production/run_b7_rz.ps1	"{""Cases"": ""b78_rz_small_contact"", ""DestinationDirectory"": ""$SOURCE""}"	logs/084_run_b7_rz.log
085_run_b7_rz	success	2026-09-13T15:15:37.7084752Z	2026-09-13T15:15:42.7511353Z	../production/run_b7_rz.ps1	"{""Cases"": ""b79_rz_finite_contact"", ""DestinationDirectory"": ""$SOURCE""}"	logs/085_run_b7_rz.log
086_run_b8_rz	success	2026-09-13T15:09:10.5766299Z	2026-09-13T15:09:16.7966329Z	../production/run_b8_rz.ps1	"{""Cases"": ""b80_rz_small_friction"", ""DestinationDirectory"": ""$SOURCE""}"	logs/086_run_b8_rz.log
087_run_b8_rz	success	2026-09-13T15:09:10.6910700Z	2026-09-13T15:09:16.7966329Z	../production/run_b8_rz.ps1	"{""Cases"": ""b81_rz_finite_sliding"", ""DestinationDirectory"": ""$SOURCE""}"	logs/087_run_b8_rz.log
088_run_b15_cax4t	success	2026-09-13T15:09:10.8082285Z	2026-09-13T15:09:17.3438614Z	../production/run_b15_cax4t.ps1	"{""Cases"": ""b151_cax4t_small_conductivity"", ""DestinationDirectory"": ""$SOURCE""}"	logs/088_run_b15_cax4t.log
089_run_b9_rz	success	2026-09-13T15:09:11.1164755Z	2026-09-13T15:09:15.1874555Z	../production/run_b9_rz.ps1	"{""Cases"": ""b92_cax4rt_rectangle_probe"", ""DestinationDirectory"": ""$SOURCE""}"	logs/089_run_b9_rz.log
