task	status	started_utc	finished_utc	runner	arguments	log
123_run_b12_rz	success	2026-09-13T15:09:45.9699899Z	2026-09-13T15:09:52.0367446Z	../production/run_b12_rz.ps1	"{""Cases"": ""b128_cax8rt_small_plastic"", ""DestinationDirectory"": ""$SOURCE""}"	logs/123_run_b12_rz.log
124_run_b12_rz	success	2026-09-13T15:09:47.1001047Z	2026-09-13T15:09:53.4841601Z	../production/run_b12_rz.ps1	"{""Cases"": ""b129_cax8rt_finite_plastic"", ""DestinationDirectory"": ""$SOURCE""}"	logs/124_run_b12_rz.log
125_run_b12_rz	success	2026-09-13T15:09:49.6080163Z	2026-09-13T15:09:53.5987895Z	../production/run_b12_rz.ps1	"{""Cases"": ""b1210_cax8rt_small_thermal"", ""DestinationDirectory"": ""$SOURCE""}"	logs/125_run_b12_rz.log
126_run_b12_rz	success	2026-09-13T15:09:51.1548205Z	2026-09-13T15:09:57.3003286Z	../production/run_b12_rz.ps1	"{""Cases"": ""b1212_cax8rt_small_friction"", ""DestinationDirectory"": ""$SOURCE""}"	logs/126_run_b12_rz.log
127_run_b12_rz	success	2026-09-13T15:09:52.2776710Z	2026-09-13T15:09:58.4643332Z	../production/run_b12_rz.ps1	"{""Cases"": ""b1213_cax8rt_finite_sliding"", ""DestinationDirectory"": ""$SOURCE""}"	logs/127_run_b12_rz.log
128_run_b13_pcmi	success	2026-09-13T15:09:52.3635227Z	2026-09-13T15:09:58.8009322Z	../b13/run_b13_pcmi.ps1	"{""Cases"": ""b13_small_cax4t"", ""DestinationDirectory"": ""$SOURCE""}"	logs/128_run_b13_pcmi.log
129_run_b13_pcmi	success	2026-09-13T15:09:53.5108080Z	2026-09-13T15:09:59.8344763Z	../b13/run_b13_pcmi.ps1	"{""Cases"": ""b13_small_cax4rt"", ""DestinationDirectory"": ""$SOURCE""}"	logs/129_run_b13_pcmi.log
130_run_b13_pcmi	success	2026-09-13T15:09:53.8354352Z	2026-09-13T15:10:00.4600764Z	../b13/run_b13_pcmi.ps1	"{""Cases"": ""b13_small_cax8t"", ""DestinationDirectory"": ""$SOURCE""}"	logs/130_run_b13_pcmi.log
131_run_b13_pcmi	success	2026-09-13T15:09:54.9768681Z	2026-09-13T15:10:01.4552070Z	../b13/run_b13_pcmi.ps1	"{""Cases"": ""b13_small_cax8rt"", ""DestinationDirectory"": ""$SOURCE""}"	logs/131_run_b13_pcmi.log
132_run_b14_nts	success	2026-09-13T15:09:58.5985024Z	2026-09-13T15:10:04.9116110Z	../production/run_b14_nts.ps1	"{""Cases"": ""b14_nts_cax4t"", ""DestinationDirectory"": ""$SOURCE""}"	logs/132_run_b14_nts.log
133_run_b14_nts	success	2026-09-13T15:09:59.0526352Z	2026-09-13T15:10:03.2869202Z	../production/run_b14_nts.ps1	"{""Cases"": ""b14_nts_cax8t"", ""DestinationDirectory"": ""$SOURCE""}"	logs/133_run_b14_nts.log
134_run	success	2026-09-13T15:10:00.0734874Z	2026-09-13T15:10:04.2252563Z	../gps_1d/run.ps1	"{""Cases"": ""gps_uniform_axial"", ""DestinationDirectory"": ""$SOURCE""}"	logs/134_run.log
135_run	success	2026-09-13T15:10:00.7087026Z	2026-09-13T15:10:06.9739821Z	../gps_1d/run.ps1	"{""Cases"": ""gps_two_slice_contact"", ""DestinationDirectory"": ""$SOURCE""}"	logs/135_run.log
136_run	success	2026-09-13T15:10:01.6984294Z	2026-09-13T15:10:05.8267220Z	../gps_1d/run.ps1	"{""Cases"": ""gps_two_slice_chain"", ""DestinationDirectory"": ""$SOURCE""}"	logs/136_run.log
137_run	success	2026-09-13T15:10:02.5848503Z	2026-09-13T15:10:06.5072621Z	../cax4t_material_temperature_probe/run.ps1	"{""Cases"": ""elastic_moduli"", ""DestinationDirectory"": ""$SOURCE""}"	logs/137_run.log
138_run	success	2026-09-13T15:10:03.5414584Z	2026-09-13T15:10:07.4799958Z	../cax4t_material_temperature_probe/run.ps1	"{""Cases"": ""elastic_moduli_finite"", ""DestinationDirectory"": ""$SOURCE""}"	logs/138_run.log
139_run	success	2026-09-13T15:10:04.4722942Z	2026-09-13T15:10:08.4324063Z	../cax4t_material_temperature_probe/run.ps1	"{""Cases"": ""plastic_yield"", ""DestinationDirectory"": ""$SOURCE""}"	logs/139_run.log
140_run	success	2026-09-13T15:10:05.1624496Z	2026-09-13T15:10:09.1289165Z	../cax4t_material_temperature_probe/run.ps1	"{""Cases"": ""plastic_yield_finite"", ""DestinationDirectory"": ""$SOURCE""}"	logs/140_run.log
141_run	success	2026-09-13T15:10:06.0776107Z	2026-09-13T15:10:10.1932020Z	../cax4t_material_temperature_probe/run.ps1	"{""Cases"": ""plastic_hardening"", ""DestinationDirectory"": ""$SOURCE""}"	logs/141_run.log
142_run	success	2026-09-13T15:10:06.7431759Z	2026-09-13T15:10:13.0561407Z	../cax4t_material_temperature_probe/run.ps1	"{""Cases"": ""plastic_hardening_finite"", ""DestinationDirectory"": ""$SOURCE""}"	logs/142_run.log
143_run	success	2026-09-13T15:10:07.2418766Z	2026-09-13T15:10:11.3619735Z	../cax4t_material_temperature_probe/run.ps1	"{""Cases"": ""production_creep_coefficient_finite"", ""DestinationDirectory"": ""$SOURCE""}"	logs/143_run.log
144_run	success	2026-09-13T15:10:07.7251847Z	2026-09-13T15:10:13.8602654Z	../cax4t_material_temperature_probe/run.ps1	"{""Cases"": ""production_creep_exponent_finite"", ""DestinationDirectory"": ""$SOURCE""}"	logs/144_run.log
