geometry	element	local_node	node	rule	weight_m3	prediction_w	native_rfl_w	relative_error	absolute_error_w
regular	1	1	1	reference_gauss	0.06249999999999998	374999.9999999999	518957.86718750023	0.2773979860208732	143957.86718750035
regular	1	1	1	reference_corner	0.0625	375000.0	518957.86718750023	0.27739798602087296	143957.86718750023
regular	1	1	1	current_gauss	0.08525212678952525	511512.7607371515	518957.86718750023	0.014346263774162643	7445.106450348743
regular	1	1	1	current_corner	0.08612506250000002	516750.3750000001	518957.86718750023	0.004253702134748728	2207.4921875001164
regular	1	1	1	current_row_sum	0.08541645457175923	512498.72743055533	518957.86718750023	0.012446366391842763	6459.139756944904
regular	1	1	1	reference_gauss_volume_ratio	0.08649297786458329	518957.86718749977	518957.86718750023	8.973007574418275e-16	4.656612873077393e-10
regular	1	1	1	reference_corner_volume_ratio	0.08649297786458332	518957.86718749994	518957.86718750023	5.608129734011421e-16	2.9103830456733704e-10
regular	1	1	1	reference_gauss_determinant_average_f	0.08648712597656245	518922.7558593747	518957.86718750023	6.765737711196137e-05	35.11132812552387
regular	1	1	1	native_ivol	0.08649297786458338	518957.86718750023	518957.86718750023	0.0	0.0
regular	2	2	10	reference_gauss	0.06249999999999998	374999.9999999999	518957.8671875	0.27739798602087284	143957.86718750012
regular	2	2	10	reference_corner	0.0625	375000.0	518957.8671875	0.2773979860208726	143957.8671875
regular	2	2	10	current_gauss	0.08394443053544864	503666.5832126919	518957.8671875	0.029465366924061605	15291.283974808117
regular	2	2	10	current_corner	0.08166268750000007	489976.1250000004	518957.8671875	0.055846040728829455	28981.742187499593
regular	2	2	10	current_row_sum	0.08505886429398149	510353.18576388893	518957.8671875	0.016580693670267044	8604.681423611066
regular	2	2	10	reference_gauss_volume_ratio	0.08649297786458332	518957.86718749994	518957.8671875	1.1216259468022849e-16	5.820766091346741e-11
regular	2	2	10	reference_corner_volume_ratio	0.08649297786458335	518957.8671875001	518957.8671875	2.2432518936045697e-16	1.1641532182693481e-10
regular	2	2	10	reference_gauss_determinant_average_f	0.08648712597656252	518922.7558593751	518957.8671875	6.765737711072762e-05	35.111328124883585
regular	2	2	10	native_ivol	0.08649297786458333	518957.8671875	518957.8671875	0.0	0.0
regular	3	3	19	reference_gauss	0.06250000000000003	375000.0000000002	518957.86718750076	0.27739798602087334	143957.86718750058
regular	3	3	19	reference_corner	0.0625	375000.0	518957.86718750076	0.2773979860208737	143957.86718750076
regular	3	3	19	current_gauss	0.0883026447920484	529815.8687522904	518957.86718750076	0.020922703462681293	10858.001564789622
regular	3	3	19	current_corner	0.0920285624999999	552171.3749999994	518957.86718750076	0.06400039369766128	33213.50781249866
regular	3	3	19	current_row_sum	0.08702724537037028	522163.47222222167	518957.86718750076	0.00617700441096255	3205.6050347209093
regular	3	3	19	reference_gauss_volume_ratio	0.08649297786458332	518957.86718749994	518957.86718750076	1.5702763255231964e-15	8.149072527885437e-10
regular	3	3	19	reference_corner_volume_ratio	0.08649297786458328	518957.86718749965	518957.86718750076	2.131089298924338e-15	1.1059455573558807e-09
regular	3	3	19	reference_gauss_determinant_average_f	0.08648712597656254	518922.75585937523	518957.86718750076	6.765737711196131e-05	35.11132812552387
