case	capacity_rule	conduction_rule	samples	maximum_absolute_error_w	maximum_absolute_increment	maximum_absolute_node	relative_l2
original_friction_heat	current_gauss	current_physical	160	37.48406213489852	20	24	0.002703936063329748
original_friction_heat	current_gauss	current_volume_ratio	160	34.987467822004874	20	24	0.0026127732180896215
original_friction_heat	current_gauss	midpoint_physical	160	38.78632207631745	20	24	0.002849298054358633
original_friction_heat	current_gauss	midpoint_volume_ratio	160	36.42019530344896	20	24	0.002763700132980311
original_friction_heat	current_gauss	native_hfl_current	160	34.987467822003055	20	24	0.002612773218089517
original_friction_heat	current_gauss	native_hfl_midpoint	160	35.16463312331507	20	24	0.0026716026071812904
original_friction_heat	current_corner	current_physical	160	61.97709347815635	20	24	0.004581475229922381
original_friction_heat	current_corner	current_volume_ratio	160	59.48049916526179	20	24	0.004493175424652377
original_friction_heat	current_corner	midpoint_physical	160	63.27935341957436	20	24	0.0047282689603676846
original_friction_heat	current_corner	midpoint_volume_ratio	160	60.91322664670679	20	24	0.004644549513272246
original_friction_heat	current_corner	native_hfl_current	160	59.48049916526088	20	24	0.0044931754246522754
original_friction_heat	current_corner	native_hfl_midpoint	160	59.65766446657199	20	24	0.00455274744303746
original_friction_heat	reference_gauss_volume_ratio	current_physical	160	2.4965943129045627	20	24	0.00014269602483613626
original_friction_heat	reference_gauss_volume_ratio	current_volume_ratio	160	2.4556356947869062e-11	11	15	1.839788317236039e-15
original_friction_heat	reference_gauss_volume_ratio	midpoint_physical	160	3.798854254323487	20	24	0.00024557314766568373
original_friction_heat	reference_gauss_volume_ratio	midpoint_volume_ratio	160	1.4327274814550037	20	24	0.00015775706349792194
original_friction_heat	reference_gauss_volume_ratio	native_hfl_current	160	2.4101609596982598e-11	11	15	1.7923200058557645e-15
original_friction_heat	reference_gauss_volume_ratio	native_hfl_midpoint	160	1.105804920161063	20	15	9.466493479732116e-05
original_friction_heat	reference_corner_volume_ratio	current_physical	160	2.496594312903653	20	24	0.00014269602483606988
original_friction_heat	reference_corner_volume_ratio	current_volume_ratio	160	2.3646862246096134e-11	11	15	1.7514963454798815e-15
original_friction_heat	reference_corner_volume_ratio	midpoint_physical	160	3.798854254321668	20	24	0.00024557314766548267
original_friction_heat	reference_corner_volume_ratio	midpoint_volume_ratio	160	1.4327274814540942	20	24	0.00015775706349768605
original_friction_heat	reference_corner_volume_ratio	native_hfl_current	160	2.2737367544323206e-11	11	15	1.6919022934889136e-15
original_friction_heat	reference_corner_volume_ratio	native_hfl_midpoint	160	1.1058049201601534	20	15	9.466493479713019e-05
original_friction_heat	current_row_sum	current_physical	160	22.89936849649439	20	24	0.0016076554900516546
