geometry	element	reference_volume_m3	current_volume_m3	current_reference_ratio	determinant_average_f	native_ivol_sum_m3
regular	1	0.4999999999999999	0.6919438229166665	1.3838876458333331	1.3837940156249997	0.6919438229166668
regular	2	0.4999999999999999	0.6919438229166667	1.3838876458333336	1.3837940156250008	0.6919438229166667
regular	3	0.5	0.6919438229166662	1.3838876458333325	1.383794015625	0.6919438229166676
regular	4	0.4999999999999999	0.6919438229166669	1.383887645833334	1.3837940156249997	0.6919438229166668
regular	5	0.49999999999999967	0.6919438229166665	1.3838876458333338	1.383794015625001	0.691943822916668
regular	6	0.5000000000000002	0.691943822916667	1.3838876458333333	1.3837940156249988	0.6919438229166665
regular	7	0.5000000000000004	0.6919438229166663	1.3838876458333313	1.383794015624998	0.6919438229166684
regular	8	0.4999999999999998	0.6919438229166661	1.383887645833333	1.3837940156249997	0.6919438229166666
warped	9	1.3122083333333332	1.6250127812500001	1.2383801717842062	1.2382172526058686	1.6250127812500015
warped	10	1.3122083333333332	1.6250127812499997	1.238380171784206	1.2382172526058683	1.6250127812500015
warped	11	1.3122083333333332	1.6250127812499993	1.2383801717842056	1.2382172526058672	1.6250127812500006
warped	12	1.312208333333333	1.6250127812499995	1.238380171784206	1.238217252605867	1.625012781250001
warped	13	1.3122083333333328	1.6250127812500001	1.2383801717842067	1.2382172526058681	1.625012781250002
warped	14	1.3122083333333336	1.6250127812500001	1.2383801717842058	1.2382172526058672	1.6250127812500013
warped	15	1.312208333333334	1.6250127812500006	1.2383801717842058	1.2382172526058672	1.6250127812500017
warped	16	1.3122083333333336	1.6250127812500006	1.2383801717842062	1.2382172526058668	1.625012781250002
