increment	time_s	element	reference_volume_m3	current_volume_m3	native_ivol_sum_m3	current_reference_ratio	determinant_average_f	maximum_ivol_weight_difference_m3
1	0.02	1	0.4999999999999999	0.499958084659883	0.49995808465988323	0.9999161693197662	0.9999161690809234	4.85722573273506e-17
1	0.02	2	0.4999999999999999	0.4999695381206499	0.4999695381206502	0.9999390762413001	0.9999390761780553	6.938893903907228e-17
1	0.02	3	0.4999999999999999	0.4999740826352337	0.49997408263523385	0.9999481652704676	0.9999481648338663	5.551115123125783e-17
1	0.02	4	0.4999999999999999	0.5000111369497287	0.5000111369497289	1.0000222738994575	1.0000222730097224	5.551115123125783e-17
2	0.04	1	0.4999999999999999	0.4999161671929137	0.4999161671929141	0.9998323343858276	0.9998323331005147	7.632783294297951e-17
2	0.04	2	0.4999999999999999	0.49993912590251754	0.4999391259025179	0.9998782518050353	0.9998782510661849	7.632783294297951e-17
2	0.04	3	0.4999999999999999	0.4999487534442834	0.4999487534442837	0.999897506888567	0.9998975049682699	6.938893903907228e-17
2	0.04	4	0.4999999999999999	0.5000225017671137	0.500022501767114	1.0000450035342277	1.0000449999352115	6.938893903907228e-17
3	0.06	1	0.4999999999999999	0.4998742438086518	0.499874243808652	0.9997484876173038	0.9997484837528783	4.85722573273506e-17
3	0.06	2	0.4999999999999999	0.4999087847210049	0.4999087847210051	0.9998175694420101	0.999817566344618	5.551115123125783e-17
3	0.06	3	0.4999999999999999	0.49992399156710404	0.4999239915671041	0.9998479831342083	0.9998479782980882	4.163336342344337e-17
3	0.06	4	0.4999999999999999	0.5000341016559648	0.5000341016559648	1.00006820331193	1.000068195106815	2.7755575615628914e-17
4	0.08	1	0.4999999999999999	0.49983231406960266	0.49983231406960293	0.9996646281392055	0.9996646193382462	6.245004513516506e-17
4	0.08	2	0.4999999999999999	0.49987852361168433	0.49987852361168444	0.9997570472233689	0.9997570388611292	4.85722573273506e-17
4	0.08	3	0.4999999999999999	0.4998997873420436	0.49989978734204366	0.9997995746840874	0.9997995650537186	3.469446951953614e-17
4	0.08	4	0.4999999999999999	0.5000459423369606	0.5000459423369608	1.0000918846739215	1.0000918698801775	4.163336342344337e-17
5	0.1	1	0.4999999999999999	0.49979037915447444	0.4997903791544746	0.9995807583089491	0.99958074141688	4.163336342344337e-17
5	0.1	2	0.4999999999999999	0.49984834581634263	0.4998483458163429	0.9996966916326855	0.9996966739102194	6.938893903907228e-17
5	0.1	3	0.4999999999999999	0.4998761358217564	0.49987613582175633	0.999752271643513	0.9997522548971403	2.7755575615628914e-17
5	0.1	4	0.4999999999999999	0.5000580285657571	0.5000580285657574	1.0001160571315144	1.0001160336809443	6.938893903907228e-17
6	0.12	1	0.4999999999999999	0.4997484409869364	0.4997484409869367	0.999496881973873	0.9994968531141094	6.245004513516506e-17
6	0.12	2	0.4999999999999999	0.49981825199937996	0.49981825199938007	0.9996365039987601	0.999636471736442	5.551115123125783e-17
6	0.12	3	0.4999999999999999	0.49985303360062366	0.49985303360062366	0.9997060672012476	0.9997060406004353	4.163336342344337e-17
6	0.12	4	0.4999999999999999	0.5000703645866433	0.5000703645866438	1.000140729173287	1.0001406949147704	8.326672684688674e-17
7	0.14	1	0.4999999999999999	0.4997065017887304	0.4997065017887305	0.999413003577461	0.9994129582393756	4.163336342344337e-17
7	0.14	2	0.4999999999999999	0.4997882418075613	0.4997882418075616	0.9995764836151229	0.999576430673611	6.938893903907228e-17
7	0.14	3	0.4999999999999999	0.49983047729711205	0.49983047729711183	0.9996609545942243	0.9996609150161966	4.163336342344337e-17
7	0.14	4	0.4999999999999999	0.5000829545037884	0.5000829545037887	1.000165909007577	1.0001658617099642	6.938893903907228e-17
8	0.16	1	0.4999999999999999	0.49966456446679486	0.49966456446679486	0.9993291289335899	0.9993290621702711	2.7755575615628914e-17
