increment	time_s	element	node	current_gauss	current_corner	reference_gauss_volume_ratio	reference_corner_volume_ratio	current_row_sum	native_ivol
1	0.02	1	1	0.06249441577240596	0.06249403107017444	0.06249476058248537	0.06249476058248539	0.06249458697020417	0.06249476058248542
1	0.02	1	2	0.06249819348938533	0.06250083747941498	0.06249476058248537	0.06249476058248539	0.06249671738272195	0.0624947605824854
1	0.02	1	5	0.06249599674884499	0.06249685856403624	0.06249476058248537	0.06249476058248539	0.062495482588437054	0.06249476058248541
1	0.02	1	4	0.06249249580677087	0.062490882479512	0.06249476058248537	0.06249476058248539	0.06249344443422099	0.06249476058248542
1	0.02	1	7	0.062493456347316144	0.06249245845421618	0.06249476058248537	0.06249476058248539	0.06249401588693049	0.06249476058248541
1	0.02	1	8	0.062497095676236666	0.062498849699279574	0.06249476058248537	0.06249476058248539	0.062496100170095346	0.0624947605824854
1	0.02	1	11	0.06249489668646934	0.062494864036220656	0.06249476058248537	0.06249476058248539	0.06249486462606808	0.0624947605824854
1	0.02	1	10	0.06249153413245371	0.062489303115871454	0.06249476058248539	0.06249476058248539	0.06249287260120488	0.0624947605824854
1	0.02	2	2	0.06249805426493513	0.06249943534899262	0.062496192265081234	0.062496192265081255	0.06249726382767643	0.0624961922650813
1	0.02	2	3	0.06249715826929539	0.06249784477342617	0.062496192265081234	0.062496192265081255	0.06249675396535444	0.06249619226508128
1	0.02	2	6	0.062495293959542314	0.06249464413808509	0.062496192265081234	0.062496192265081255	0.06249567213154688	0.06249619226508126
1	0.02	2	5	0.062496149301353617	0.06249611275216605	0.062496192265081234	0.062496192265081255	0.062496168442592724	0.06249619226508128
1	0.02	2	8	0.062497102836897	0.062497777206718966	0.062496192265081234	0.062496192265081255	0.062496716487374544	0.06249619226508129
1	0.02	2	9	0.06249622717501384	0.06249624763242245	0.062496192265081234	0.062496192265081255	0.06249621340297141	0.06249619226508128
1	0.02	2	12	0.06249435865277891	0.06249303435963572	0.062496192265081234	0.062496192265081255	0.06249513016500323	0.06249619226508126
1	0.02	2	11	0.06249519366083374	0.06249444197244743	0.062496192265081234	0.062496192265081255	0.06249561969813024	0.06249619226508126
1	0.02	3	13	0.062495105279216125	0.062493919934045315	0.062496760329404204	0.062496760329404225	0.06249579974699596	0.06249676032940426
1	0.02	3	14	0.06250018412478472	0.06250266670198083	0.062496760329404204	0.062496760329404225	0.06249874165193445	0.06249676032940423
1	0.02	3	17	0.062499030667685467	0.06250069991163408	0.062496760329404204	0.062496760329404225	0.06249806972680557	0.06249676032940423
1	0.02	3	16	0.06249389918844965	0.06249179524269722	0.062496760329404204	0.062496760329404225	0.06249511027731133	0.06249676032940425
1	0.02	3	19	0.06249450132653683	0.06249285486256631	0.062496760329404225	0.062496760329404225	0.06249545471047413	0.06249676032940423
1	0.02	3	20	0.06249960648445261	0.06250168056754302	0.062496760329404204	0.062496760329404225	0.062498405386195006	0.06249676032940422
1	0.02	3	23	0.06249845667784576	0.06249972472867376	0.062496760329404204	0.062496760329404225	0.062497734677896925	0.06249676032940422
1	0.02	3	22	0.06249329888626248	0.062490741122694156	0.062496760329404204	0.062496760329404225	0.06249476645762022	0.06249676032940422
