geometry	rule	samples	maximum_relative_error	maximum_absolute_error_w
regular	current_corner	8	0.13198553103878866	68494.92968749936
regular	current_gauss	8	0.048451081642293545	25144.06999201217
regular	current_row_sum	8	0.02381463901454927	12358.794270830753
regular	native_ivol	8	0.0	0.0
regular	reference_corner	8	0.27739798602087484	143957.86718750157
regular	reference_corner_volume_ratio	8	4.486503787209126e-15	2.3283064365386963e-09
regular	reference_gauss	8	0.27739798602087506	143957.8671875017
regular	reference_gauss_determinant_average_f	8	6.765737711577473e-05	35.11132812750293
regular	reference_gauss_volume_ratio	8	4.82299157124981e-15	2.5029294192790985e-09
warped	current_corner	8	0.10970674315801249	145395.69118986116
warped	current_gauss	8	0.05786780242248343	58147.102951669134
warped	current_row_sum	8	0.1274802862929048	128095.57337711798
warped	native_ivol	8	0.0	0.0
warped	reference_corner	8	0.3719065103854589	373701.52731732547
warped	reference_corner_volume_ratio	8	0.22218147643460337	223253.84140001866
warped	reference_gauss	8	0.19249353083614118	268312.467082134
warped	reference_gauss_determinant_average_f	8	0.00013155829046247798	183.37618581624702
warped	reference_gauss_volume_ratio	8	3.006684993363259e-15	4.190951585769653e-09
