increment	time_s	node	actual_rfl_w	native_rfl_w	full_difference_w	native_ivol_capacity_w	current_gauss_capacity_w	current_physical_conduction_w	current_volume_ratio_conduction_w	candidate_minus_native_w	capacity_measure_difference_w	remaining_difference_w
1	0.02	1	-5.228659603733604e-06	-5.228418886847032e-06	-2.4071688657192653e-10	0.0	0.0	-5.2284933715287796e-06	-5.228418834550607e-06	5.2296424874235473e-14	0.0	-2.4071688657192653e-10
1	0.02	4	-5.231149592386608e-06	-5.230529245463297e-06	-6.203469233111752e-10	0.0	0.0	-5.230504188549156e-06	-5.230529111262063e-06	1.342012337032534e-13	0.0	-6.203469233111752e-10
1	0.02	7	-5.229904583330376e-06	-5.229477609805099e-06	-4.269735252768306e-10	0.0	0.0	-5.229502336906185e-06	-5.2294775043707575e-06	1.0543434140618431e-13	0.0	-4.269735252768306e-10
1	0.02	10	-5.232394566290981e-06	-5.231588161989839e-06	-8.064043011422328e-10	0.0	0.0	-5.231513335290388e-06	-5.231588065142635e-06	9.684720439614904e-14	0.0	-8.064043011422328e-10
1	0.02	15	3206.00947105649	3206.18360840645	-0.17413734995989216	3156.320301995163	3156.146015173978	49.863435355703494	49.863306411286025	-2.7284841053187847e-12	-0.17428682118497818	0.0001494712250860175
1	0.02	18	3205.9910446829945	3206.183736206106	-0.19269152311153448	3156.3203019951634	3156.127653815067	49.863371567113134	49.863434210942955	-1.8189894035458565e-12	-0.19264818009651208	-4.334301502240123e-05
1	0.02	21	3206.0002260137153	3206.183672416993	-0.18344640327768502	3156.3203019951634	3156.1368025495017	49.86340340378738	49.86337042182962	-2.2737367544323206e-12	-0.18349944566170961	5.304238402459305e-05
1	0.02	24	3205.9819270968565	3206.183799774673	-0.20187267781648188	3156.320301995163	3156.11856881488	49.86333984498471	49.863497779510176	-1.8189894035458565e-12	-0.2017331802830995	-0.00013949753338238224
2	0.04	1	-3.518211395218253e-05	-3.518041020246044e-05	-1.703749722094174e-09	0.0	0.0	-3.518224912098169e-05	-3.5180410297205945e-05	-9.47455072839061e-14	0.0	-1.703749722094174e-09
2	0.04	4	-3.522000113879108e-05	-3.521326249425116e-05	-6.738644539921112e-09	0.0	0.0	-3.5212645183469795e-05	-3.5213262450297595e-05	4.395356284882593e-14	0.0	-6.738644539921112e-09
2	0.04	7	-3.520105612145575e-05	-3.519687583240033e-05	-4.180289055422072e-09	0.0	0.0	-3.519748790974907e-05	-3.519687587311134e-05	-4.071100553025564e-14	0.0	-4.180289055422072e-09
2	0.04	10	-3.523894861249156e-05	-3.522973711023734e-05	-9.211502254220273e-09	0.0	0.0	-3.522788780402395e-05	-3.5229736954962716e-05	1.5527462399623354e-13	0.0	-9.211502254220273e-09
2	0.04	15	3287.166034567364	3287.494313027913	-0.32827846054897236	3187.643448765351	3187.3141207669364	99.85180979379751	99.85086426256207	-2.2737367544323206e-12	-0.3293279984145556	0.001049537865583261
2	0.04	18	3287.096880195664	3287.495262929144	-0.3983827334795933	3187.6434487653523	3187.2454420055205	99.85134190349991	99.85181416379343	-1.8189894035458565e-12	-0.39800675983178735	-0.00037597364780594944
2	0.04	21	3287.131243289839	3287.494789462547	-0.36354617270808376	3187.6434487653523	3187.279566678535	99.85157509004534	99.85134069719513	-3.183231456205249e-12	-0.3638820868172843	0.0003359141092005302
2	0.04	24	3287.06294593241	3287.4957334422	-0.4327875097901597	3187.643448765351	3187.21174547016	99.85111022398738	99.85228467684942	-2.2737367544323206e-12	-0.4317032951908004	-0.0010842145993592567
3	0.06	1	-0.00013453159618891623	-0.0001345294809918946	-2.115197021631014e-09	0.0	0.0	-0.00013454408011011353	-0.00013452948078954228	2.0235232218134003e-13	0.0	-2.115197021631014e-09
3	0.06	4	-0.00013476436126993131	-0.0001347360872182267	-2.8274051704622362e-08	0.0	0.0	-0.00013473116483873776	-0.0001347360869395201	2.7870658255227387e-13	0.0	-2.8274051704622362e-08
