case	increment	time_s	native_ivol_storage_w	native_boundary_w	friction_power_w	thermal_balance_w
original_friction_heat	1	0.02	12824.734795888618	12824.73479588421	0.0	4.409230314195156e-09
original_friction_heat	2	0.04	13149.979958041698	13149.97995804152	0.0	1.7826096154749393e-10
original_friction_heat	3	0.06	13475.744428021633	13475.74442801893	0.0	2.7030182536691427e-09
original_friction_heat	4	0.08	13802.036816647584	13802.03681663942	0.0	8.163624443113804e-09
original_friction_heat	5	0.1	14128.865404669363	14128.8654046524	0.0	1.696207618806511e-08
original_friction_heat	6	0.12	14456.238151711823	14456.2381516813	0.0	3.052264219149947e-08
original_friction_heat	7	0.14	14784.162712667288	14784.16271261838	0.0	4.890898708254099e-08
original_friction_heat	8	0.16	15112.667803948973	15112.66780380325	0.0	1.4572287909686565e-07
original_friction_heat	9	0.18	15533.195505766655	15442.17851079241	91.01699590682985	-9.325849674723941e-07
original_friction_heat	10	0.2	15773.138524530805	15773.13852451998	0.0	1.0824805940501392e-08
original_friction_heat	11	0.22	16105.160283667854	16105.16028366458	0.0	3.2741809263825417e-09
original_friction_heat	12	0.24	16438.594409809662	16438.59440981647	0.0	-6.806658348068595e-09
original_friction_heat	13	0.26	16774.513211963684	16774.51321356515	0.0	-1.6014673747122288e-06
original_friction_heat	14	0.28	17112.877710028024	17112.87770997708	0.0	5.0942617235705256e-08
original_friction_heat	15	0.3	17452.869114040026	17452.8691135132	0.0	5.268266249913722e-07
original_friction_heat	16	0.32	17794.489402956602	17794.48940204107	0.0	9.155337465927005e-07
original_friction_heat	17	0.34	18137.739401835366	18137.73940087954	0.0	9.558243618812412e-07
original_friction_heat	18	0.36	18482.62068894397	18482.6206879873	0.0	9.566720109432936e-07
original_friction_heat	19	0.38	18829.136608150788	18829.13660714149	0.0	1.0092990123666823e-06
original_friction_heat	20	0.4	19177.29238823263	19177.29238711341	0.0	1.1192169040441513e-06
no_friction_heat	1	0.02	12824.734795888618	12824.73479588421	0.0	4.409230314195156e-09
no_friction_heat	2	0.04	13149.979958041698	13149.97995804152	0.0	1.7826096154749393e-10
no_friction_heat	3	0.06	13475.744428021633	13475.74442801893	0.0	2.7030182536691427e-09
no_friction_heat	4	0.08	13802.036816647584	13802.03681663942	0.0	8.163624443113804e-09
no_friction_heat	5	0.1	14128.865404669363	14128.8654046524	0.0	1.696207618806511e-08
no_friction_heat	6	0.12	14456.238151711823	14456.2381516813	0.0	3.052264219149947e-08
no_friction_heat	7	0.14	14784.162712667288	14784.16271261838	0.0	4.890898708254099e-08
no_friction_heat	8	0.16	15112.667804129447	15112.66780380214	0.0	3.2730713428463787e-07
no_friction_heat	9	0.18	15442.196004542668	15442.19600454024	90.99867939949034	2.4283508537337184e-09
no_friction_heat	10	0.2	15773.173593015532	15773.17359300605	0.0	9.48239176068455e-09
no_friction_heat	11	0.22	16105.212126388937	16105.21212638549	0.0	3.446984919719398e-09
no_friction_heat	12	0.24	16438.662270990055	16438.66227099679	0.0	-6.733898771926761e-09
no_friction_heat	13	0.26	16774.596338582298	16774.59634018421	0.0	-1.601911208126694e-06
no_friction_heat	14	0.28	17112.97572809385	17112.97572804298	0.0	5.086985765956342e-08
no_friction_heat	15	0.3	17452.98145005889	17452.98144953354	0.0	5.25349605595693e-07
no_friction_heat	16	0.32	17794.615504247562	17794.61550333298	0.0	9.145805961452425e-07
no_friction_heat	17	0.34	18137.87873484983	18137.87873389442	0.0	9.554096322972327e-07
no_friction_heat	18	0.36	18482.772737894324	18482.77273693819	0.0	9.56133590079844e-07
no_friction_heat	19	0.38	18829.300874015757	18829.30087300673	0.0	1.0090261639561504e-06
no_friction_heat	20	0.4	19177.468388023834	19177.46838690487	0.0	1.1189622455276549e-06
