node,temperature_k,u1_m,u2_m,u3_m,reaction_heat_flux_w
1,301,1.6310185185185199e-26,4.9837962962963008e-27,5.2708333333333356e-27,380458.15301823016
2,300,0.12,0.025000000000000001,0.040000000000000001,-1.3550882195457302e-21
3,300,0.059999999999999998,0.10000000000000001,-0.035000000000000003,-1.2094432466271708e-21
4,300,-0.014999999999999999,0.029999999999999999,0.01,6.7410105486566415e-22
5,300,0.029999999999999999,-0.02,0.080000000000000002,6.9221551777074862e-22
6,300,0.14000000000000001,0.014999999999999999,0.02,-1.1717896672026528e-21
7,300,0.089999999999999997,0.044999999999999998,0.14999999999999999,-8.4053057956628649e-22
8,300,-0.040000000000000001,0.11,0.025000000000000001,-1.567984459527445e-22
9,300,1.6310185185185196e-26,4.9837962962963008e-27,5.2708333333333363e-27,-1.3550882195456687e-21
10,301,0.12,0.025000000000000001,0.040000000000000001,386384.97506421164
11,300,0.059999999999999998,0.10000000000000001,-0.035000000000000003,7.4288433558622183e-22
12,300,-0.014999999999999999,0.029999999999999999,0.01,-1.2567748962153458e-21
13,300,0.029999999999999999,-0.02,0.080000000000000002,-1.2526301535168616e-21
14,300,0.14000000000000001,0.014999999999999999,0.02,6.038109382492399e-22
15,300,0.089999999999999997,0.044999999999999998,0.14999999999999999,-1.5727580975752266e-22
16,300,-0.040000000000000001,0.11,0.025000000000000001,-8.7464719819065297e-22
17,300,1.6310185185185202e-26,4.9837962962963079e-27,5.2708333333333442e-27,-1.2094432466272442e-21
18,300,0.12,0.025000000000000001,0.040000000000000001,7.4288433558621807e-22
19,301,0.059999999999999998,0.10000000000000001,-0.035000000000000003,367314.78174410819
20,300,-0.014999999999999999,0.029999999999999999,0.01,-1.5057009057222854e-21
21,300,0.029999999999999999,-0.02,0.080000000000000002,-9.0991441895123472e-22
22,300,0.14000000000000001,0.014999999999999999,0.02,-1.5828625505707653e-22
23,300,0.089999999999999997,0.044999999999999998,0.14999999999999999,8.5801687568431041e-22
24,300,-0.040000000000000001,0.11,0.025000000000000001,-1.2994198047747245e-21
25,300,1.6310185185185196e-26,4.9837962962963008e-27,5.2708333333333349e-27,6.7410105486552657e-22
26,300,0.12,0.025000000000000001,0.040000000000000001,-1.256774896215219e-21
27,300,0.059999999999999998,0.10000000000000001,-0.035000000000000003,-1.5057009057221402e-21
28,301,-0.014999999999999999,0.029999999999999999,0.01,393266.46562517155
29,300,0.029999999999999999,-0.02,0.080000000000000002,-1.695652166927396e-22
30,300,0.14000000000000001,0.014999999999999999,0.02,-8.121519668256581e-22
31,300,0.089999999999999997,0.044999999999999998,0.14999999999999999,-1.1165021495888976e-21
32,300,-0.040000000000000001,0.11,0.025000000000000001,6.2695590269332575e-22
33,300,1.6310185185185202e-26,4.9837962962963079e-27,5.2708333333333457e-27,6.9221551777086823e-22
34,300,0.12,0.025000000000000001,0.040000000000000001,-1.2526301535169218e-21
35,300,0.059999999999999998,0.10000000000000001,-0.035000000000000003,-9.0991441895124713e-22
36,300,-0.014999999999999999,0.029999999999999999,0.01,-1.6956521669264206e-22
37,301,0.029999999999999999,-0.02,0.080000000000000002,364985.99830459768
38,300,0.14000000000000001,0.014999999999999999,0.02,-1.3496628419307227e-21
39,300,0.089999999999999997,0.044999999999999998,0.14999999999999999,-1.2672753199487613e-21
40,300,-0.040000000000000001,0.11,0.025000000000000001,7.9955289203249834e-22
41,300,1.6310185185185187e-26,4.9837962962962943e-27,5.2708333333333277e-27,-1.1717896672025836e-21
42,300,0.12,0.025000000000000001,0.040000000000000001,6.0381093824913561e-22
43,300,0.059999999999999998,0.10000000000000001,-0.035000000000000003,-1.582862550571492e-22
44,300,-0.014999999999999999,0.029999999999999999,0.01,-8.121519668256233e-22
45,300,0.029999999999999999,-0.02,0.080000000000000002,-1.349662841930673e-21
46,301,0.14000000000000001,0.014999999999999999,0.02,387597.96491981094
47,300,0.089999999999999997,0.044999999999999998,0.14999999999999999,5.9755350716103186e-22
48,300,-0.040000000000000001,0.11,0.025000000000000001,-1.0926520033585039e-21
49,300,1.6310185185185213e-26,4.9837962962963158e-27,5.2708333333333536e-27,-8.4053057956626175e-22
50,300,0.12,0.025000000000000001,0.040000000000000001,-1.5727580975754932e-22
51,300,0.059999999999999998,0.10000000000000001,-0.035000000000000003,8.580168756841229e-22
52,300,-0.014999999999999999,0.029999999999999999,0.01,-1.1165021495889065e-21
53,300,0.029999999999999999,-0.02,0.080000000000000002,-1.2672753199486974e-21
54,300,0.14000000000000001,0.014999999999999999,0.02,5.9755350716098794e-22
55,301,0.089999999999999997,0.044999999999999998,0.14999999999999999,357670.478447692
56,300,-0.040000000000000001,0.11,0.025000000000000001,-1.3813195349357979e-21
57,300,1.6310185185185199e-26,4.9837962962962986e-27,5.2708333333333356e-27,-1.5679844595274215e-22
58,300,0.12,0.025000000000000001,0.040000000000000001,-8.7464719819068927e-22
59,300,0.059999999999999998,0.10000000000000001,-0.035000000000000003,-1.2994198047746941e-21
60,300,-0.014999999999999999,0.029999999999999999,0.01,6.2695590269336684e-22
61,300,0.029999999999999999,-0.02,0.080000000000000002,7.995528920326442e-22
62,300,0.14000000000000001,0.014999999999999999,0.02,-1.092652003358499e-21
63,300,0.089999999999999997,0.044999999999999998,0.14999999999999999,-1.3813195349358574e-21
64,301,-0.040000000000000001,0.11,0.025000000000000001,365514.21340965893
65,301,7.956675896642201e-27,9.4020811488097853e-27,8.3647444939292846e-27,926015.74725699332
66,300,0.12,0.025000000000000001,0.040000000000000001,5.4730673227546002e-22
67,300,0.059999999999999998,0.10000000000000001,-0.035000000000000003,-1.0822667870115402e-21
68,300,-0.014999999999999999,0.029999999999999999,0.01,-5.3910375030392748e-22
69,300,0.029999999999999999,-0.02,0.080000000000000002,-1.1107643133766717e-22
70,300,0.14000000000000001,0.014999999999999999,0.02,-8.3287664841445656e-22
71,300,0.089999999999999997,0.044999999999999998,0.14999999999999999,-1.0432692787811687e-21
72,300,-0.040000000000000001,0.11,0.025000000000000001,-1.0692015153142688e-21
73,300,7.956675896642201e-27,9.4020811488097924e-27,8.364744493929296e-27,5.4730673227550008e-22
74,301,0.12,0.025000000000000001,0.040000000000000001,970066.40977436106
75,300,0.059999999999999998,0.10000000000000001,-0.035000000000000003,-3.3201440504104457e-22
76,300,-0.014999999999999999,0.029999999999999999,0.01,-8.3420863297366456e-22
77,300,0.029999999999999999,-0.02,0.080000000000000002,-9.7283145885422154e-22
78,300,0.14000000000000001,0.014999999999999999,0.02,-3.8678356694171031e-22
79,300,0.089999999999999997,0.044999999999999998,0.14999999999999999,-1.1508219702042174e-21
80,300,-0.040000000000000001,0.11,0.025000000000000001,-8.4468873205812044e-22
81,300,7.9566758966421995e-27,9.4020811488097867e-27,8.3647444939292774e-27,-1.0822667870113794e-21
82,300,0.12,0.025000000000000001,0.040000000000000001,-3.3201440504084036e-22
