element,integration_point,temperature_k,ivol_m3
1,1,301,0.086492977864583376
1,2,300,0.086492977864583334
1,3,300,0.086492977864583376
1,4,300,0.086492977864583348
1,5,300,0.086492977864583348
1,6,300,0.086492977864583334
1,7,300,0.086492977864583334
1,8,300,0.086492977864583334
2,1,300,0.086492977864583376
2,2,301,0.086492977864583334
2,3,300,0.08649297786458332
2,4,300,0.086492977864583306
2,5,300,0.086492977864583376
2,6,300,0.086492977864583362
2,7,300,0.08649297786458332
2,8,300,0.08649297786458332
3,1,300,0.086492977864583431
3,2,300,0.086492977864583404
3,3,300,0.086492977864583473
3,4,301,0.086492977864583459
3,5,300,0.086492977864583431
3,6,300,0.086492977864583417
3,7,300,0.086492977864583473
3,8,300,0.086492977864583473
4,1,300,0.086492977864583362
4,2,300,0.086492977864583334
4,3,301,0.086492977864583362
4,4,300,0.086492977864583348
4,5,300,0.086492977864583334
4,6,300,0.086492977864583306
4,7,300,0.086492977864583348
4,8,300,0.086492977864583348
5,1,300,0.086492977864583487
5,2,300,0.086492977864583445
5,3,300,0.086492977864583556
5,4,300,0.086492977864583542
5,5,301,0.086492977864583487
5,6,300,0.086492977864583459
5,7,300,0.086492977864583501
5,8,300,0.086492977864583501
6,1,300,0.086492977864583376
6,2,300,0.086492977864583334
6,3,300,0.086492977864583209
6,4,300,0.086492977864583181
6,5,300,0.086492977864583279
6,6,301,0.086492977864583265
6,7,300,0.086492977864583417
6,8,300,0.086492977864583417
7,1,300,0.086492977864583528
7,2,300,0.086492977864583487
7,3,300,0.086492977864583695
7,4,300,0.086492977864583681
7,5,300,0.086492977864583459
7,6,300,0.086492977864583445
7,7,300,0.086492977864583598
7,8,301,0.086492977864583598
8,1,300,0.086492977864583376
8,2,300,0.086492977864583334
8,3,300,0.086492977864583237
8,4,300,0.086492977864583209
8,5,300,0.08649297786458339
8,6,300,0.086492977864583376
8,7,301,0.086492977864583293
8,8,300,0.086492977864583293
9,1,301,0.18864893529100263
9,2,300,0.19480021222107044
9,3,300,0.19539472837019328
9,4,300,0.16747108788622103
9,5,300,0.22017845529702776
9,6,300,0.23231297342535354
9,7,300,0.22403243167668957
9,8,300,0.20217395708244321
10,1,300,0.18864893529100263
10,2,301,0.19480021222107047
10,3,300,0.19539472837019325
10,4,300,0.167471087886221
10,5,300,0.22017845529702787
10,6,300,0.23231297342535365
10,7,300,0.22403243167668954
10,8,300,0.20217395708244315
11,1,300,0.18864893529100257
11,2,300,0.19480021222107041
11,3,300,0.19539472837019314
11,4,301,0.16747108788622089
11,5,300,0.22017845529702765
11,6,300,0.23231297342535345
11,7,300,0.22403243167668938
11,8,300,0.20217395708244301
12,1,300,0.18864893529100257
12,2,300,0.19480021222107044
12,3,301,0.19539472837019325
12,4,300,0.16747108788622095
12,5,300,0.22017845529702768
12,6,300,0.23231297342535345
12,7,300,0.22403243167668954
12,8,300,0.20217395708244321
13,1,300,0.18864893529100263
13,2,300,0.19480021222107047
13,3,300,0.19539472837019337
13,4,300,0.16747108788622109
13,5,301,0.22017845529702801
13,6,300,0.23231297342535384
13,7,300,0.22403243167668946
13,8,300,0.20217395708244318
14,1,300,0.18864893529100235
14,2,300,0.19480021222107011
14,3,300,0.19539472837019342
14,4,300,0.16747108788622109
14,5,300,0.22017845529702801
14,6,301,0.23231297342535384
14,7,300,0.22403243167668938
14,8,300,0.20217395708244304
15,1,300,0.18864893529100266
15,2,300,0.19480021222107047
15,3,300,0.19539472837019325
15,4,300,0.16747108788622098
15,5,300,0.2201784552970279
15,6,300,0.23231297342535367
15,7,300,0.22403243167668963
15,8,301,0.20217395708244323
16,1,300,0.18864893529100268
16,2,300,0.19480021222107047
16,3,300,0.19539472837019331
16,4,300,0.167471087886221
16,5,300,0.2201784552970279
16,6,300,0.2323129734253537
16,7,301,0.22403243167668968
16,8,300,0.20217395708244329
