case,version,repeat,wall_seconds,total_seconds,accepted_steps,rejected_steps,total_cutbacks,nonlinear_iterations_total,linear_iterations_total,residual_evaluations_total,jacobian_evaluations_total
finite_coupled,after,-1,1.7166252339957282,9.729652420000e-01,10,0,0,50,50,60,50
finite_coupled,before,-1,1.7063778140000068,1.004272836000e+00,10,0,0,50,50,60,50
finite_coupled,before,0,1.6648196569876745,9.677748430000e-01,10,0,0,50,50,60,50
finite_coupled,after,0,1.6401340250013163,9.531358640000e-01,10,0,0,50,50,60,50
finite_coupled,after,1,1.6762593970051967,9.821801650000e-01,10,0,0,50,50,60,50
finite_coupled,before,1,1.675862394986325,9.797501660000e-01,10,0,0,50,50,60,50
finite_coupled,before,2,1.6647237510042032,9.617044340000e-01,10,0,0,50,50,60,50
finite_coupled,after,2,1.7270725319976918,9.569056260000e-01,10,0,0,50,50,60,50
finite_coupled,after,3,1.8842907460057177,9.550093550000e-01,10,0,0,50,50,60,50
finite_coupled,before,3,1.6733936849923339,9.613881350000e-01,10,0,0,50,50,60,50
finite_coupled,before,4,1.6616180930141127,9.638559790000e-01,10,0,0,50,50,60,50
finite_coupled,after,4,1.7046324940019986,9.781113660000e-01,10,0,0,50,50,60,50
small_coupled,after,-1,1.6657534370024223,9.453659700000e-01,10,0,0,50,50,60,50
small_coupled,before,-1,1.652068961004261,9.430902570000e-01,10,0,0,50,50,60,50
small_coupled,before,0,1.6465895860019373,9.455517680000e-01,10,0,0,50,50,60,50
small_coupled,after,0,1.6518116560037015,9.513792020000e-01,10,0,0,50,50,60,50
small_coupled,after,1,1.6593420830031391,9.493765510000e-01,10,0,0,50,50,60,50
small_coupled,before,1,1.6854390119988238,9.707796950000e-01,10,0,0,50,50,60,50
small_coupled,before,2,1.6912803080049343,9.298464740000e-01,10,0,0,50,50,60,50
small_coupled,after,2,1.8878086490003625,9.187664670000e-01,10,0,0,50,50,60,50
small_coupled,after,3,1.6241756250092294,8.937058360000e-01,10,0,0,50,50,60,50
small_coupled,before,3,1.868477473006351,8.931869720000e-01,10,0,0,50,50,60,50
small_coupled,before,4,1.938429804999032,9.002402190000e-01,10,0,0,50,50,60,50
small_coupled,after,4,2.532970653002849,9.702670650000e-01,10,0,0,50,50,60,50
finite_contact_first_increment,after,-1,4.522524303989485,3.519361922000e+00,1,0,0,14,14,22,14
finite_contact_first_increment,before,-1,5.02491553100117,3.915907206000e+00,1,0,0,14,14,22,14
finite_contact_first_increment,before,0,4.978986137008178,3.843289205000e+00,1,0,0,14,14,22,14
finite_contact_first_increment,after,0,4.502540144007071,3.485060776000e+00,1,0,0,14,14,22,14
finite_contact_first_increment,after,1,4.4800356090127025,3.416614008000e+00,1,0,0,14,14,22,14
finite_contact_first_increment,before,1,4.9270992829988245,3.888660211000e+00,1,0,0,14,14,22,14
finite_contact_first_increment,before,2,4.855186949003837,3.792503605000e+00,1,0,0,14,14,22,14
finite_contact_first_increment,after,2,4.500708702995325,3.491548883000e+00,1,0,0,14,14,22,14
finite_contact_first_increment,after,3,4.451831931000925,3.457103856000e+00,1,0,0,14,14,22,14
finite_contact_first_increment,before,3,4.863158943990129,3.835039009000e+00,1,0,0,14,14,22,14
finite_contact_first_increment,before,4,4.94884335900133,3.906846869000e+00,1,0,0,14,14,22,14
finite_contact_first_increment,after,4,4.57884875399759,3.485138055000e+00,1,0,0,14,14,22,14
