time,temperature_dofs,displacement_nodes,contact_nodes,material_points,abaqus_coordinate_matching_maximum_m,fuelsim_simultaneous_plastic_creep_points,abaqus_simultaneous_plastic_creep_points,projected_contact_nodes,sliding_contact_nodes
0.05000000074505806,1617,5969,416,9216,6.5052130349130266e-18,4096,4096,416,0
0.10000000149011612,1617,5969,416,9216,6.774311733017761e-18,4096,4096,416,0
0.15000000596046448,1617,5969,416,9216,7.112895110951044e-18,4096,4096,416,0
0.20000000298023224,1617,5969,416,9216,6.802234661068544e-18,4096,4096,416,0
0.25,1617,5969,416,9216,7.269816092100959e-18,4032,4032,416,294
0.30000001192092896,1617,5969,416,9216,7.152448122690996e-18,4032,4032,416,338
0.3499999940395355,1617,5969,416,9216,7.112895110951044e-18,4032,4032,416,352
0.4000000059604645,1617,5969,416,9216,7.256868947200196e-18,4064,4064,416,368
0.44999998807907104,1617,5969,416,9216,7.019947430169783e-18,4064,4064,416,382
0.5,1617,5969,416,9216,6.6623319256135514e-18,4064,4064,416,382
0.550000011920929,1617,5969,416,9216,6.57709602410214e-18,4064,4064,416,382
0.6000000238418579,1617,5969,416,9216,7.232733739566862e-18,4064,4064,416,382
0.6499999761581421,1617,5969,416,9216,6.993734334224841e-18,4064,4064,416,382
0.699999988079071,1617,5969,416,9216,7.473920761626731e-18,4064,4064,416,382
0.75,1617,5969,416,9216,6.942281208919283e-18,4096,4096,416,382
0.800000011920929,1617,5969,416,9216,7.321375717547647e-18,4096,4096,416,382
0.8500000238418579,1617,5969,416,9216,7.129402200013386e-18,4096,4096,416,382
0.8999999761581421,1617,5969,416,9216,7.073120921559065e-18,4096,4096,416,382
0.949999988079071,1617,5969,416,9216,7.230905111020013e-18,4096,4096,416,382
1.0,1617,5969,416,9216,7.073120921559065e-18,4096,4096,416,382
