time,temperature_dofs,displacement_nodes,contact_nodes,material_points,abaqus_coordinate_matching_maximum_m,fuelsim_simultaneous_plastic_creep_points,abaqus_simultaneous_plastic_creep_points,projected_contact_nodes,sliding_contact_nodes
0.05000000074505806,1617,5969,416,9216,6.5052130349130266e-18,4096,4096,416,0
0.10000000149011612,1617,5969,416,9216,6.774311733017761e-18,4096,4096,416,0
0.15000000596046448,1617,5969,416,9216,7.112895110951044e-18,4096,4096,416,0
0.20000000298023224,1617,5969,416,9216,6.802234661068544e-18,4096,4096,416,0
0.25,1617,5969,416,9216,7.269816092100959e-18,4032,4032,416,320
0.30000001192092896,1617,5969,416,9216,7.152448122690996e-18,4032,4032,416,368
0.3499999940395355,1617,5969,416,9216,7.112895110951044e-18,4032,4032,416,384
0.4000000059604645,1617,5969,416,9216,7.256868947200196e-18,4064,4064,416,400
0.44999998807907104,1617,5969,416,9216,7.019947430169783e-18,4064,4064,416,416
0.5,1617,5969,416,9216,6.6623319256135514e-18,4064,4064,416,416
0.550000011920929,1617,5969,416,9216,6.57709602410214e-18,4064,4064,416,416
0.6000000238418579,1617,5969,416,9216,6.942281208919283e-18,4064,4064,416,416
0.6499999761581421,1617,5969,416,9216,8.148123767742044e-18,4064,4064,416,416
0.699999988079071,1617,5969,416,9216,6.774311733017761e-18,4064,4064,416,416
0.75,1617,5969,416,9216,7.126103841197012e-18,4096,4096,416,416
0.800000011920929,1617,5969,416,9216,7.181969932691308e-18,4096,4096,416,416
0.8500000238418579,1617,5969,416,9216,7.536569977896638e-18,4096,4096,416,416
0.8999999761581421,1617,5969,416,9216,7.379746152381976e-18,4096,4096,416,416
0.949999988079071,1617,5969,416,9216,7.721468349589114e-18,4096,4096,416,416
1.0,1617,5969,416,9216,7.100489610355607e-18,4096,4096,416,416
