variable,maximum_absolute_difference,maximum_reference,maximum_difference_over_field_peak
vals_elem_var72eb1,0.0,0.0,0.0
vals_elem_var73eb1,0.0,0.0,0.0
vals_elem_var74eb1,0.0,0.0,0.0
vals_elem_var75eb1,0.0,0.0,0.0
vals_elem_var76eb1,0.0,0.0,0.0
vals_elem_var77eb1,0.0,0.0,0.0
vals_elem_var78eb1,0.0,0.0,0.0
vals_elem_var79eb1,0.0,0.0,0.0
vals_elem_var80eb1,0.0,0.0,0.0
vals_elem_var81eb1,0.0,0.0,0.0
vals_elem_var82eb1,0.0,0.0,0.0
vals_elem_var83eb1,0.0,0.0,0.0
vals_elem_var84eb1,0.0,0.0,0.0
vals_elem_var85eb1,0.0,0.0,0.0
vals_elem_var86eb1,0.0,0.0,0.0
vals_elem_var87eb1,0.0,0.0,0.0
vals_elem_var88eb1,0.0,0.0,0.0
vals_elem_var89eb1,0.0,0.0,0.0
vals_elem_var90eb1,0.0,0.0,0.0
vals_elem_var91eb1,0.0,0.0,0.0
vals_elem_var92eb1,0.0,0.0,0.0
vals_elem_var93eb1,0.0,0.0,0.0
vals_elem_var94eb1,0.0,0.0,0.0
vals_elem_var95eb1,0.0,0.0,0.0
vals_elem_var96eb1,0.0,0.0,0.0
vals_elem_var97eb1,0.0,0.0,0.0
vals_elem_var98eb1,0.0,0.0,0.0
vals_elem_var99eb1,0.0,0.0,0.0
vals_elem_var100eb1,0.0,0.0,0.0
vals_elem_var101eb1,0.0,0.0,0.0
vals_elem_var102eb1,0.0,0.0,0.0
vals_elem_var103eb1,0.0,0.0,0.0
vals_elem_var104eb1,0.0,0.0,0.0
vals_elem_var105eb1,0.0,0.0,0.0
vals_elem_var106eb1,0.0,0.0,0.0
vals_elem_var107eb1,0.0,0.0,0.0
vals_elem_var108eb1,0.0,0.0,0.0
vals_elem_var109eb1,0.0,0.0,0.0
vals_elem_var110eb1,0.0,0.0,0.0
vals_elem_var111eb1,0.0,0.0,0.0
vals_elem_var112eb1,0.0,0.0,0.0
vals_elem_var113eb1,0.0,0.0,0.0
vals_elem_var114eb1,0.0,0.0,0.0
vals_elem_var115eb1,0.0,0.0,0.0
vals_elem_var116eb1,0.0,0.0,0.0
vals_elem_var117eb1,0.0,0.0,0.0
vals_elem_var118eb1,0.0,0.0,0.0
vals_elem_var119eb1,0.0,0.0,0.0
vals_elem_var120eb1,0.0,0.0,0.0
vals_elem_var121eb1,0.0,0.0,0.0
vals_elem_var122eb1,0.0,0.0,0.0
vals_elem_var123eb1,0.0,0.0,0.0
vals_elem_var124eb1,0.0,0.0,0.0
vals_elem_var125eb1,0.0,0.0,0.0
vals_elem_var126eb1,0.0,0.0,0.0
vals_elem_var127eb1,0.0,0.0,0.0
vals_elem_var128eb1,0.0,0.0,0.0
vals_elem_var129eb1,0.0,0.0,0.0
vals_elem_var130eb1,0.0,0.0,0.0
vals_elem_var131eb1,0.0,0.0,0.0
vals_elem_var132eb1,0.0,0.0,0.0
vals_elem_var133eb1,0.0,0.0,0.0
vals_elem_var134eb1,0.0,0.0,0.0
vals_elem_var135eb1,0.0,0.0,0.0
vals_elem_var136eb1,0.0,0.0,0.0
vals_elem_var137eb1,0.0,0.0,0.0
vals_elem_var138eb1,0.0,0.0,0.0
vals_elem_var139eb1,0.0,0.0,0.0
vals_elem_var140eb1,0.0,0.0,0.0
vals_elem_var141eb1,0.0,0.0,0.0
vals_elem_var142eb1,0.0,0.0,0.0
vals_elem_var143eb1,0.0,0.0,0.0
vals_elem_var144eb1,0.0,0.0,0.0
vals_elem_var145eb1,0.0,0.0,0.0
vals_elem_var146eb1,0.0,0.0,0.0
vals_elem_var147eb1,0.0,0.0,0.0
vals_elem_var148eb1,0.0,0.0,0.0
vals_elem_var149eb1,0.0,0.0,0.0
vals_elem_var150eb1,0.0,0.0,0.0
vals_elem_var151eb1,0.0,0.0,0.0
vals_elem_var152eb1,0.0,0.0,0.0
vals_elem_var153eb1,0.0,0.0,0.0
vals_elem_var154eb1,0.0,0.0,0.0
vals_elem_var155eb1,0.0,0.0,0.0
vals_elem_var156eb1,0.0,0.0,0.0
vals_elem_var157eb1,0.0,0.0,0.0
vals_elem_var158eb1,0.0,0.0,0.0
