time,scope,field,samples,relative_l2_percent,relative_absolute_peak_percent,maximum_pointwise_relative_percent,maximum_absolute_difference,worst_relative_sample,worst_relative_reference_norm,worst_relative_absolute_difference,worst_absolute_sample,zero_reference_samples,maximum_zero_reference_absolute_difference,nonzero_pointwise_failures,largest_failed_reference_norm,largest_failed_absolute_difference,largest_difference_sample,zero_reference_absolute_failures,zero_absolute_tolerance,strict_0_1_percent_passed
0.05000000074505806,frame,temperature_corner,1617,6.008297283686391e-10,8.692396611127483e-11,3.0520511917398972e-09,1.8317791727895383e-08,t=0.0500000007451 node=783,600.1797013585763,1.8317791727895383e-08,t=0.0500000007451 node=737,0,0.0,0,0.0,0.0,,0,1e-10,1
0.10000000149011612,frame,temperature_corner,1617,4.124513759264062e-09,3.5955308851246663e-13,1.8552089164918107e-08,1.1144209111080272e-07,t=0.10000000149 node=385,600.6983370990857,1.1144209111080272e-07,t=0.10000000149 node=385,0,0.0,0,0.0,0.0,,0,1e-10,1
0.15000000596046448,frame,temperature_corner,1617,6.888793882593569e-08,3.0230370413701716e-13,3.163740074259358e-07,1.902914050333493e-06,t=0.15000000596 node=741,601.4761028618861,1.902914050333493e-06,t=0.15000000596 node=741,0,0.0,0,0.0,0.0,,0,1e-10,1
0.20000000298023224,frame,temperature_corner,1617,4.376100569614275e-08,2.186869903102126e-12,2.39685682282399e-07,1.4444104863287066e-06,t=0.20000000298 node=140,602.6269373182225,1.4444104863287066e-06,t=0.20000000298 node=140,0,0.0,0,0.0,0.0,,0,1e-10,1
0.25,frame,temperature_corner,1617,3.539211738704476e-08,9.250095175933353e-12,1.3063534321018252e-07,7.890294000389986e-07,t=0.25 node=71,603.9938202401391,7.890294000389986e-07,t=0.25 node=71,0,0.0,0,0.0,0.0,,0,1e-10,1
0.30000001192092896,frame,temperature_corner,1617,3.7826081129404545e-08,5.6601253365980346e-11,1.9922472575449973e-07,1.19641867968312e-06,t=0.300000011921 node=1032,600.5372451396623,1.19641867968312e-06,t=0.300000011921 node=1032,0,0.0,0,0.0,0.0,,0,1e-10,1
0.3499999940395355,frame,temperature_corner,1617,4.886259189151212e-08,1.9934620162288994e-10,3.0231348367630837e-07,1.816003077692585e-06,t=0.34999999404 node=1028,600.7019784923015,1.816003077692585e-06,t=0.34999999404 node=1028,0,0.0,0,0.0,0.0,,0,1e-10,1
0.4000000059604645,frame,temperature_corner,1617,8.202333372441023e-08,5.075655695372218e-10,4.5624659473003663e-07,2.7402994646763545e-06,t=0.40000000596 node=989,600.6180640751529,2.7402994646763545e-06,t=0.40000000596 node=989,0,0.0,0,0.0,0.0,,0,1e-10,1
0.44999998807907104,frame,temperature_corner,1617,1.433645927646374e-07,1.0273502685054533e-09,9.885927700184733e-07,5.938375579717103e-06,t=0.449999988079 node=984,600.6897642601753,5.938375579717103e-06,t=0.449999988079 node=984,0,0.0,0,0.0,0.0,,0,1e-10,1
0.5,frame,temperature_corner,1617,2.489946837986573e-07,1.497855695695607e-09,1.7710557696463857e-06,1.0639449101290666e-05,t=0.5 node=979,600.7404895789911,1.0639449101290666e-05,t=0.5 node=979,0,0.0,0,0.0,0.0,,0,1e-10,1
0.550000011920929,frame,temperature_corner,1617,3.750790996373419e-07,2.1923817752646308e-09,2.9180745739134772e-06,1.753132823978376e-05,t=0.550000011921 node=979,600.7841059480605,1.753132823978376e-05,t=0.550000011921 node=979,0,0.0,0,0.0,0.0,,0,1e-10,1
0.6000000238418579,frame,temperature_corner,1617,5.227438792561719e-07,3.1381185735934086e-09,4.03951931364953e-06,2.4269773916785198e-05,t=0.600000023842 node=979,600.8084633926038,2.4269773916785198e-05,t=0.600000023842 node=979,0,0.0,0,0.0,0.0,,0,1e-10,1
0.6499999761581421,frame,temperature_corner,1617,7.163439178072306e-07,4.088658245292192e-09,5.226118085085688e-06,3.1399673048326804e-05,t=0.649999976158 node=986,600.822111883298,3.1399673048326804e-05,t=0.649999976158 node=986,0,0.0,0,0.0,0.0,,0,1e-10,1
