time,increment,nodes,contact_nodes,material_points
0.05000000074505806,1,5969,416,9216
0.10000000149011612,2,5969,416,9216
0.15000000596046448,3,5969,416,9216
0.20000000298023224,4,5969,416,9216
0.25,5,5969,416,9216
0.30000001192092896,6,5969,416,9216
0.3499999940395355,7,5969,416,9216
0.4000000059604645,8,5969,416,9216
0.44999998807907104,9,5969,416,9216
0.5,10,5969,416,9216
0.550000011920929,11,5969,416,9216
0.6000000238418579,12,5969,416,9216
0.6499999761581421,13,5969,416,9216
0.699999988079071,14,5969,416,9216
0.75,15,5969,416,9216
0.800000011920929,16,5969,416,9216
0.8500000238418579,17,5969,416,9216
0.8999999761581421,18,5969,416,9216
0.949999988079071,19,5969,416,9216
1.0,20,5969,416,9216
