case,stage,time_s,node,temperature_k,ux_m,uy_m,uz_m,reaction_heat_flux_w,rfx_n,rfy_n,rfz_n
coarse,1,10000000,1,480,6.384826112426191e-42,7.88931035414872e-43,8.828180325246348e-44,675.1907205106921,6.206846592249349e-09,6588318.484958942,2706596.647647995
coarse,1,10000000,2,480,0.00118977890073287,0.0008674688390198318,-0.0004968689537471393,1350.381441021384,0,0,0
coarse,1,10000000,3,480,0.002191975253559007,0.003990700488088789,-0.0001337979802790227,675.1907205106922,0,0,0
coarse,1,10000000,4,344.9956058978615,2.1872159048961e-30,-1.857842921691435e-32,3.55594875157937e-30,0,-1.676380634307861e-08,-6588318.484958948,1481436.625026474
coarse,1,10000000,5,344.9956058978615,0.0009795488964055819,0.001298245575979651,-0.0001936261822097848,0,0,0,0
coarse,1,10000000,6,344.9956058978615,0.001802853771982646,0.004105114414220589,-2.765935151626196e-05,0,0,0,0
coarse,1,10000000,7,300,-5.84569399421354e-05,-5.064999575779442e-05,5.51568241723048e-05,-674.9340884679226,0,0,0
coarse,1,10000000,8,300,0.0007690534544190114,0.001301985114778726,-2.414038983688324e-05,-1349.868176935846,0,0,0
coarse,1,10000000,9,300,0.001460658306765753,0.004060668481343311,4.499627227703326e-05,-674.9340884679229,0,0,0
coarse,1,10000000,10,480,6.305237046056003e-42,7.875297369505472e-43,-9.774056788665599e-44,675.1907205106924,1.249009073944762e-08,6588318.48495894,-2706596.647647991
coarse,1,10000000,11,480,0.001189778900732868,0.0008674688390198231,0.00049686895374714,1350.381441021385,0,0,0
coarse,1,10000000,12,480,0.002191975253559005,0.003990700488088778,0.0001337979802790347,675.1907205106924,0,0,0
coarse,1,10000000,13,344.9956058978615,2.18721590489607e-30,-1.857842921692276e-32,-3.555948751579351e-30,0,-4.656612873077393e-09,-6588318.484958943,-1481436.625026476
coarse,1,10000000,14,344.9956058978615,0.00097954889640558,0.001298245575979642,0.0001936261822097923,0,0,0,0
coarse,1,10000000,15,344.9956058978615,0.001802853771982644,0.004105114414220579,2.765935151628204e-05,0,0,0,0
coarse,1,10000000,16,300,-5.845693994213571e-05,-5.064999575779485e-05,-5.515682417230446e-05,-674.9340884679232,0,0,0
coarse,1,10000000,17,300,0.0007690534544190102,0.001301985114778718,2.414038983689739e-05,-1349.868176935847,0,0,0
coarse,1,10000000,18,300,0.001460658306765751,0.004060668481343302,-4.499627227700531e-05,-674.9340884679233,0,0,0
refined,1,10000000,1,480,2.242592355890683e-41,4.843237817322649e-42,1.323176074938709e-42,168.791032339536,-13297.20987484491,2334211.402296064,1010764.784181463
refined,1,10000000,2,480,0.0008785361197068972,0.0008872820066076265,-0.0005952194591958679,337.5820646790719,0,0,0
refined,1,10000000,3,480,0.001515097090366254,0.003373117418141869,-0.0002637803635958399,337.5820646790717,0,0,0
refined,1,10000000,4,480,0.002230800954343466,0.006823960183793378,-0.0004679210029525083,337.5820646790719,0,0,0
refined,1,10000000,5,480,0.002970255406101502,0.01165570040306958,-0.0003119739835910199,168.7910323395359,0,0,0
refined,1,10000000,6,412.4920245641856,5.218749287631575e-31,-1.057826695559051e-30,-1.184209442507283e-31,0,400567.7020754299,-1280025.088538965,1471240.34224152
refined,1,10000000,7,412.4920245641856,0.0006962188643934544,0.001140823936323367,-0.0004031258518877702,0,0,0,0
refined,1,10000000,8,412.4920245641857,0.001221027347813597,0.003476932969186201,-0.0001723853507952804,0,0,0,0
refined,1,10000000,9,412.4920245641856,0.00181755954125429,0.007021662312370692,-0.0003169729875483073,0,0,0,0
refined,1,10000000,10,412.4920245641857,0.002425298361092824,0.01178262119410989,-0.0002070538687702567,0,0,0,0
refined,1,10000000,11,344.9945952556741,8.342810820701424e-31,-6.788462090645086e-32,6.305272904099494e-31,0,11486.04346600757,-1167815.416165307,271681.0813038937
refined,1,10000000,12,344.9945952556741,0.0005064409038157312,0.001243330418762559,-0.0001579428951495161,0,0,0,0
refined,1,10000000,13,344.9945952556742,0.0009314931347293765,0.003514463548405945,-5.818249411509283e-05,0,0,0,0
refined,1,10000000,14,344.9945952556741,0.001409144572660833,0.007102107222618721,-0.0001246538586985286,0,0,0,0
refined,1,10000000,15,344.9945952556741,0.00184683828777233,0.01182990951278272,-7.39437534873092e-05,0,0,0,0
refined,1,10000000,16,322.4969168206513,-5.028586103813565e-05,-8.212936000507719e-06,1.473705142779344e-05,0,0,0,0
refined,1,10000000,17,322.4969168206513,0.0003282266331566723,0.001218170527142075,-2.698970620781106e-05,0,0,0,0
refined,1,10000000,18,322.4969168206513,0.0006413293339187043,0.003489506066457501,2.233976900212666e-06,0,0,0,0
refined,1,10000000,19,322.4969168206513,0.0009912343510280093,0.007082034076695905,-1.85965375520072e-05,0,0,0,0
refined,1,10000000,20,322.4969168206513,0.001311955150243994,0.0118045326981572,-2.692599506848004e-06,0,0,0,0
refined,1,10000000,21,300,-0.0001312732433618022,-1.6041372409778e-05,2.290235813894544e-05,-168.7268761548846,0,0,0
refined,1,10000000,22,300,0.0001590839511145443,0.001204605920912819,4.271252765695109e-05,-337.4537523097695,0,0,0
refined,1,10000000,23,300,0.0003495682500108543,0.003479960796126409,3.227883187001464e-05,-337.4537523097696,0,0,0
refined,1,10000000,24,300,0.0005677288225684625,0.007070081295425116,3.828597388622869e-05,-337.4537523097696,0,0,0
refined,1,10000000,25,300,0.0008041980477136925,0.01179361680862174,3.377322539232957e-05,-168.726876154885,0,0,0
refined,1,10000000,26,480,1.839751903993801e-31,-2.357653788979982e-30,-9.348995173640433e-31,337.582064679072,-367950.3807549792,4715307.577969946,-1.164153218269348e-10
refined,1,10000000,27,480,0.0008941880950084975,0.0006472540653530856,-1.057631687898753e-18,675.1641293581439,0,0,0
refined,1,10000000,28,480,0.001502272535976812,0.003255439872215668,-2.417429241995998e-18,675.1641293581437,0,0,0
refined,1,10000000,29,480,0.002241760878247518,0.006634424307933652,-4.250744603289625e-18,675.1641293581441,0,0,0
refined,1,10000000,30,480,0.00294829309764051,0.01152269115194322,-6.367114573402038e-18,337.582064679072,0,0,0
refined,1,10000000,31,412.4920245641856,5.6631893395111e-31,1.463949194177832e-31,-1.300988161610933e-30,0,-12045.80314148869,-2490061.942910026,-1.105945557355881e-09
refined,1,10000000,32,412.4920245641856,0.0007122178514041223,0.0008968836681921436,-8.124884604271605e-19,0,0,0,0
refined,1,10000000,33,412.4920245641856,0.001208147966153877,0.003358661081947667,-2.017006676221082e-18,0,0,0,0
refined,1,10000000,34,412.4920245641856,0.001828218519914833,0.006829589636869919,-3.79873512370287e-18,0,0,0,0
refined,1,10000000,35,412.4920245641856,0.002404503430921869,0.01164643731436151,-5.582956918297364e-18,0,0,0,0
refined,1,10000000,36,344.9945952556741,1.021571828671794e-30,1.013230748916942e-30,-5.408626778507157e-31,0,-417516.8874367177,-1997987.430243509,6.984919309616089e-10
