increment,time_s,allie_j,allse_j,allpd_j,allcd_j,allfd_j,allwk_j,boundary_heat_rate_w,allae_j
1,100000,377.0622253417969,343.6746215820312,0,0,0,378.0271301269531,677.023142352336,33.38761901855469
2,200000,379.4129028320312,345.942138671875,0,0,0,381.8249816894531,1046.517597537442,33.47077178955078
3,300000,381.5419311523438,347.9015197753906,0,0,0,385.6238098144531,1396.454362489125,33.64040374755859
4,400000,384.4136657714844,350.6162719726562,0,0,0,390.4640197753906,1742.532316394432,33.7973747253418
5,500000,387.5791320800781,353.6060180664062,0,0,0,395.8484497070312,2091.591527133074,33.97309875488281
6,600000,391.0045166015625,356.8374938964844,0,0,0,401.7144470214844,2446.73035353522,34.16703033447266
7,700000,394.6796264648438,360.3008422851562,0,0,0,408.0439453125,2809.08027504577,34.37879180908203
8,800000,398.6025695800781,363.9942626953125,0,0,0,414.8324584960938,3179.523815779614,34.60829544067383
9,900000,402.7804870605469,367.9250793457031,0,0,0,422.0954284667969,3558.082088209781,34.85540390014648
10,1000000,407.2255859375,372.1054992675781,0,0,0,429.857421875,3944.635671407637,35.1201057434082
