step,node,temperature_k,ux_m,uy_m,uz_m,rfl_w,rf_x_n,rf_y_n,rf_z_n
BASE,1,360,-1.4545e-28,-1.471388888888889e-28,-1.468351851851852e-28,-135.0000000000002,145450000.0000001,147138888.888889,146835185.1851852
BASE,2,410,0.00012,-2e-05,3e-05,-61.66666666666646,-146583333.3333334,147405555.5555556,146509259.2592593
BASE,3,445,0.00017,9.000000000000001e-05,-4e-05,21.66666666666689,-143961111.1111112,-147672222.2222223,147024074.0740741
BASE,4,385,-4e-05,0.00011,2e-05,-95.00000000000031,144494444.4444445,-147672222.2222223,147031481.4814815
BASE,5,470,3e-05,-5e-05,0.00014,41.66666666666734,145094444.4444445,145927777.7777778,-146635185.1851852
BASE,6,430,0.0001,4e-05,0.0001,24.99999999999929,-147361111.1111112,149327777.7777779,-147509259.2592593
BASE,7,515,0.00023,0.00016,0.00018,145.0000000000003,-141894444.4444444,-145661111.1111112,-145424074.0740741
BASE,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,58.33333333333314,144761111.1111111,-148794444.4444445,-147831481.4814816
D00_PLUS,1,360.001,-1.499999999874626e-34,-1.500000000098834e-34,-1.499999999874626e-34,-134.998666666667,145450150,147139038.8888889,146835335.1851852
D00_PLUS,2,410,0.00012,-2e-05,3e-05,-61.6666666666665,-146583483.3333333,147405705.5555556,146509409.2592593
D00_PLUS,3,445,0.00017,9.000000000000001e-05,-4e-05,21.66633333333362,-143961261.1111111,-147672372.2222222,147024224.0740741
D00_PLUS,4,385,-4e-05,0.00011,2e-05,-95.00000000000028,144494594.4444444,-147672372.2222222,147031631.4814815
D00_PLUS,5,470,3e-05,-5e-05,0.00014,41.66666666666739,145094594.4444445,145927927.7777778,-146635335.1851852
D00_PLUS,6,430,0.0001,4e-05,0.0001,24.99966666666594,-147361261.1111112,149327927.7777778,-147509409.2592593
D00_PLUS,7,515,0.00023,0.00016,0.00018,144.999666666667,-141894594.4444444,-145661261.1111111,-145424224.074074
D00_PLUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,58.33299999999979,144761261.1111111,-148794594.4444445,-147831631.4814815
D00_MINUS,1,359.999,2.999999999929062e-34,2.99999999992906e-34,2.999999999929061e-34,-135.0013333333335,145449850,147138738.8888889,146835035.1851852
D00_MINUS,2,410,0.00012,-2e-05,3e-05,-61.66666666666647,-146583183.3333333,147405405.5555555,146509109.2592593
D00_MINUS,3,445,0.00017,9.000000000000001e-05,-4e-05,21.66700000000022,-143960961.1111111,-147672072.2222222,147023924.0740741
D00_MINUS,4,385,-4e-05,0.00011,2e-05,-95.00000000000031,144494294.4444444,-147672072.2222223,147031331.4814815
D00_MINUS,5,470,3e-05,-5e-05,0.00014,41.66666666666737,145094294.4444445,145927627.7777778,-146635035.1851852
D00_MINUS,6,430,0.0001,4e-05,0.0001,25.00033333333258,-147360961.1111112,149327627.7777778,-147509109.2592593
D00_MINUS,7,515,0.00023,0.00016,0.00018,145.0003333333337,-141894294.4444444,-145660961.1111111,-145423924.0740741
D00_MINUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,58.33366666666645,144760961.1111111,-148794294.4444445,-147831331.4814816
D01_PLUS,1,360,-2.99999999992906e-34,-2.999999999929059e-34,-2.999999999929059e-34,-135.0000000000003,145450150,147139038.8888889,146835335.1851852
D01_PLUS,2,410.001,0.00012,-2e-05,3e-05,-61.66533333333317,-146583483.3333333,147405705.5555556,146509409.2592593
D01_PLUS,3,445,0.00017,9.000000000000001e-05,-4e-05,21.66666666666688,-143961261.1111111,-147672372.2222222,147024224.0740741
D01_PLUS,4,385,-4e-05,0.00011,2e-05,-95.00033333333363,144494594.4444444,-147672372.2222222,147031631.4814815
D01_PLUS,5,470,3e-05,-5e-05,0.00014,41.66633333333405,145094594.4444445,145927927.7777778,-146635335.1851852
D01_PLUS,6,430,0.0001,4e-05,0.0001,24.99999999999926,-147361261.1111112,149327927.7777778,-147509409.2592593
D01_PLUS,7,515,0.00023,0.00016,0.00018,144.999666666667,-141894594.4444444,-145661261.1111111,-145424224.074074
D01_PLUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,58.3329999999998,144761261.1111111,-148794594.4444445,-147831631.4814815
D01_MINUS,1,360,2.999999999929058e-34,2.999999999929059e-34,2.999999999929059e-34,-135.0000000000002,145449850,147138738.8888889,146835035.1851852
D01_MINUS,2,409.999,0.00012,-2e-05,3e-05,-61.66799999999979,-146583183.3333333,147405405.5555555,146509109.2592593
D01_MINUS,3,445,0.00017,9.000000000000001e-05,-4e-05,21.66666666666696,-143960961.1111111,-147672072.2222222,147023924.0740741
D01_MINUS,4,385,-4e-05,0.00011,2e-05,-94.99966666666701,144494294.4444444,-147672072.2222223,147031331.4814815
D01_MINUS,5,470,3e-05,-5e-05,0.00014,41.66700000000068,145094294.4444445,145927627.7777778,-146635035.1851852
D01_MINUS,6,430,0.0001,4e-05,0.0001,24.99999999999927,-147360961.1111112,149327627.7777778,-147509109.2592593
D01_MINUS,7,515,0.00023,0.00016,0.00018,145.0003333333337,-141894294.4444444,-145660961.1111111,-145423924.0740741
D01_MINUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,58.33366666666643,144760961.1111111,-148794294.4444445,-147831331.4814816
D02_PLUS,1,360,-2.999999999929058e-34,-2.99999999992906e-34,-2.999999999929059e-34,-135.0003333333335,145450150,147139038.8888889,146835335.1851852
D02_PLUS,2,410,0.00012,-2e-05,3e-05,-61.66666666666646,-146583483.3333333,147405705.5555556,146509409.2592593
D02_PLUS,3,445.001,0.00017,9.000000000000001e-05,-4e-05,21.66800000000025,-143961261.1111111,-147672372.2222222,147024224.0740741
D02_PLUS,4,385,-4e-05,0.00011,2e-05,-95.00000000000031,144494594.4444444,-147672372.2222222,147031631.4814815
D02_PLUS,5,470,3e-05,-5e-05,0.00014,41.66633333333402,145094594.4444445,145927927.7777778,-146635335.1851852
D02_PLUS,6,430,0.0001,4e-05,0.0001,24.99966666666591,-147361261.1111112,149327927.7777778,-147509409.2592593
D02_PLUS,7,515,0.00023,0.00016,0.00018,145.0000000000003,-141894594.4444444,-145661261.1111111,-145424224.074074
D02_PLUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,58.33299999999979,144761261.1111111,-148794594.4444445,-147831631.4814815
D02_MINUS,1,360,2.999999999929059e-34,2.999999999929059e-34,2.999999999929059e-34,-134.9996666666669,145449850,147138738.8888889,146835035.1851852
D02_MINUS,2,410,0.00012,-2e-05,3e-05,-61.66666666666646,-146583183.3333333,147405405.5555555,146509109.2592593
D02_MINUS,3,444.999,0.00017,9.000000000000001e-05,-4e-05,21.6653333333336,-143960961.1111111,-147672072.2222222,147023924.0740741
D02_MINUS,4,385,-4e-05,0.00011,2e-05,-95.00000000000031,144494294.4444444,-147672072.2222223,147031331.4814815
D02_MINUS,5,470,3e-05,-5e-05,0.00014,41.66700000000068,145094294.4444445,145927627.7777778,-146635035.1851852
D02_MINUS,6,430,0.0001,4e-05,0.0001,25.00033333333257,-147360961.1111112,149327627.7777778,-147509109.2592593
D02_MINUS,7,515,0.00023,0.00016,0.00018,145.0000000000003,-141894294.4444444,-145660961.1111111,-145423924.0740741
D02_MINUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,58.33366666666645,144760961.1111111,-148794294.4444445,-147831331.4814816
D03_PLUS,1,360,-2.99999999992906e-34,-2.99999999992906e-34,-2.99999999992906e-34,-135.0000000000002,145450150,147139038.8888889,146835335.1851852
D03_PLUS,2,410,0.00012,-2e-05,3e-05,-61.66699999999978,-146583483.3333333,147405705.5555556,146509409.2592593
D03_PLUS,3,445,0.00017,9.000000000000001e-05,-4e-05,21.66666666666691,-143961261.1111111,-147672372.2222222,147024224.0740741
D03_PLUS,4,385.001,-4e-05,0.00011,2e-05,-94.99866666666699,144494594.4444444,-147672372.2222222,147031631.4814815
D03_PLUS,5,470,3e-05,-5e-05,0.00014,41.66633333333403,145094594.4444445,145927927.7777778,-146635335.1851852
D03_PLUS,6,430,0.0001,4e-05,0.0001,24.99966666666592,-147361261.1111112,149327927.7777778,-147509409.2592593
D03_PLUS,7,515,0.00023,0.00016,0.00018,144.999666666667,-141894594.4444444,-145661261.1111111,-145424224.074074
D03_PLUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,58.3333333333331,144761261.1111111,-148794594.4444445,-147831631.4814815
D03_MINUS,1,360,2.99999999992906e-34,2.99999999992906e-34,2.99999999992906e-34,-135.0000000000002,145449850,147138738.8888889,146835035.1851852
D03_MINUS,2,410,0.00012,-2e-05,3e-05,-61.66633333333317,-146583183.3333333,147405405.5555555,146509109.2592593
D03_MINUS,3,445,0.00017,9.000000000000001e-05,-4e-05,21.66666666666689,-143960961.1111111,-147672072.2222222,147023924.0740741
D03_MINUS,4,384.999,-4e-05,0.00011,2e-05,-95.0013333333336,144494294.4444444,-147672072.2222223,147031331.4814815
D03_MINUS,5,470,3e-05,-5e-05,0.00014,41.6670000000007,145094294.4444445,145927627.7777778,-146635035.1851852
D03_MINUS,6,430,0.0001,4e-05,0.0001,25.00033333333261,-147360961.1111112,149327627.7777778,-147509109.2592593
D03_MINUS,7,515,0.00023,0.00016,0.00018,145.0003333333337,-141894294.4444444,-145660961.1111111,-145423924.0740741
D03_MINUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,58.33333333333312,144760961.1111111,-148794294.4444445,-147831331.4814816
D04_PLUS,1,360,-2.99999999992906e-34,-2.99999999992906e-34,-2.99999999992906e-34,-135.0000000000002,145450150,147139038.8888889,146835335.1851852
D04_PLUS,2,410,0.00012,-2e-05,3e-05,-61.6669999999998,-146583483.3333333,147405705.5555556,146509409.2592593
D04_PLUS,3,445,0.00017,9.000000000000001e-05,-4e-05,21.6663333333336,-143961261.1111111,-147672372.2222222,147024224.0740741
D04_PLUS,4,385,-4e-05,0.00011,2e-05,-95.00033333333361,144494594.4444444,-147672372.2222222,147031631.4814815
D04_PLUS,5,470.001,3e-05,-5e-05,0.00014,41.66800000000066,145094594.4444445,145927927.7777778,-146635335.1851852
D04_PLUS,6,430,0.0001,4e-05,0.0001,24.99999999999928,-147361261.1111112,149327927.7777778,-147509409.2592593
D04_PLUS,7,515,0.00023,0.00016,0.00018,144.999666666667,-141894594.4444444,-145661261.1111111,-145424224.074074
D04_PLUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,58.33333333333312,144761261.1111111,-148794594.4444445,-147831631.4814815
D04_MINUS,1,360,2.999999999929059e-34,2.999999999929058e-34,2.99999999992906e-34,-135.0000000000002,145449850,147138738.8888889,146835035.1851852
D04_MINUS,2,410,0.00012,-2e-05,3e-05,-61.66633333333316,-146583183.3333333,147405405.5555555,146509109.2592593
D04_MINUS,3,445,0.00017,9.000000000000001e-05,-4e-05,21.66700000000026,-143960961.1111111,-147672072.2222222,147023924.0740741
