step,input_local_node,input_component,output_local_node,displacement_delta_m,copen_m,cpress_pa,cnormf_x_n,cnormf_y_n,cnormf_z_n
BASE,0,NONE,1,0,-9.992300188774816e-05,9981.176773861414,-157.523901794113,-38.53999284412635,-5.627150293903747e-14
BASE,0,NONE,2,0,-9.992300204132707e-05,9981.176793490526,-160.2817253844655,-24.67547684602496,-1.633720336954581e-14
BASE,0,NONE,3,0,-9.992300204145029e-05,9981.176793506458,-160.281725384392,-24.67547684600375,-4.122131327335042e-14
BASE,0,NONE,4,0,-9.992300188763691e-05,9981.176773853898,-157.5239017941425,-38.53999284412632,-1.617559549587607e-14
BASE,0,NONE,5,0,-9.964018105493931e-05,9981.17678367597,636.5634134468869,126.6203355995179,1.513664384156283e-13
BASE,0,NONE,6,0,-9.976088650396173e-05,9981.176793498493,633.2402139457216,150.4136013471956,9.356164206018678e-14
BASE,0,NONE,7,0,-9.964018105505357e-05,9981.176783680177,636.5634134470744,126.6203355995643,4.857113877625401e-14
BASE,0,NONE,8,0,-9.976088622212895e-05,9981.176773857656,642.5984655060041,103.3664908859507,7.345959509161423e-14
S1_X_PLUS,1,X,1,1e-06,-9.951771015731634e-05,9954.39244350242,-157.8667669465732,-38.59192742544589,-5.617285132808636e-14
S1_X_PLUS,1,X,2,1e-06,-0.0001000049288412691,9997.350718366464,-160.4196117278685,-24.70295320486738,-1.638092415904026e-14
S1_X_PLUS,1,X,3,1e-06,-9.995046453490175e-05,9986.116292364972,-160.4554090513642,-24.70987449593575,-4.126496369531748e-14
S1_X_PLUS,1,X,4,1e-06,-0.00010001013702773,9997.84713517903,-157.6565504930153,-38.57947562302939,-1.62208261633572e-14
S1_X_PLUS,1,X,5,1e-06,-9.972528937980998e-05,9975.871580934443,637.0500078732653,126.7433112365841,1.516240594817906e-13
S1_X_PLUS,1,X,6,1e-06,-9.988791816798267e-05,9991.733505365719,633.9051877296399,150.5769534931315,9.366010053525311e-14
S1_X_PLUS,1,X,7,1e-06,-9.977063080089038e-05,9991.981713772002,637.2378510920134,126.7596009582531,4.861937847611079e-14
S1_X_PLUS,1,X,8,1e-06,-9.984705287835753e-05,9976.119789340726,643.0939980163839,103.4685174109266,7.364707138917313e-14
S1_X_MINUS,1,X,1,-1e-06,-0.00010032829361818,10007.96110422041,-157.1810366416528,-38.48805826280679,-5.637015454998857e-14
S1_X_MINUS,1,X,2,-1e-06,-9.984107524138502e-05,9965.002868614589,-160.1438390410624,-24.64800048718254,-1.629348258005136e-14
S1_X_MINUS,1,X,3,-1e-06,-9.989553954799881e-05,9976.23729464795,-160.1080417174199,-24.64107919607175,-4.117766285138338e-14
S1_X_MINUS,1,X,4,-1e-06,-9.983586674754385e-05,9964.506412528768,-157.3912530952696,-38.50051006522325,-1.613036482839494e-14
S1_X_MINUS,1,X,5,-1e-06,-9.955507273006865e-05,9986.481986417497,636.0768190205087,126.4973599624518,1.511088173494659e-13
S1_X_MINUS,1,X,6,-1e-06,-9.96338548399408e-05,9970.62008163127,632.5752401618035,150.2502492012596,9.346318358512044e-14
S1_X_MINUS,1,X,7,-1e-06,-9.950973130921677e-05,9970.37185358836,635.8889758021353,126.4810702408755,4.852289907639725e-14
S1_X_MINUS,1,X,8,-1e-06,-9.967471956590038e-05,9986.233758374587,642.1029329956244,103.2644643609747,7.327211879405533e-14
S1_Y_PLUS,1,Y,1,1e-06,-9.990285308469984e-05,9979.843154540917,-157.5758363754326,-38.55141419129568,-5.626999645974135e-14
S1_Y_PLUS,1,Y,2,1e-06,-9.995226177130227e-05,9984.870880188086,-160.3092017433079,-24.68069559310402,-1.634218702785424e-14
S1_Y_PLUS,1,Y,3,1e-06,-9.99328101279788e-05,9983.142531107218,-160.3161230343241,-24.68307396701676,-4.12286837448453e-14
S1_Y_PLUS,1,Y,4,1e-06,-9.992733375193243e-05,9982.508036515657,-157.5633845730455,-38.55027847204333,-1.618334701497891e-14
S1_Y_PLUS,1,Y,5,1e-06,-9.965711015332307e-05,9982.357017364502,636.686389083953,126.6508231805393,1.514029798421242e-13
S1_Y_PLUS,1,Y,6,1e-06,-9.97994211379556e-05,9984.006705647651,633.4035660916576,150.4568276196695,9.358201080907728e-14
S1_Y_PLUS,1,Y,7,1e-06,-9.966612912282204e-05,9982.825283811439,636.7026788057632,126.6523704627326,4.857828836812604e-14
S1_Y_PLUS,1,Y,8,1e-06,-9.976937289702348e-05,9981.175595528286,642.7004920309802,103.3887415462265,7.347964934492388e-14
S1_Y_MINUS,1,Y,1,-1e-06,-9.994315069079649e-05,9982.510393181909,-157.4719672127935,-38.528571496957,-5.627300941833357e-14
S1_Y_MINUS,1,Y,2,-1e-06,-9.989374231135186e-05,9977.482706792969,-160.254249025623,-24.6702580989459,-1.633221971123738e-14
S1_Y_MINUS,1,Y,3,-1e-06,-9.991319395492177e-05,9979.2110559057,-160.24732773446,-24.66787972499074,-4.121394280185556e-14
S1_Y_MINUS,1,Y,4,-1e-06,-9.99186700233414e-05,9979.845511192145,-157.4844190152394,-38.52970721620931,-1.616784397677324e-14
S1_Y_MINUS,1,Y,5,-1e-06,-9.962325195655557e-05,9979.996549987438,636.4404378098207,126.5898480184966,1.513298969891322e-13
S1_Y_MINUS,1,Y,6,-1e-06,-9.972235186996786e-05,9978.346881349335,633.0768617997857,150.3703750747216,9.354127331129627e-14
S1_Y_MINUS,1,Y,7,-1e-06,-9.96142329872851e-05,9979.528283548923,636.4241480883856,126.5883007363961,4.856398918438202e-14
S1_Y_MINUS,1,Y,8,-1e-06,-9.97523995472344e-05,9981.177952187027,642.4964389810282,103.3442402256749,7.343954083830461e-14
S1_Z_PLUS,1,Z,1,1e-06,-9.992300188774816e-05,9981.176773861414,-157.523901794113,-38.53999284412634,-5.627150293903747e-14
S1_Z_PLUS,1,Z,2,1e-06,-9.992300204132707e-05,9981.176793490529,-160.2817253844655,-24.67547684602495,-1.633720336954581e-14
S1_Z_PLUS,1,Z,3,1e-06,-9.992300204145029e-05,9981.176793506458,-160.281725384392,-24.67547684600374,-4.122131327335043e-14
S1_Z_PLUS,1,Z,4,1e-06,-9.992300188763691e-05,9981.1767738539,-157.5239017941424,-38.53999284412632,-1.617559549587607e-14
S1_Z_PLUS,1,Z,5,1e-06,-9.964018105493931e-05,9981.176783675972,636.5634134468869,126.620335599518,1.513664384156283e-13
S1_Z_PLUS,1,Z,6,1e-06,-9.976088650396173e-05,9981.176793498493,633.2402139457216,150.4136013471956,9.356164206018678e-14
S1_Z_PLUS,1,Z,7,1e-06,-9.964018105505357e-05,9981.176783680179,636.5634134470744,126.6203355995643,4.857113877625402e-14
S1_Z_PLUS,1,Z,8,1e-06,-9.976088622212895e-05,9981.176773857656,642.5984655060041,103.3664908859507,7.345959509161425e-14
S1_Z_MINUS,1,Z,1,-1e-06,-9.992300188774816e-05,9981.176773861414,-157.523901794113,-38.53999284412634,-5.627150293903748e-14
S1_Z_MINUS,1,Z,2,-1e-06,-9.992300204132707e-05,9981.176793490529,-160.2817253844655,-24.67547684602495,-1.633720336954581e-14
S1_Z_MINUS,1,Z,3,-1e-06,-9.992300204145029e-05,9981.176793506458,-160.281725384392,-24.67547684600374,-4.122131327335043e-14
S1_Z_MINUS,1,Z,4,-1e-06,-9.992300188763691e-05,9981.1767738539,-157.5239017941424,-38.53999284412632,-1.617559549587607e-14
S1_Z_MINUS,1,Z,5,-1e-06,-9.964018105493931e-05,9981.176783675972,636.5634134468869,126.620335599518,1.513664384156283e-13
S1_Z_MINUS,1,Z,6,-1e-06,-9.976088650396173e-05,9981.176793498493,633.2402139457216,150.4136013471956,9.356164206018678e-14
S1_Z_MINUS,1,Z,7,-1e-06,-9.964018105505357e-05,9981.176783680179,636.5634134470744,126.6203355995643,4.857113877625402e-14
S1_Z_MINUS,1,Z,8,-1e-06,-9.976088622212895e-05,9981.176773857656,642.5984655060041,103.3664908859507,7.345959509161424e-14
S2_X_PLUS,2,X,1,1e-06,-0.0001000098895952758,9997.533197791543,-157.6617881375161,-38.56746920296876,-5.631522372853193e-14
S2_X_PLUS,2,X,2,1e-06,-9.954085069377643e-05,9955.920944860798,-160.6127750100611,-24.75593663254753,-1.634794811913098e-14
S2_X_PLUS,2,X,3,1e-06,-0.0001000051621466419,9997.087651299094,-160.4243729671093,-24.69082018392115,-4.125302285012001e-14
S2_X_PLUS,2,X,4,1e-06,-9.995212731546611e-05,9986.492530962327,-157.6975854611147,-38.57439049405832,-1.619641194240555e-14
S2_X_PLUS,2,X,5,1e-06,-9.972528937980998e-05,9976.727071326171,637.0701694791259,126.6946368142765,1.514908168179149e-13
S2_X_PLUS,2,X,6,1e-06,-9.984374182391425e-05,9976.504298079946,633.7385795815313,150.5087881023347,9.363350800295067e-14
S2_X_PLUS,2,X,7,1e-06,-9.977063080089037e-05,9991.790091130712,637.2422488622628,126.7489838016727,4.859146075366917e-14
S2_X_PLUS,2,X,8,1e-06,-9.989299474250046e-05,9992.012864376935,643.287893885077,103.470804416602,7.350962676607196e-14
S2_X_MINUS,2,X,1,-1e-06,-9.983611418022057e-05,9964.820349931284,-157.38601545071,-38.51251648528392,-5.622778214954302e-14
S2_X_MINUS,2,X,2,-1e-06,-0.0001003051533888777,10006.43264212026,-159.9506757588699,-24.59501705950238,-1.632645861996065e-14
S2_X_MINUS,2,X,3,-1e-06,-9.984084193625863e-05,9965.26593571382,-160.1390778016748,-24.66013350808635,-4.118960369658086e-14
S2_X_MINUS,2,X,4,-1e-06,-9.989387645980771e-05,9975.861016745468,-157.3502181271703,-38.50559519419432,-1.615477904934662e-14
