T,disp_x,disp_y,disp_z,id,x,y,z
604.9343747843349,0,0,0.0005997893814284501,1,-2.1023103385362897e-20,0,0
604.9190185529477,0,0,0.0005997888383866127,2,0.00063638666410369062,-2.7105054312137611e-20,0
604.9076137955805,0,0,0.000599788454415825,3,0.00058610666154071465,0.00058610666154071465,0
604.9190185529477,0,0,0.0005997888383866127,4,0,0.00063638666410369073,0
604.8577936412871,0,0,0.0005997866860939762,5,0.0005863819612605813,0.0012084312861692062,0
604.8676816259028,0,0,0.0005997870200170491,6,4.0657581468206416e-20,0.0012727733282073815,0
604.8676816259027,0,0,0.0005997870200170491,7,0.0012727733282073815,-5.4210108624275222e-20,0
604.8577936412864,0,0,0.0005997866860937516,8,0.0012084312861692062,0.00058638196126058119,0
604.8350279519537,0,0,0.0005997859660171541,9,0.0010381333162468268,0.0010381333162468266,0
604.7438963228375,0,0,0.0005997829234381808,10,0.0019815959184866258,-1.0842021724855044e-19,0
604.74791109594,0,0,0.000599783207350548,11,0.0018066106020725129,0.00074832261330545768,0
604.7392488801009,0,0,0.0005997829324247779,12,0.0014011999115334781,0.0014011999115334779,0
604.7479110959414,0,0,0.0005997832073504548,13,0.00074832261330545779,0.0018066106020725129,0
604.7438963228376,0,0,0.0005997829234381808,14,1.0842021724855044e-19,0.0019815959184866258,0
604.515542425468,0,0,0.0005997747353896237,15,0.0026421278913155008,-1.0842021724855044e-19,0
604.5160795386143,0,0,0.0005997747225283288,16,0.0024410078810635965,0.0010110985701961527,0
604.5146393530175,0,0,0.0005997746937641544,17,0.0018682665487113038,0.0018682665487113038,0
604.5160795386422,0,0,0.0005997747225278615,18,0.0010110985701961527,0.0024410078810635965,0
604.515542425468,0,0,0.0005997747353896238,19,1.6263032587282567e-19,0.0026421278913155008,0
604.1037251698592,0,0,0.0005997626459397087,20,0.0033026598641443753,-2.1684043449710089e-19,0
604.1036745399609,0,0,0.0005997626378205657,21,0.0030512598513294954,0.0012638732127451908,0
604.1035040508119,0,0,0.0005997626272034284,22,0.0023353331858891298,0.0023353331858891298,0
604.1036745400846,0,0,0.000599762637820203,23,0.0012638732127451908,0.0030512598513294954,0
604.1037251698592,0,0,0.0005997626459397088,24,2.1684043449710089e-19,0.0033026598641443753,0
603.1485050405223,0,0,0.0005996885117149882,25,0.0041200000000000004,0,0
603.1484758597494,0,0,0.0005996884993525204,26,0.0038063836739465019,0.00157665574134417,0
603.1484367327624,0,0,0.0005996884848875394,27,0.0029132799384885763,0.0029132799384885759,0
603.1484758598817,0,0,0.0005996884993519126,28,0.0015766557413441702,0.0038063836739465019,0
603.1485050405223,0,0,0.0005996885117149884,29,2.522772406243548e-19,0.0041200000000000004,0
604.9076137955806,0,0,0.000599788454415825,30,-0.00058610666154071465,0.00058610666154071465,0
604.9190185529477,0,0,0.0005997888383866128,31,-0.00063638666410369073,5.4210108624275222e-20,0
604.857793641287,0,0,0.0005997866860939761,32,-0.0012084312861692062,0.00058638196126058141,0
604.8676816259028,0,0,0.0005997870200170491,33,-0.0012727733282073815,1.3552527156068805e-19,0
604.8577936412864,0,0,0.0005997866860937516,34,-0.00058638196126058119,0.0012084312861692062,0
604.8350279519537,0,0,0.0005997859660171542,35,-0.0010381333162468266,0.0010381333162468268,0
604.7479110959401,0,0,0.0005997832073505481,36,-0.00074832261330545758,0.0018066106020725129,0
604.7392488801009,0,0,0.0005997829324247778,37,-0.0014011999115334777,0.0014011999115334781,0
604.7479110959414,0,0,0.0005997832073504548,38,-0.0018066106020725129,0.0007483226133054579,0
604.7438963228376,0,0,0.0005997829234381808,39,-0.0019815959184866258,2.1684043449710089e-19,0
604.5160795386145,0,0,0.0005997747225283288,40,-0.0010110985701961524,0.0024410078810635965,0
604.5146393530176,0,0,0.0005997746937641545,41,-0.0018682665487113038,0.0018682665487113042,0
604.5160795386422,0,0,0.0005997747225278615,42,-0.0024410078810635965,0.0010110985701961531,0
604.515542425468,0,0,0.0005997747353896238,43,-0.0026421278913155008,2.7105054312137611e-19,0
604.1036745399609,0,0,0.0005997626378205657,44,-0.0012638732127451906,0.0030512598513294954,0
604.1035040508119,0,0,0.0005997626272034284,45,-0.0023353331858891298,0.0023353331858891298,0
604.1036745400846,0,0,0.0005997626378202029,46,-0.0030512598513294954,0.001263873212745191,0
604.1037251698593,0,0,0.0005997626459397089,47,-0.0033026598641443753,4.3368086899420177e-19,0
603.1484758597494,0,0,0.0005996884993525205,48,-0.0015766557413441698,0.0038063836739465019,0
603.1484367327625,0,0,0.0005996884848875395,49,-0.0029132799384885759,0.0029132799384885763,0
