implementation	commit	relative_l2_percent	relative_absolute_peak_percent	maximum_pointwise_relative_percent	one_percent_gate
single_representative_primary_face	ffedc54	1.22547	1.21852	2.17721	fail
finite_region_current_geometry	9a974d7	0.0324157	0.0014344	0.0493700	pass
