disp_x,disp_y,disp_z,id,x,y,z
0,0,0,0,0,0,0
-4.961861577612581e-06,-1.246223973794258e-06,-4.941360884913593e-07,1,1,0,0
-4.903707576886518e-06,-6.760215569556749e-07,-6.043429152668978e-07,2,1,0.5,0
0,0,0,3,0,0.5,0
0,0,0,4,0,0,1
-4.968579105479876e-06,-1.247492377842718e-06,4.985362238585367e-07,5,1,0,1
-4.907379661744926e-06,-6.764619797650084e-07,6.079080776544288e-07,6,1,0.5,1
0,0,0,7,0,0.5,1
-2.54081442108145e-06,-1.012822849588702e-06,-6.297523782450298e-07,8,0.5,0,0
-4.908034497930203e-06,-9.471166890762106e-07,-5.491000933943724e-07,9,1,0.25,0
-2.29548732022522e-06,-4.286912655970809e-07,-6.444785753956239e-07,10,0.5,0.5,0
0,0,0,11,0,0.25,0
0,0,0,12,0,0,0.5
-4.986355634173378e-06,-1.216106625179236e-06,1.850303354977711e-09,13,1,0,0.5
-4.857410203840118e-06,-6.541209245369828e-07,1.58800916860713e-09,14,1,0.5,0.5
0,0,0,15,0,0.5,0.5
-2.543346909078537e-06,-1.013191990750784e-06,6.304032353909861e-07,16,0.5,0,1
-4.913366410619346e-06,-9.478730476075725e-07,5.532989462153637e-07,17,1,0.25,1
-2.297098717463086e-06,-4.28352706194346e-07,6.453080345636408e-07,18,0.5,0.5,1
0,0,0,19,0,0.25,1
-4.817274657398229e-06,4.123663188693172e-09,-6.037924435986497e-07,20,1,1,0
0,0,0,21,0,1,0
-4.817643912247149e-06,4.117541418935389e-09,6.053708148101578e-07,22,1,1,1
0,0,0,23,0,1,1
-4.857262865698431e-06,-3.243018511511764e-07,-6.104123144723417e-07,24,1,0.75,0
-2.264307113364339e-06,3.692691707968265e-09,-6.614795893256087e-07,25,0.5,1,0
0,0,0,26,0,0.75,0
-4.787434590980411e-06,3.016116245646572e-09,7.990403894098108e-10,27,1,1,0.5
0,0,0,28,0,1,0.5
-4.859331056650262e-06,-3.244330457619071e-07,6.129943130872562e-07,29,1,0.75,1
-2.26490533350443e-06,4.099999006967892e-09,6.621487500524381e-07,30,0.5,1,1
0,0,0,31,0,0.75,1
-4.90838192490628e-06,6.931896905371104e-07,-5.944706344962469e-07,32,1,1.5,0
0,0,0,33,0,1.5,0
-4.909240942652104e-06,6.937169132470444e-07,5.957313646831608e-07,34,1,1.5,1
0,0,0,35,0,1.5,1
-4.836980679101544e-06,3.363037990311568e-07,-6.032091732777189e-07,36,1,1.25,0
-2.29501029025414e-06,4.325476652411453e-07,-6.483056154138467e-07,37,0.5,1.5,0
0,0,0,38,0,1.25,0
-4.890475793217774e-06,6.724361583110294e-07,6.031775079406998e-10,39,1,1.5,0.5
0,0,0,40,0,1.5,0.5
-4.836952939513139e-06,3.365462362125982e-07,6.045379450370092e-07,41,1,1.25,1
-2.295539388796897e-06,4.326314524405461e-07,6.487452424153162e-07,42,0.5,1.5,1
0,0,0,43,0,1.25,1
-5.005990260542603e-06,1.276537204830674e-06,-4.970224267708545e-07,44,1,2,0
0,0,0,45,0,2,0
-5.008474090573145e-06,1.277307319469401e-06,4.984867132407089e-07,46,1,2,1
0,0,0,47,0,2,1
-4.907683432975318e-06,9.706341188575607e-07,-5.449074933494558e-07,48,1,1.75,0
-2.564325995990657e-06,1.016262558550807e-06,-6.321405976450478e-07,49,0.5,2,0
0,0,0,50,0,1.75,0
-5.01645354233915e-06,1.247761474587605e-06,5.926660273658513e-10,51,1,2,0.5
0,0,0,52,0,2,0.5
-4.90945922138053e-06,9.712254041005508e-07,5.46337560081156e-07,53,1,1.75,1
-2.565212753324886e-06,1.016556097965804e-06,6.323166985566786e-07,54,0.5,2,1
0,0,0,55,0,1.75,1
-5.012803740100935e-06,0,0,56,1,2.777936478323686e-32,1.551477688300735e-32
-9.999999747378752e-06,0,0,57,2,0,0
-9.999999747378752e-06,1.538670403533615e-06,4.46812378299203e-37,58,2,1.200000047683716,0
-4.870641987508861e-06,1.50738560478203e-06,-6.656354919017715e-38,59,1,1.200000047683716,0
-5.01989552503801e-06,-0,1.244890199814108e-06,60,1,6.449304205380386e-33,1
-9.999999747378752e-06,0,1.270728148483613e-06,61,2,0,1
-9.999999747378752e-06,1.543664325254213e-06,1.271554651793849e-06,62,2,1.200000047683716,1
-4.870063094131183e-06,1.512888616161945e-06,1.279845946555724e-06,63,1,1.200000047683716,1
-7.497646947740577e-06,-0,-0,64,1.5,0,0
-9.999999747378752e-06,7.493798079849512e-07,-0,65,2,0.6000000238418579,0
-7.440934950864175e-06,1.524884623904654e-06,-1.768539286418045e-36,66,1.5,1.200000047683716,0
-4.909247309115017e-06,7.639555974492396e-07,0,67,1,0.6000000238418579,0
-5.007591880712425e-06,-0,6.258300118133775e-07,68,1,1.110010572742252e-32,0.5
-9.999999747378752e-06,0,6.34536888810544e-07,69,2,0,0.5
-9.999999747378752e-06,1.539895379210066e-06,6.36585355096031e-07,70,2,1.200000047683716,0.5
-4.852192432736047e-06,1.510191168563324e-06,6.376568535415572e-07,71,1,1.200000047683716,0.5
-7.50172148400452e-06,0,1.261127295038023e-06,72,1.5,0,1
