stage,time_s,internal_energy_j,creep_dissipation_j,external_work_j
1,0.1,306000,81000,306000
2,0.2,387000,162000,387000
3,0.3,468000,243000,468000
4,0.4,549000,324000,549000
5,0.5,630000,405000,630000
6,0.6000000000000001,711000,486000,711000
7,0.7000000000000001,792000,567000,792000
8,0.8,873000,648000,873000
9,0.9,954000,729000,954000
10,1,1035000,810000,1035000
