field	count	relative_l2_percent	relative_absolute_peak_percent	maximum_pointwise_relative_percent	zero_reference_count	maximum_zero_reference_absolute_difference	maximum_absolute_component_difference	maximum_pointwise_actual_norm	maximum_pointwise_reference_norm
temperature	40	0.006018575913842515	0.0	0.01582561776280787	0	0.0	0.050158797681717715	316.8966955589109	316.9468543565926
displacement_vector	112	0.00404530640316253	0.003755282008962493	0.023636269390360194	8	0.0	3.334294477212382e-07	5.096589196316956e-05	5.095508439364614e-05
equivalent_stress	216	0.0017637565187490817	0.0011317703504307817	0.07689569714885906	0	0.0	5.007357188100286	3882.7527304011464	3885.740697800117
equivalent_plastic_strain	216	0.0030732734476956857	0.0024604685095916076	0.030550496753372257	108	0.0	3.7754944082939515e-07	0.00019273443226989925	0.0001927933315904075
equivalent_creep_strain	216	0.002384081761183471	0.0003184857702376706	0.010469069115963632	108	0.0	3.3070298919938966e-10	2.0906990450059313e-06	2.090917944650715e-06
