local_node,label,copen_m,cpress_pa,cnormf_x_n,cnormf_y_n,cnormf_z_n,cshearf_x_n,cshearf_y_n,cshearf_z_n,cshear1_pa,cshear2_pa,cslip1_m,cslip2_m
1,21,-1.18144091851516e-07,1111613.138268259,-8.565671659380813,3.574630244625275e-16,-9.67204222614942e-16,3.613868875827365e-19,0.008564997439824138,0.0001084688463546012,-39.69274336913497,-1111.079030313934,-9.993031477081262e-08,-2.578001272674968e-06
2,24,-1.181708147902633e-07,1111871.532443003,-8.564957145451297,-2.508240148116202e-15,-7.662442138922455e-17,-2.552877205008e-18,0.008564060558243099,0.0001009405525139584,-36.4097422949075,-1111.419330925783,-9.993964270820486e-08,-2.778422231772518e-06
3,28,-1.181708147902628e-07,1111871.532443003,-8.564957145451297,-1.02467450234052e-15,2.232930248726258e-15,-9.80716455816813e-19,0.00856406055824311,-0.0001009405525133477,36.40974229499488,-1111.419330925779,9.993964270821653e-08,-2.778422231772516e-06
4,25,-1.181440918515137e-07,1111613.138268261,-8.565671659380806,-7.334636554527704e-16,7.689093421942951e-17,-7.744994936933905e-19,0.008564997439824142,-0.000108468846353958,39.69274336921039,-1111.079030313932,9.993031477080809e-08,-2.578001272674965e-06
5,32,-1.041911037297775e-07,1111742.335355631,35.19500632437591,3.69853673031231e-15,-2.487432983280858e-15,3.812324694423369e-18,-0.03518679816359006,0.0003362755028500029,-38.05124283202124,-1111.249180619858,-6.663124970702048e-08,-2.678204893219698e-06
6,36,-1.042029599581671e-07,1111871.532443003,35.19637366722981,4.611576019242136e-15,1.626344312593834e-15,4.728409594399414e-18,-0.03518958158990428,-1.311810764131274e-15,4.368772010820976e-11,-1111.419330925781,4.359655418460732e-21,-2.745004552855822e-06
7,40,-1.041911037297784e-07,1111742.335355632,35.1950063243759,3.023677185458191e-15,2.531444806617892e-15,3.152239441882641e-18,-0.03518679816359002,-0.0003362755028525764,38.05124283210263,-1111.249180619856,6.663124970702474e-08,-2.678204893219695e-06
8,33,-1.041788875832389e-07,1111613.13826826,35.19362497236237,3.727571177032257e-15,-1.083251144144275e-15,3.817933143797245e-18,-0.03518650975749202,-1.264127350295134e-15,3.770850298678852e-11,-1111.079030313933,-2.589075317290977e-22,-2.611401479179579e-06
