stage,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,e11,e22,e33,e12_engineering,e13_engineering,e23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,pe11,pe22,pe33,pe12_engineering,pe13_engineering,pe23_engineering,peeq,ivol_m3
1,0.1,1,1,0.5,0.5,0.5,600,100000000,-3.725290298461914e-09,-7.450580596923828e-09,5.212510444641848e-10,-1.563753133392555e-09,-5.212510444641848e-10,0.0005,-0.00015,-0.00015,6.776263578034403e-21,-2.032879073410321e-20,-6.776263578034403e-21,0.0005,-0.00015,-0.00015,6.776263578034403e-21,-2.032879073410321e-20,-6.776263578034403e-21,0,0,0,0,0,0,0,1
2,0.2,1,1,0.5,0.5,0.5,600,201980198.0198025,1.490116119384766e-08,4.470348358154297e-08,2.445785155553823e-10,3.179520702219971e-09,-5.13614882666303e-09,0.002,-0.0007980198019801978,-0.0007980198019801976,6.776263578034403e-21,8.809142651444724e-20,-1.423015351387225e-19,0.001009900990099012,-0.0003029702970297037,-0.0003029702970297035,3.179520702219971e-21,4.133376912885962e-20,-6.676993474661939e-20,0.0009900990099009877,-0.0004950495049504941,-0.0004950495049504941,3.596742875814432e-21,4.675765738558761e-20,-7.553160039210306e-20,0.0009900990099012098,1
3,0.3,1,1,0.5,0.5,0.5,600,205940594.0594062,-5.960464477539062e-08,-5.960464477539062e-08,2.66690550250003e-09,9.877555122705429e-10,6.177167869462165e-09,0.004,-0.001794059405940594,-0.001794059405940594,1.151964808265848e-19,8.809142651444724e-20,1.829591166069289e-19,0.001029702970297032,-0.0003089108910891097,-0.0003089108910891097,3.46697715325004e-20,1.284082165951706e-20,8.030318230300814e-20,0.002970297029702969,-0.001485148514851484,-0.001485148514851484,8.052670929408446e-20,7.525060485493018e-20,1.026559343039207e-19,0.002970297029703191,1
4,0.4,1,1,0.5,0.5,0.5,600,-194059405.9405936,0,1.490116119384766e-08,2.66690550250003e-09,-5.267257021299675e-09,2.007159513748686e-09,0.002,-0.001194059405940594,-0.001194059405940594,1.151964808265848e-19,6.776263578034403e-21,1.287490079826537e-19,-0.0009702970297029681,0.0002910891089108904,0.0002910891089108905,3.46697715325004e-20,-6.847434127689578e-20,2.609307367873292e-20,0.002970297029702969,-0.001485148514851484,-0.001485148514851484,8.052670929408446e-20,7.525060485493018e-20,1.026559343039207e-19,0.002970297029703191,1
5,0.5,1,1,0.5,0.5,0.5,600,-209783354.5730814,-1.192092895507812e-07,-8.940696716308594e-08,2.195831719412379e-09,9.022650303798625e-09,1.983939161030223e-09,0,-0.0002097833545730817,-0.0002097833545730817,1.694065894508601e-19,4.404571325722362e-19,1.829591166069289e-19,-0.001048916772865408,0.000314675031859622,0.0003146750318596222,2.854581235236091e-20,1.172944539493821e-19,2.57912090933929e-20,0.001048916772865408,-0.0005244583864327037,-0.0005244583864327037,1.408607770984992e-19,3.231626786228541e-19,1.57167907513536e-19,0.004891677286540752,1
6,0.6000000000000001,1,1,0.5,0.5,0.5,600,-213743750.6126854,2.980232238769531e-08,0,2.028676197225456e-09,-2.440267220561046e-09,-8.670090050990444e-09,-0.002,0.0007862562493873152,0.0007862562493873143,2.236166980751353e-19,2.236166980751353e-19,-1.965116437629977e-19,-0.001068718753063428,0.0003206156259190284,0.0003206156259190284,2.637279056393094e-20,-3.172347386729361e-20,-1.127111706628757e-19,-0.0009312812469365718,0.0004656406234682867,0.0004656406234682862,1.972439075112044e-19,2.553401719424289e-19,-8.380047310012194e-20,0.006871875306342732,1
7,0.7000000000000001,1,1,0.5,0.5,0.5,600,-217704146.6522895,5.960464477539062e-08,5.960464477539062e-08,-4.72771490511705e-09,7.286067399187416e-09,-5.48883861337041e-09,-0.004,0.001782295853347711,0.001782295853347711,6.776263578034403e-21,5.488773498207866e-19,-3.049318610115481e-19,-0.001088520733261448,0.0003265562199784345,0.0003265562199784343,-6.146029376652165e-20,9.471887618943637e-20,-7.135490197381532e-20,-0.002911479266738552,0.001455739633369277,0.001455739633369277,6.823655734455605e-20,4.541584736313502e-19,-2.335769590377328e-19,0.008852073326144712,1
8,0.8,1,1,0.5,0.5,0.5,600,219333767.5106601,6.705522537231445e-08,5.21540641784668e-08,6.435345559976603e-09,3.922951134331816e-09,-5.200498787306155e-09,-0.001,0.0007193337675106607,0.0007193337675106604,2.236166980751353e-19,5.488773498207866e-19,-3.591419696358233e-19,0.0010966688375533,-0.0003290006512659898,-0.0003290006512659898,8.365949227969584e-20,5.09983647463136e-20,-6.760648423498001e-20,-0.0020966688375533,0.00104833441877665,0.00104833441877665,1.399572057954394e-19,4.97878985074473e-19,-2.915354854008433e-19,0.009666883755329965,1
9,0.9,1,1,0.5,0.5,0.5,600,227254559.5898679,5.960464477539062e-08,-1.192092895507812e-07,9.585586577185897e-09,-2.579180181658388e-08,1.059007561950741e-08,0.003,-0.001272745440410131,-0.001272745440410132,7.657177843178875e-19,-1.18584612615602e-18,3.997995511040298e-19,0.00113627279794934,-0.0003408818393848016,-0.0003408818393848025,1.246126255034167e-19,-3.352934236155904e-19,1.376709830535964e-19,0.00186372720205066,-0.0009318636010253293,-0.0009318636010253293,6.411051588144708e-19,-8.505527025404302e-19,2.621285680504334e-19,0.01362727979493392,1
10,1,1,1,0.5,0.5,0.5,600,-228695063.3603656,-4.470348358154297e-08,0,-1.693574900662034e-09,-2.861828277198432e-09,1.096262730401408e-08,0,-0.000228695063360365,-0.000228695063360365,6.030874584450618e-19,-9.147955830346444e-19,5.082197683525802e-19,-0.001143475316801828,0.0003430425950405481,0.0003430425950405483,-2.201647370860644e-20,-3.720376760357961e-20,1.425141549521831e-19,0.001143475316801828,-0.0005717376584009131,-0.0005717376584009131,6.251039321536683e-19,-8.775918154310648e-19,3.657056134003971e-19,0.01434753168018276,1
