diagnostic_only,time=0.02500000037252903
node,abaqus_gap,fixed_normal,point_normal,area_fixed_normal,area_point_normal,primary_normal,fixed_projection_current_normal,fixed_projection_reference_normal
57,-3.430476523129e-06,-3.433053719129e-06,-3.433053723428e-06,-3.433059320925e-06,-3.433059325225e-06,-3.433053741407e-06,-3.432697047863e-06,-3.432399017787e-06
60,-2.894262259260e-06,-2.894951326325e-06,-2.894951326447e-06,-2.894951598044e-06,-2.894951598166e-06,-2.894951326840e-06,-2.894981807506e-06,-2.894988604193e-06
61,-3.393466219649e-06,-3.395982698026e-06,-3.395982702314e-06,-3.395989122864e-06,-3.395989127152e-06,-3.395982720279e-06,-3.395638545380e-06,-3.395338566510e-06
64,-2.906026893642e-06,-2.906764591297e-06,-2.906764591419e-06,-2.906765058203e-06,-2.906765058325e-06,-2.906764591808e-06,-2.906795365216e-06,-2.906802338095e-06
68,-2.172367844363e-06,-2.179767340257e-06,-2.179767342598e-06,-2.179765509812e-06,-2.179765512153e-06,-2.179767343697e-06,-2.179638168612e-06,-2.179808557568e-06
69,-2.814547698614e-06,-2.820677778154e-06,-2.820677787538e-06,-2.820682281375e-06,-2.820682290759e-06,-2.820677800030e-06,-2.820311266786e-06,-2.820241469292e-06
72,-2.680693786770e-06,-2.681783809478e-06,-2.681783809141e-06,-2.681783658220e-06,-2.681783657883e-06,-2.681783809562e-06,-2.681795625843e-06,-2.681841346271e-06
76,-2.163173326351e-06,-2.170517801587e-06,-2.170517803905e-06,-2.170513416489e-06,-2.170513418807e-06,-2.170517804999e-06,-2.170389507406e-06,-2.170559442008e-06
78,-4.267825821842e-06,-4.267824980797e-06,-4.267824980703e-06,-4.267825816741e-06,-4.267825816647e-06,-4.267824983335e-06,-4.267722290355e-06,-4.267735913695e-06
80,-4.259293152597e-06,-4.259292125809e-06,-4.259292125714e-06,-4.259293147370e-06,-4.259293147275e-06,-4.259292128363e-06,-4.259192800483e-06,-4.259205497706e-06
83,-1.715069778741e-06,-1.715068774058e-06,-1.715068774047e-06,-1.715069777710e-06,-1.715069777699e-06,-1.715068774564e-06,-1.715040462978e-06,-1.715057796964e-06
85,-3.560386069309e-06,-3.560383361255e-06,-3.560383361342e-06,-3.560386063865e-06,-3.560386063951e-06,-3.560383363995e-06,-3.560285356783e-06,-3.560307254912e-06
88,-1.714080277542e-06,-1.714079202962e-06,-1.714079202950e-06,-1.714080276507e-06,-1.714080276495e-06,-1.714079203468e-06,-1.714051763513e-06,-1.714068954804e-06
