effective_creep_strain,effective_plastic_strain,id,vonmises_stress,x,y,z
4.034624215631585e-05,0.00271139761160854,641,55227952.23217081,0.0043751795783650372,0.00087821835354297761,-0.00078125000000000026
4.217689665003981e-05,0.002750295478401016,642,56005909.56802034,0.0037060592496129747,0.0024856767001764967,-0.00078125000000000026
4.216689406447413e-05,0.002750088452152232,643,56001769.04304463,0.0024727249956180931,0.0037147133019235414,-0.00078125000000000026
4.033142534035365e-05,0.00271107565316629,644,55221513.06332579,0.00086294077634826061,0.0043782184774126638,-0.00078125000000000026
4.03462421563159e-05,0.002711397611608541,645,55227952.23217081,-0.0008782183535429775,0.0043751795783650372,-0.00078125000000000026
4.217689665003986e-05,0.002750295478401017,646,56005909.56802035,-0.0024856767001764967,0.0037060592496129747,-0.00078125000000000026
4.216689406447412e-05,0.002750088452152232,647,56001769.04304463,-0.0037147133019235414,0.0024727249956180935,-0.00078125000000000026
4.033142534035364e-05,0.00271107565316629,648,55221513.06332579,-0.0043782184774126638,0.00086294077634826093,-0.00078125000000000026
4.034624215631576e-05,0.002711397611608537,649,55227952.23217074,-0.004375179578365038,-0.0008782183535429762,-0.00078125000000000026
4.217689665003982e-05,0.002750295478401016,650,56005909.56802032,-0.0037060592496129755,-0.0024856767001764958,-0.00078125000000000026
4.216689406447433e-05,0.002750088452152237,651,56001769.04304475,-0.0024727249956180927,-0.0037147133019235423,-0.00078125000000000026
4.033142534035363e-05,0.002711075653166288,652,55221513.06332576,-0.00086294077634826007,-0.0043782184774126638,-0.00078125000000000026
4.034624215631582e-05,0.002711397611608538,653,55227952.23217076,0.00087821835354297772,-0.0043751795783650363,-0.00078125000000000026
4.217689665004006e-05,0.002750295478401023,654,56005909.56802045,0.0024856767001764967,-0.0037060592496129747,-0.00078125000000000026
4.216689406447418e-05,0.002750088452152234,655,56001769.0430447,0.0037147133019235414,-0.0024727249956180927,-0.00078125000000000026
4.033142534035355e-05,0.002711075653166287,656,55221513.06332575,0.0043782184774126638,-0.00086294077634825996,-0.00078125000000000026
1.600563650805545e-06,0.000949583766798442,657,19991675.33596883,0.0041018435427266388,0.00082335232601593762,-0.00078125000000000026
1.528444434909226e-06,0.0009325857888874251,658,19651715.7777485,0.0034745260005231669,0.0023303859280068948,-0.00078125000000000026
1.528941109825785e-06,0.000932698771709844,659,19653975.43419688,0.002318243371396671,0.0034826393974598437,-0.00078125000000000026
1.60104439367394e-06,0.000949702612850401,660,19994052.25700802,0.00080902920390352477,0.0041046925888542866,-0.00078125000000000026
1.600563650805544e-06,0.0009495837667984423,661,19991675.33596884,-0.00082335232601593751,0.0041018435427266388,-0.00078125000000000026
1.528444434909222e-06,0.0009325857888874248,662,19651715.7777485,-0.0023303859280068943,0.0034745260005231669,-0.00078125000000000026
1.528941109825787e-06,0.0009326987717098449,663,19653975.43419689,-0.0034826393974598437,0.0023182433713966714,-0.00078125000000000026
1.601044393673947e-06,0.0009497026128504026,664,19994052.25700805,-0.0041046925888542866,0.00080902920390352499,-0.00078125000000000026
1.600563650805549e-06,0.0009495837667984428,665,19991675.33596886,-0.0041018435427266388,-0.00082335232601593643,-0.00078125000000000026
1.528444434909216e-06,0.0009325857888874235,666,19651715.77774847,-0.0034745260005231674,-0.0023303859280068935,-0.00078125000000000026
1.52894110982579e-06,0.000932698771709846,667,19653975.43419692,-0.0023182433713966706,-0.0034826393974598446,-0.00078125000000000026
1.601044393673947e-06,0.0009497026128504026,668,19994052.25700805,-0.00080902920390352445,-0.0041046925888542866,-0.00078125000000000026
1.600563650805551e-06,0.0009495837667984439,669,19991675.33596888,0.00082335232601593784,-0.0041018435427266388,-0.00078125000000000026
1.528444434909218e-06,0.000932585788887424,670,19651715.77774848,0.0023303859280068943,-0.0034745260005231665,-0.00078125000000000026
1.528941109825793e-06,0.0009326987717098457,671,19653975.43419691,0.0034826393974598446,-0.002318243371396671,-0.00078125000000000026
1.601044393673943e-06,0.0009497026128504018,672,19994052.25700803,0.0041046925888542866,-0.00080902920390352401,-0.00078125000000000026
3.396863870217633e-05,0.002646797523775859,673,53935950.47551719,0.0043751795783650372,0.00087821835354297761,-0.00034375000000000009
3.338329061174403e-05,0.002631914757579619,674,53638295.15159238,0.0037060592496129747,0.0024856767001764967,-0.00034375000000000009
3.338558347671596e-05,0.002631973438485264,675,53639468.76970529,0.0024727249956180931,0.0037147133019235414,-0.00034375000000000009
3.397391007901203e-05,0.002646931260815789,676,53938625.21631577,0.00086294077634826061,0.0043782184774126638,-0.00034375000000000009
3.396863870217632e-05,0.00264679752377586,677,53935950.47551719,-0.0008782183535429775,0.0043751795783650372,-0.00034375000000000009
3.338329061174408e-05,0.002631914757579621,678,53638295.15159243,-0.0024856767001764967,0.0037060592496129747,-0.00034375000000000009
3.338558347671591e-05,0.002631973438485264,679,53639468.76970527,-0.0037147133019235414,0.0024727249956180935,-0.00034375000000000009
3.397391007901197e-05,0.002646931260815787,680,53938625.21631575,-0.0043782184774126638,0.00086294077634826093,-0.00034375000000000009
3.396863870217628e-05,0.002646797523775857,681,53935950.47551713,-0.004375179578365038,-0.0008782183535429762,-0.00034375000000000009
3.338329061174406e-05,0.002631914757579621,682,53638295.15159243,-0.0037060592496129755,-0.0024856767001764958,-0.00034375000000000009
3.338558347671603e-05,0.002631973438485266,683,53639468.76970531,-0.0024727249956180927,-0.0037147133019235423,-0.00034375000000000009
3.397391007901198e-05,0.002646931260815788,684,53938625.21631577,-0.00086294077634826007,-0.0043782184774126638,-0.00034375000000000009
3.396863870217622e-05,0.002646797523775857,685,53935950.47551712,0.00087821835354297772,-0.0043751795783650363,-0.00034375000000000009
3.338329061174414e-05,0.002631914757579622,686,53638295.15159246,0.0024856767001764967,-0.0037060592496129747,-0.00034375000000000009
3.33855834767159e-05,0.002631973438485264,687,53639468.76970528,0.0037147133019235414,-0.0024727249956180927,-0.00034375000000000009
3.39739100790119e-05,0.002646931260815786,688,53938625.21631573,0.0043782184774126638,-0.00086294077634825996,-0.00034375000000000009
1.233333170683967e-05,0.001934328737133637,689,39686574.74267274,0.0041018435427266388,0.00082335232601593762,-0.00034375000000000009
1.280652242322664e-05,0.001957813521462824,690,40156270.42925647,0.0034745260005231669,0.0023303859280068948,-0.00034375000000000009
1.280360202663027e-05,0.001957672507701396,691,40153450.15402792,0.002318243371396671,0.0034826393974598437,-0.00034375000000000009
1.232977070796158e-05,0.001934147317474563,692,39682946.34949128,0.00080902920390352477,0.0041046925888542866,-0.00034375000000000009
1.233333170683967e-05,0.001934328737133638,693,39686574.74267274,-0.00082335232601593751,0.0041018435427266388,-0.00034375000000000009
