node,temperature_k,reaction_heat_flux_w,u1_m,u2_m,u3_m,rf1_n,rf2_n,rf3_n
1,300,0,-0,-0,-0,0,0,0
2,300,-640.5771484375,-6.375220877971719e-33,-6.519062080920012e-34,0,6375.22119140625,651.9063110351562,0
3,300,-1281.154296875,-1.227732144278479e-32,-3.225276951406052e-33,-0,12277.322265625,3225.277099609375,0
4,300,0,-0,-0,0,0,0,0
5,300,0,-0,-0,0,0,0,0
6,300,-640.5771484375,-6.375220877971719e-33,-6.519062080920012e-34,-0,6375.22119140625,651.9063110351562,0
7,300,-1281.154296875,-1.227732144278479e-32,-3.225276951406052e-33,-0,12277.322265625,3225.277099609375,0
8,300,0,-0,-0,-0,0,0,0
9,300,-1281.154296875,-1.100019972786216e-32,-6.350968225462348e-33,-0,11000.201171875,6350.96923828125,0
10,300,0,-0,-0,-0,0,0,0
11,300,-1281.154296875,-1.100019972786216e-32,-6.350968225462348e-33,0,11000.201171875,6350.96923828125,0
12,300,0,-0,-0,0,0,0,0
13,300,-1281.154296875,-8.981625400266776e-33,-8.981625400266776e-33,-0,8981.626953125,8981.626953125,0
14,300,0,-0,-0,-0,0,0,0
15,300,-1281.154296875,-8.981625400266776e-33,-8.981625400266776e-33,0,8981.626953125,8981.626953125,0
16,300,0,-0,-0,0,0,0,0
17,300,-1281.154296875,-6.350968225462348e-33,-1.100019972786216e-32,-0,6350.96923828125,11000.201171875,0
18,300,0,-0,-0,-0,0,0,0
19,300,-1281.154296875,-6.350968225462348e-33,-1.100019972786216e-32,0,6350.96923828125,11000.201171875,0
20,300,0,-0,-0,0,0,0,0
21,300,-1281.154296875,-3.225276951406052e-33,-1.227732144278479e-32,-0,3225.277099609375,12277.322265625,0
22,300,0,-0,-0,0,0,0,0
23,300,-1281.154296875,-3.225276951406052e-33,-1.227732144278479e-32,-0,3225.277099609375,12277.322265625,0
24,300,0,-0,-0,-0,0,0,0
25,300,-640.5771484375,-6.519062080920012e-34,-6.375220877971719e-33,-0,651.9063110351562,6375.22119140625,0
26,300,0,-0,-0,-0,0,0,0
27,300,-640.5771484375,-6.519062080920012e-34,-6.375220877971719e-33,0,651.9063110351562,6375.22119140625,0
28,300,0,-0,-0,0,0,0,0
29,400,640.5771484375,-0.01499999966472387,6.50045483186596e-34,-0,-97729.8203125,693283.5,-1886.262817382812
30,400,0,-0.01499999966472387,0,0,-82291.90625,625113.875,1884.004028320312
31,400,0,-0.01448888704180717,-0.003882285673171282,-1.884004101655236e-33,-158975.765625,-42597.42578125,3768.008056640625
32,400,1281.154296875,-0.01448888704180717,-0.003882285673171282,1.886262887518738e-33,-188788.34375,-50520.609375,-3772.525634765625
33,400,640.5771484375,-0.01499999966472387,6.50045483186596e-34,0,-97729.8203125,693283.5,1886.262817382812
34,400,0,-0.01499999966472387,0,0,-82291.90625,625113.875,-1884.004028320312
35,400,0,-0.01448888704180717,-0.003882285673171282,1.884004101655236e-33,-158975.765625,-42597.42578125,-3768.008056640625
36,400,1281.154296875,-0.01448888704180717,-0.003882285673171282,-1.886262887518738e-33,-188788.34375,-50520.609375,3772.525634765625
37,400,0,-0.0129903806373477,-0.007499999832361937,-1.884004101655236e-33,-142533.765625,-82291.90625,3768.008056640625
38,400,1281.154296875,-0.0129903806373477,-0.007499999832361937,1.886262887518738e-33,-169247.25,-97714.9453125,-3772.525634765625
39,400,0,-0.0129903806373477,-0.007499999832361937,1.884004101655236e-33,-142533.765625,-82291.90625,-3768.008056640625
40,400,1281.154296875,-0.0129903806373477,-0.007499999832361937,-1.886262887518738e-33,-169247.25,-97714.9453125,3772.525634765625
41,400,0,-0.01060660183429718,-0.01060660183429718,-1.884004101655236e-33,-116378.3359375,-116378.3359375,3768.008056640625
42,400,1281.154296875,-0.01060660183429718,-0.01060660183429718,1.886262887518738e-33,-138189.796875,-138189.796875,-3772.525634765625
43,400,0,-0.01060660183429718,-0.01060660183429718,1.884004101655236e-33,-116378.3359375,-116378.3359375,-3768.008056640625
44,400,1281.154296875,-0.01060660183429718,-0.01060660183429718,-1.886262887518738e-33,-138189.796875,-138189.796875,3772.525634765625
45,400,0,-0.007499999832361937,-0.0129903806373477,-1.884004101655236e-33,-82291.90625,-142533.765625,3768.008056640625
46,400,1281.154296875,-0.007499999832361937,-0.0129903806373477,1.886262887518738e-33,-97714.9453125,-169247.25,-3772.525634765625
47,400,0,-0.007499999832361937,-0.0129903806373477,1.884004101655236e-33,-82291.90625,-142533.765625,-3768.008056640625
48,400,1281.154296875,-0.007499999832361937,-0.0129903806373477,-1.886262887518738e-33,-97714.9453125,-169247.25,3772.525634765625
49,400,0,-0.003882285673171282,-0.01448888704180717,-1.884004101655236e-33,-42597.42578125,-158975.765625,3768.008056640625
50,400,1281.154296875,-0.003882285673171282,-0.01448888704180717,1.886262887518738e-33,-50520.609375,-188788.34375,-3772.525634765625
51,400,0,-0.003882285673171282,-0.01448888704180717,1.884004101655236e-33,-42597.42578125,-158975.765625,-3768.008056640625
52,400,1281.154296875,-0.003882285673171282,-0.01448888704180717,-1.886262887518738e-33,-50520.609375,-188788.34375,3772.525634765625
53,400,0,-9.184851187593606e-19,-0.01499999966472387,0,625113.875,-82291.90625,1884.004028320312
54,400,640.5771484375,-9.184851187593606e-19,-0.01499999966472387,0,693283.5,-97729.8203125,-1886.262817382812
55,400,0,-9.184851187593606e-19,-0.01499999966472387,0,625113.875,-82291.90625,-1884.004028320312
56,400,640.5771484375,-9.184851187593606e-19,-0.01499999966472387,0,693283.5,-97729.8203125,1886.262817382812
