step,id,normal_x,normal_y,normal_z,tangent_x,tangent_y,tangent_z,slip1,slip2,gap,pressure
1,8,624.9999999999999,0,0,0,-51.56249999999997,-68.74999999999999,4e-06,-2.999999999999999e-06,-9.999999999999998e-05,2500
1,11,624.9999999999999,0,0,0,-51.56249999999996,-68.74999999999997,4e-06,-2.999999999999999e-06,-9.999999999999998e-05,2500
1,12,625,0,0,0,-51.56249999999999,-68.75,4.000000000000001e-06,-3.000000000000001e-06,-9.999999999999998e-05,2500
1,15,625,0,0,0,-51.56249999999997,-68.74999999999999,4e-06,-2.999999999999998e-06,-9.999999999999998e-05,2500
2,8,624.9999999999998,0,0,0,-154.6874999999999,-206.2499999999999,1.2e-05,-8.999999999999997e-06,-9.999999999999998e-05,2500
2,11,624.9999999999998,0,0,0,-154.6874999999999,-206.2499999999999,1.2e-05,-8.999999999999997e-06,-9.999999999999998e-05,2500
2,12,624.9999999999999,0,0,0,-154.6874999999999,-206.2499999999999,1.2e-05,-8.999999999999999e-06,-9.999999999999998e-05,2500
2,15,624.9999999999999,0,0,0,-154.6874999999999,-206.2499999999999,1.2e-05,-8.999999999999999e-06,-9.999999999999998e-05,2500
3,8,624.9999999999998,0,0,0,-206.25,-274.9999999999999,2.399999999999999e-05,-1.8e-05,-9.999999999999998e-05,2500
3,11,624.9999999999998,0,0,0,-206.25,-274.9999999999999,2.399999999999999e-05,-1.8e-05,-9.999999999999998e-05,2500
3,12,624.9999999999999,0,0,0,-206.25,-274.9999999999999,2.399999999999999e-05,-1.8e-05,-9.999999999999998e-05,2500
3,15,624.9999999999999,0,0,0,-206.25,-274.9999999999999,2.399999999999999e-05,-1.8e-05,-9.999999999999998e-05,2500
