stage,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,e11,e22,e33,e12_engineering,e13_engineering,e23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,pe11,pe22,pe33,pe12_engineering,pe13_engineering,pe23_engineering,peeq,ce11,ce22,ce33,ce12_engineering,ce13_engineering,ce23_engineering,ceeq,ivol_m3
1,0.001,1,1,0.2113248654051851,0.211324865405185,0.211324865405185,600,227116165.0550006,75298129.05694419,0.05610832571983337,-2.267366417938408e-23,2.357572772092875e-09,2.571897569555864e-09,0.0012,-3.726944967918921e-20,-0.000595171411663894,-3.584343169293696e-34,3.726944967918921e-20,4.065758146820642e-20,0.001022633631605424,3.581639761805762e-05,-0.0004536214408873758,-2.94757634331993e-34,3.064844603720738e-20,3.343466840422623e-20,0.0001772902970916081,-3.580103619379741e-05,-0.0001414892608978108,-6.364937207476913e-35,6.618163935793131e-21,7.219815202683417e-21,0.0001874971547958156,7.607130296758108e-08,-1.536142426025981e-08,-6.070987870732129e-08,-2.73105226074171e-38,2.83970618870754e-24,3.097861296771863e-24,8.045083742322335e-08,0.1250000000000001
1,0.001,1,2,0.7886751345948151,0.2113248654051851,0.2113248654051851,600,227116165.0550007,75298129.05694425,0.05610838532447815,-6.075390006320364e-24,-2.143247974629886e-10,3.000547164481841e-09,0.0012,-1.355252715606881e-20,-0.0005951714116638939,-9.604218576082449e-35,-3.388131789017201e-21,4.743384504624082e-20,0.001022633631605425,3.581639761805765e-05,-0.0004536214408873757,-7.898007008216472e-35,-2.786222367018852e-21,3.900711313826394e-20,0.0001772902970916081,-3.580103619379741e-05,-0.0001414892608978108,-1.705479784618223e-35,-6.016512668902847e-22,8.423117736463987e-21,0.0001874971547958156,7.607130296758108e-08,-1.536142426025981e-08,-6.070987870732129e-08,-7.317832477529241e-39,-2.581551080643219e-25,3.614171512900507e-24,8.045083742322335e-08,0.125
1,0.001,1,3,0.211324865405185,0.7886751345948151,0.2113248654051851,600,227116165.0550006,75298129.05694419,0.05610829591751099,-2.267366417938408e-23,-8.572991898519547e-10,2.571897569555864e-09,0.0012,2.710505431213761e-20,-0.0005951714116638938,-3.584343169293696e-34,-1.355252715606881e-20,4.065758146820642e-20,0.001022633631605424,3.581639761805764e-05,-0.0004536214408873758,-2.947576343319931e-34,-1.114488946807541e-20,3.343466840422623e-20,0.000177290297091608,-3.580103619379735e-05,-0.0001414892608978106,-6.364937207476909e-35,-2.406605067561137e-21,7.219815202683411e-21,0.0001874971547958154,7.607130296758108e-08,-1.53614242602598e-08,-6.070987870732129e-08,-2.73105226074171e-38,-1.032620432257288e-24,3.097861296771863e-24,8.045083742322335e-08,0.1250000000000001
1,0.001,1,4,0.7886751345948151,0.7886751345948151,0.211324865405185,600,227116165.0550006,75298129.05694419,0.05610829591751099,-6.075390006320365e-24,6.001094328963683e-09,3.000547164481841e-09,0.0012,1.694065894508601e-20,-0.0005951714116638938,-9.604218576082449e-35,9.486769009248164e-20,4.743384504624082e-20,0.001022633631605424,3.581639761805762e-05,-0.0004536214408873758,-7.898007008216473e-35,7.801422627652788e-20,3.900711313826394e-20,0.000177290297091608,-3.580103619379735e-05,-0.0001414892608978106,-1.705479784618222e-35,1.684623547292796e-20,8.42311773646398e-21,0.0001874971547958154,7.607130296758108e-08,-1.53614242602598e-08,-6.070987870732129e-08,-7.317832477529241e-39,7.228343025801015e-24,3.614171512900507e-24,8.045083742322335e-08,0.125
1,0.001,1,5,0.211324865405185,0.211324865405185,0.7886751345948151,600,227116165.0550006,75298129.05694419,0.05610832571983337,-8.461926671121697e-23,6.001094328963683e-09,1.028759027822346e-08,0.0012,-3.726944967918921e-20,-0.000595171411663894,-1.33769508195667e-33,9.486769009248164e-20,1.626303258728257e-19,0.001022633631605424,3.581639761805762e-05,-0.0004536214408873758,-1.100050467245821e-33,7.801422627652787e-20,1.337386736169049e-19,0.0001772902970916081,-3.580103619379741e-05,-0.0001414892608978108,-2.375426904528971e-34,1.684623547292797e-20,2.887926081073367e-20,0.0001874971547958156,7.607130296758108e-08,-1.536142426025981e-08,-6.070987870732129e-08,-1.019242579521404e-37,7.228343025801013e-24,1.239144518708745e-23,8.045083742322335e-08,0.125
1,0.001,1,6,0.7886751345948151,0.211324865405185,0.788675134594815,600,227116165.0550006,75298129.05694422,0.05610832571983337,-2.267366417938409e-23,2.571897569555864e-09,8.572991898519544e-09,0.0012,6.776263578034403e-21,-0.0005951714116638939,-3.584343169293697e-34,4.065758146820642e-20,1.355252715606881e-19,0.001022633631605424,3.581639761805764e-05,-0.0004536214408873758,-2.947576343319931e-34,3.343466840422623e-20,1.114488946807541e-19,0.0001772902970916081,-3.580103619379737e-05,-0.0001414892608978107,-6.364937207476914e-35,7.219815202683415e-21,2.406605067561138e-20,0.0001874971547958155,7.607130296758108e-08,-1.53614242602598e-08,-6.070987870732129e-08,-2.73105226074171e-38,3.097861296771863e-24,1.032620432257288e-23,8.045083742322335e-08,0.125
1,0.001,1,7,0.211324865405185,0.7886751345948151,0.7886751345948151,600,227116165.0550006,75298129.05694419,0.05610832571983337,-8.461926671121697e-23,-6.858393518815636e-09,6.858393518815636e-09,0.0012,-1.355252715606881e-20,-0.000595171411663894,-1.33769508195667e-33,-1.084202172485504e-19,1.084202172485504e-19,0.001022633631605424,3.581639761805765e-05,-0.0004536214408873758,-1.100050467245821e-33,-8.915911574460328e-20,8.915911574460328e-20,0.0001772902970916081,-3.580103619379741e-05,-0.0001414892608978108,-2.375426904528972e-34,-1.925284054048911e-20,1.925284054048911e-20,0.0001874971547958156,7.607130296758108e-08,-1.536142426025981e-08,-6.070987870732129e-08,-1.019242579521404e-37,-8.260963458058301e-24,8.260963458058301e-24,8.045083742322335e-08,0.125
1,0.001,1,8,0.7886751345948151,0.7886751345948151,0.7886751345948151,600,227116165.0550006,75298129.05694419,0.05610832571983337,-2.267366417938408e-23,0,8.572991898519544e-09,0.0012,-3.049318610115481e-20,-0.000595171411663894,-3.584343169293696e-34,0,1.355252715606881e-19,0.001022633631605424,3.581639761805764e-05,-0.0004536214408873758,-2.947576343319931e-34,0,1.114488946807541e-19,0.0001772902970916081,-3.580103619379741e-05,-0.0001414892608978108,-6.364937207476913e-35,0,2.406605067561139e-20,0.0001874971547958156,7.607130296758108e-08,-1.536142426025981e-08,-6.070987870732129e-08,-2.73105226074171e-38,0,1.032620432257288e-23,8.045083742322335e-08,0.125
2,0.002,1,1,0.2113248654051851,0.211324865405185,0.211324865405185,600,230534078.0718998,89091306.38366681,1.15394589304924,-1.03818337035287e-22,1.675309772406929e-09,1.645683270532211e-09,0.00165,-6.437450399132683e-20,-0.001010749228780975,-2.172911026293695e-33,4.065758146820642e-20,4.065758146820642e-20,0.00101903342905308,9.96554130795655e-05,-0.0004794380709136206,-1.349638381458731e-33,2.177902704129008e-20,2.139388251691874e-20,0.0006308150913078526,-9.962943879863747e-05,-0.0005311856525092153,-8.231190560009764e-34,1.887367697580567e-20,1.925859938094407e-20,0.0006784975496245242,1.51479639067246e-07,-2.597428092810394e-08,-1.255053581391421e-07,-1.535888339883528e-37,4.877451110663099e-24,5.09957034360459e-24,1.62090305144711e-07,0.1250000000000001
2,0.002,1,2,0.7886751345948151,0.2113248654051851,0.2113248654051851,600,230534078.0718999,89091306.38366686,1.153945952653885,-2.781803956814579e-23,2.962650187471837e-11,1.753197041201843e-09,0.00165,-2.032879073410321e-20,-0.001010749228780975,-5.822297547200476e-34,0,4.404571325722362e-20,0.00101903342905308,9.965541307956557e-05,-0.0004794380709136204,-3.616345143858952e-34,3.851445243713388e-22,2.279156153562397e-20,0.0006308150913078528,-9.962943879863749e-05,-0.0005311856525092154,-2.205540863301188e-34,-3.849224051383973e-22,2.124840506782781e-20,0.0006784975496245244,1.51479639067246e-07,-2.597428092810393e-08,-1.255053581391421e-07,-4.115400403361502e-38,-2.221192329414911e-25,5.746653771846464e-24,1.62090305144711e-07,0.125
