pressure,id,x,y,z
4856.51171875,56,1,2.777936478323686e-32,1.551477688300735e-32
5152.57421875,59,1,1.200000047683716,0
4869.01513671875,60,1,6.449304205380386e-33,1
5147.0654296875,63,1,1.200000047683716,1
5018.93408203125,67,1,0.6000000238418579,0
4862.76318359375,68,1,1.110010572742252e-32,0.5
5149.81982421875,71,1,1.200000047683716,0.5
5022.21142578125,75,1,0.6000000238418579,1
4900.30908203125,77,1,2,4.125053004366027e-32
4905.91064453125,79,1,2,1
5012.05078125,82,1,1.600000023841858,-4.123017048150403e-34
4903.10986328125,84,1,2,0.5
5012.31689453125,87,1,1.600000023841858,1
