step,input_local_node,input_label,output_local_node,output_label,closure_delta_m,copen_m,cpress_pa,cnormf_x_n,cnormf_y_n,cnormf_z_n
BASE,0,0,1,21,0,-0.0001,10000,-833.3333333333329,1.34915903892118e-13,-3.454598657035188e-14
BASE,0,0,2,24,0,-0.0001,10000,-833.333333333333,6.859230359870168e-14,-7.223751618067461e-14
BASE,0,0,3,28,0,-9.999999999999999e-05,9999.999999999996,-833.3333333333331,6.894148247496902e-14,-6.3685041846457e-14
BASE,0,0,4,25,0,-0.0001,10000,-833.3333333333329,1.615769124554407e-14,-1.147952095126723e-13
BASE,0,0,5,32,0,-0.0001,10000,3333.333333333333,-4.374852321488985e-13,4.867103105289605e-13
BASE,0,0,6,36,0,-9.999999999999999e-05,9999.999999999998,3333.333333333332,-3.332608768269987e-13,4.241533525339769e-13
BASE,0,0,7,40,0,-9.999999999999996e-05,10000,3333.333333333332,-1.824252036375623e-13,3.117160427198238e-13
BASE,0,0,8,33,0,-0.0001,10000,3333.333333333333,-3.792495699995111e-13,3.138718252801248e-13
S1_PLUS,1,21,1,21,1e-06,-0.0001004051580465416,10026.78766530564,-831.5285604962733,1.350622846184058e-13,-3.41474254200896e-14
S1_PLUS,1,21,2,24,1e-06,-9.991279256687243e-05,9986.690884627795,-832.596809286298,6.85033004636677e-14,-7.223724958354983e-14
S1_PLUS,1,21,3,28,1e-06,-9.997077430942548e-05,9994.760045599707,-832.4030494721241,6.883600423610009e-14,-6.361247790056097e-14
S1_PLUS,1,21,4,25,1e-06,-9.991279256687244e-05,9986.690884627795,-832.596809286298,1.610035942161581e-14,-1.147543581861119e-13
S1_PLUS,1,21,5,32,1e-06,-9.991293940475089e-05,10005.0220798236,3330.679196395281,-4.368938642071663e-13,4.865451265905498e-13
S1_PLUS,1,21,6,36,1e-06,-9.986690884627796e-05,9989.008269970636,3329.71675120855,-3.329715034633487e-13,4.237499124325235e-13
S1_PLUS,1,21,7,40,1e-06,-9.986690884627794e-05,9989.008269970636,3329.71675120855,-1.823582243626867e-13,3.114332169304555e-13
S1_PLUS,1,21,8,33,1e-06,-9.991293940475088e-05,10005.0220798236,3330.67919639528,-3.787426990693045e-13,3.138655722238105e-13
S1_MINUS,1,21,1,21,-1e-06,-9.95948419534584e-05,9973.212334694363,-835.138106170393,1.347695231658302e-13,-3.494454772061426e-14
S1_MINUS,1,21,2,24,-1e-06,-0.0001000872074331276,10013.30911537221,-834.0698573803683,6.868130673373562e-14,-7.223778277779943e-14
S1_MINUS,1,21,3,28,-1e-06,-0.0001000292256905745,10005.23995440029,-834.2636171945422,6.904696071383793e-14,-6.375760579235305e-14
S1_MINUS,1,21,4,25,-1e-06,-0.0001000872074331276,10013.30911537221,-834.0698573803683,1.621502306947241e-14,-1.148360608392328e-13
S1_MINUS,1,21,5,32,-1e-06,-0.0001000870605952492,9994.977920176399,3335.987470271388,-4.380766000906309e-13,4.868754944673716e-13
S1_MINUS,1,21,6,36,-1e-06,-0.000100133091153722,10010.99173002936,3336.949915458116,-3.335502501906489e-13,4.245567926354306e-13
S1_MINUS,1,21,7,40,-1e-06,-0.000100133091153722,10010.99173002936,3336.949915458116,-1.824921829124377e-13,3.119988685091921e-13
S1_MINUS,1,21,8,33,-1e-06,-0.0001000870605952492,9994.977920176399,3335.987470271387,-3.797564409297178e-13,3.138780783364392e-13
S2_PLUS,2,24,1,21,1e-06,-9.991279256687243e-05,9986.690884627793,-832.596809286298,1.34826900757084e-13,-3.454571997322712e-14
S2_PLUS,2,24,2,24,1e-06,-0.0001004051580465416,10026.78766530564,-831.528560496273,6.85062235444859e-14,-7.201546540571387e-14
S2_PLUS,2,24,3,28,1e-06,-9.991279256687242e-05,9986.690884627793,-832.596809286298,6.889251220052159e-14,-6.366209839617469e-14
S2_PLUS,2,24,4,25,1e-06,-9.99707743094255e-05,9994.760045599709,-832.4030494721241,1.60942988265084e-14,-1.146912680663149e-13
S2_PLUS,2,24,5,32,1e-06,-9.991293940475089e-05,10005.0220798236,3330.679196395281,-4.371204674475881e-13,4.864163021742758e-13
S2_PLUS,2,24,6,36,1e-06,-9.991293940475085e-05,10005.0220798236,3330.679196395279,-3.330289466224478e-13,4.239072774082786e-13
S2_PLUS,2,24,7,40,1e-06,-9.986690884627794e-05,9989.008269970635,3329.716751208549,-1.82379271074732e-13,3.114424289375941e-13
S2_PLUS,2,24,8,33,1e-06,-9.986690884627799e-05,9989.008269970636,3329.716751208551,-3.789188285494828e-13,3.136139451122057e-13
S2_MINUS,2,24,1,21,-1e-06,-0.0001000872074331276,10013.30911537221,-834.069857380368,1.350049070271519e-13,-3.454625316747672e-14
S2_MINUS,2,24,2,24,-1e-06,-9.95948419534584e-05,9973.212334694359,-835.1381061703928,6.867838365291748e-14,-7.245956695563537e-14
S2_MINUS,2,24,3,28,-1e-06,-0.0001000872074331276,10013.30911537221,-834.0698573803681,6.899045274941645e-14,-6.37079852967393e-14
S2_MINUS,2,24,4,25,-1e-06,-0.0001000292256905745,10005.23995440029,-834.2636171945419,1.622108366457984e-14,-1.148991509590298e-13
S2_MINUS,2,24,5,32,-1e-06,-0.0001000870605952492,9994.977920176399,3335.987470271388,-4.37849996850209e-13,4.870043188836456e-13
S2_MINUS,2,24,6,36,-1e-06,-0.0001000870605952491,9994.977920176398,3335.987470271386,-3.334928070315497e-13,4.243994276596754e-13
S2_MINUS,2,24,7,40,-1e-06,-0.000100133091153722,10010.99173002936,3336.949915458116,-1.824711362003924e-13,3.119896565020535e-13
S2_MINUS,2,24,8,33,-1e-06,-0.0001001330911537221,10010.99173002937,3336.949915458117,-3.795803114495394e-13,3.141297054480439e-13
S3_PLUS,3,28,1,21,1e-06,-9.99707743094255e-05,9994.760045599709,-832.4030494721241,1.348104256532491e-13,-3.447342262445584e-14
S3_PLUS,3,28,2,24,1e-06,-9.991279256687243e-05,9986.690884627797,-832.5968092862981,6.854333332425421e-14,-7.221457273039231e-14
S3_PLUS,3,28,3,28,1e-06,-0.0001004051580465416,10026.78766530564,-831.5285604962731,6.85205130629629e-14,-6.337802766703223e-14
S3_PLUS,3,28,4,25,1e-06,-9.991279256687244e-05,9986.690884627797,-832.596809286298,1.615089384532922e-14,-1.147248313687951e-13
S3_PLUS,3,28,5,32,1e-06,-9.986690884627799e-05,9989.008269970636,3329.716751208551,-4.368912607006253e-13,4.862163853151156e-13
S3_PLUS,3,28,6,36,1e-06,-9.991293940475085e-05,10005.0220798236,3330.67919639528,-3.331121219097662e-13,4.239222766945658e-13
S3_PLUS,3,28,7,40,1e-06,-9.991293940475082e-05,10005.0220798236,3330.679196395279,-1.824163417439935e-13,3.116077640276428e-13
S3_PLUS,3,28,8,33,1e-06,-9.986690884627799e-05,9989.008269970636,3329.716751208551,-3.787295281082985e-13,3.135953548876172e-13
S3_MINUS,3,28,1,21,-1e-06,-0.0001000292256905745,10005.23995440029,-834.263617194542,1.350213821309869e-13,-3.461855051624795e-14
S3_MINUS,3,28,2,24,-1e-06,-0.0001000872074331276,10013.30911537221,-834.069857380368,6.864127387314912e-14,-7.226045963095691e-14
S3_MINUS,3,28,3,28,-1e-06,-9.959484195345842e-05,9973.212334694357,-835.1381061703929,6.936245188697508e-14,-6.399205602588171e-14
S3_MINUS,3,28,4,25,-1e-06,-0.0001000872074331276,10013.30911537221,-834.0698573803679,1.616448864575896e-14,-1.148655876565495e-13
S3_MINUS,3,28,5,32,-1e-06,-0.0001001330911537221,10010.99173002936,3336.949915458116,-4.380792035971717e-13,4.872042357428058e-13
S3_MINUS,3,28,6,36,-1e-06,-0.0001000870605952491,9994.977920176396,3335.987470271386,-3.334096317442314e-13,4.243844283733881e-13
S3_MINUS,3,28,7,40,-1e-06,-0.0001000870605952491,9994.977920176396,3335.987470271386,-1.82434065531131e-13,3.118243214120047e-13
S3_MINUS,3,28,8,33,-1e-06,-0.0001001330911537221,10010.99173002936,3336.949915458116,-3.797696118907235e-13,3.141482956726324e-13
S4_PLUS,4,25,1,21,1e-06,-9.991279256687244e-05,9986.690884627795,-832.596809286298,1.348585720681897e-13,-3.450513524379142e-14
S4_PLUS,4,25,2,24,1e-06,-9.997077430942549e-05,9994.760045599709,-832.4030494721241,6.852891117966591e-14,-7.213357473431717e-14
S4_PLUS,4,25,3,28,1e-06,-9.991279256687242e-05,9986.690884627795,-832.5968092862981,6.893468507475414e-14,-6.361466370257981e-14
S4_PLUS,4,25,4,25,1e-06,-0.0001004051580465416,10026.78766530564,-831.5285604962731,1.564498874891699e-14,-1.145533909100421e-13
S4_PLUS,4,25,5,32,1e-06,-9.986690884627799e-05,9989.008269970636,3329.716751208551,-4.369596209949281e-13,4.861405150274906e-13
S4_PLUS,4,25,6,36,1e-06,-9.986690884627795e-05,9989.008269970633,3329.716751208549,-3.328716100285124e-13,4.236646639274486e-13
S4_PLUS,4,25,7,40,1e-06,-9.991293940475082e-05,10005.0220798236,3330.679196395279,-1.825758573421086e-13,3.114487137136069e-13
S4_PLUS,4,25,8,33,1e-06,-9.991293940475088e-05,10005.0220798236,3330.679196395281,-3.7921199319516e-13,3.135926967797879e-13
S4_MINUS,4,25,1,21,-1e-06,-0.0001000872074331276,10013.30911537221,-834.069857380368,1.349732357160463e-13,-3.458683789691238e-14
S4_MINUS,4,25,2,24,-1e-06,-0.0001000292256905745,10005.23995440029,-834.263617194542,6.865569601773739e-14,-7.234145762703204e-14
S4_MINUS,4,25,3,28,-1e-06,-0.0001000872074331276,10013.30911537221,-834.0698573803683,6.894827987518387e-14,-6.375541999033418e-14
S4_MINUS,4,25,4,25,-1e-06,-9.959484195345842e-05,9973.212334694359,-835.1381061703928,1.66703937421712e-14,-1.150370281153026e-13
S4_MINUS,4,25,5,32,-1e-06,-0.0001001330911537221,10010.99173002937,3336.949915458116,-4.38010843302869e-13,4.872801060304306e-13
S4_MINUS,4,25,6,36,-1e-06,-0.000100133091153722,10010.99173002936,3336.949915458115,-3.336501436254851e-13,4.246420411405053e-13
S4_MINUS,4,25,7,40,-1e-06,-0.0001000870605952491,9994.977920176396,3335.987470271386,-1.822745499330158e-13,3.119833717260406e-13
S4_MINUS,4,25,8,33,-1e-06,-0.0001000870605952492,9994.977920176399,3335.987470271387,-3.792871468038622e-13,3.141509537804617e-13
S5_PLUS,5,32,1,21,1e-06,-0.000100357428759014,10045.30434858325,-835.9874702713863,1.355072718338502e-13,-3.471117050876281e-14
S5_PLUS,5,32,2,24,1e-06,-0.000100357428759014,10045.30434858325,-835.9874702713862,6.895706830001203e-14,-7.253152453535945e-14
S5_PLUS,5,32,3,28,1e-06,-0.0001000418124961301,10010.66530162251,-836.949915458116,6.95354539232422e-14,-6.417896706030209e-14
S5_PLUS,5,32,4,25,1e-06,-0.0001000418124961301,10010.66530162251,-836.9499154581158,1.668330239951452e-14,-1.153650050141423e-13
S5_PLUS,5,32,5,32,1e-06,-0.0001006107531349428,10045.30434858325,3347.132365211209,-4.399288987132142e-13,4.890862135507234e-13
S5_PLUS,5,32,6,36,1e-06,-0.0001003133680555556,10027.98482510288,3344.620224502317,-3.348146511228101e-13,4.257821651835007e-13
S5_PLUS,5,32,7,40,1e-06,-0.0001002028142518885,10010.66530162251,3342.835290576494,-1.832645904152188e-13,3.127490893124591e-13
S5_PLUS,5,32,8,33,1e-06,-0.0001003133680555556,10027.98482510288,3344.620224502318,-3.808633099285029e-13,3.152240791299037e-13
S5_MINUS,5,32,1,21,-1e-06,-9.964257124098604e-05,9954.695651416754,-830.6791963952799,1.343245359503857e-13,-3.438080263194097e-14
S5_MINUS,5,32,2,24,-1e-06,-9.964257124098604e-05,9954.695651416754,-830.6791963952796,6.822753889739132e-14,-7.194350782598977e-14
S5_MINUS,5,32,3,28,-1e-06,-9.995818750386994e-05,9989.334698377486,-829.7167512085502,6.83475110266958e-14,-6.319111663261188e-14
S5_MINUS,5,32,4,25,-1e-06,-9.995818750386994e-05,9989.334698377486,-829.71675120855,1.56320800915737e-14,-1.142254140112023e-13
S5_MINUS,5,32,5,32,-1e-06,-9.938924686505728e-05,9954.695651416754,3319.534301455458,-4.350415655845828e-13,4.843344075071979e-13
S5_MINUS,5,32,6,36,-1e-06,-9.968663194444444e-05,9972.01517489712,3322.046442164347,-3.317071025311875e-13,4.225245398844533e-13
