time,node,pressure,gap,shear,slip,normal_r,normal_z,tangential_r,tangential_z,heat
0.0625,13,0.0,8.022735889503739e-07,0.0,0.0,0.0,0.0,0.0,0.0,30.21713029966122
0.0625,14,0.0,8.022660866772659e-07,0.0,0.0,0.0,0.0,0.0,0.0,29.720071048814134
0.0625,21,0.0,8.022418186287586e-07,0.0,0.0,0.0,0.0,0.0,0.0,28.04569233330767
0.0625,28,0.0,8.021993487834111e-07,0.0,0.0,0.0,0.0,0.0,0.0,29.561125402779
0.0625,35,0.0,8.021399110049289e-07,0.0,0.0,0.0,0.0,0.0,0.0,28.037277802468456
0.0625,42,0.0,8.02076215751863e-07,0.0,0.0,0.0,0.0,0.0,0.0,29.56114704420543
0.0625,49,0.0,8.020391994208871e-07,0.0,0.0,0.0,0.0,0.0,0.0,28.044542914358317
0.0625,56,0.0,8.02096958220383e-07,0.0,0.0,0.0,0.0,0.0,0.0,29.72437445805554
0.0625,63,0.0,8.023355373943393e-07,0.0,0.0,0.0,0.0,0.0,0.0,30.205967667370714
0.125,13,0.0,3.7800622268695927e-07,0.0,0.0,0.0,0.0,0.0,0.0,118.02519383900288
0.125,14,0.0,3.780406588813068e-07,0.0,0.0,0.0,0.0,0.0,0.0,115.50109946938392
0.125,21,0.0,3.7804626295493554e-07,0.0,0.0,0.0,0.0,0.0,0.0,109.72411834336526
0.125,28,0.0,3.7802781492624124e-07,0.0,0.0,0.0,0.0,0.0,0.0,114.85148779638621
0.125,35,0.0,3.7797779632066587e-07,0.0,0.0,0.0,0.0,0.0,0.0,109.68559715092852
0.125,42,0.0,3.7790097237329e-07,0.0,0.0,0.0,0.0,0.0,0.0,114.85254041372174
0.125,49,0.0,3.778230342164909e-07,0.0,0.0,0.0,0.0,0.0,0.0,109.70972827362857
0.125,56,0.0,3.7782118045976056e-07,0.0,0.0,0.0,0.0,0.0,0.0,115.53887136960839
0.125,63,0.0,3.780144315060874e-07,0.0,0.0,0.0,0.0,0.0,0.0,117.93839248548466
