increment,time_s,node,x_m,y_m,z_m,opening_m,pressure_pa,slip1_m,slip2_m,normal_force1_n,normal_force2_n,normal_force3_n,shear_force1_n,shear_force2_n,shear_force3_n,contact_heat_flux_w,shear_traction1_pa,shear_traction2_pa,tangent1_x,tangent1_y,tangent1_z,tangent2_x,tangent2_y,tangent2_z,state
1,0.01999999955296516,13,0.9999057352889665,0.0008691268079764485,0.0004238595191372252,-1.573209813226077e-05,16617.16280366029,0.0004206604514661737,-0.0008394624707597227,4154.472737888919,0.3543332147738034,0.1770322073228204,0.00375931983044681,-69.67086448883482,-34.86714400489287,0.07417241847659424,139.4627189279961,-278.6711183635448,-4.257398504131487e-05,1.578254047244891e-06,0.9999999990924825,8.52533193533006e-05,-0.9999999963646846,1.58188361648588e-06,1
1,0.01999999955296516,16,0.9998205799543326,1.000904716182313,0.0004307073684543691,-1.809313589686348e-05,17797.16422025032,0.0004197445333270148,-0.0008363084107372665,4448.542395200522,0.3794135681400367,0.1901630279513369,0.009035335970002421,-74.47136547690853,-37.31257406519592,0.07676311576573788,149.2749905012504,-297.9358069147631,-4.277641830633824e-05,-1.933996328725709e-06,0.9999999990832188,8.525346859156681e-05,-0.9999999963640599,-1.930349485428989e-06,1
1,0.01999999955296516,19,0.999863260859145,0.0008724614505868453,1.000463155338167,-1.691231302468929e-05,17206.83624948201,0.000417310394531312,-0.0008389274630107083,4301.573909398856,0.3674604583067608,0.1832998245359352,0.006202961704625719,-72.12396287179391,-35.97570058991199,0.0754679738723442,143.9075878355349,-288.5047838008721,-4.257398503165021e-05,1.578254214928396e-06,0.9999999990924825,8.545606303126793e-05,-0.9999999963473795,1.58189241574759e-06,1
1,0.01999999955296516,22,0.9997777012097988,1.000901025496575,1.000455951414803,-1.927002282108122e-05,18386.00557706786,0.0004179061174984126,-0.0008365291005160848,4595.37967348043,0.392558018420862,0.1964392472766316,0.01228640799400424,-76.93202640334232,-38.44412799693122,0.07805235539910947,153.8136120532499,-307.8034414028472,-4.277641826872507e-05,-1.933995676131144e-06,0.9999999990832188,8.545621365118672e-05,-0.9999999963467547,-1.93034016009666e-06,1
2,0.03999999910593033,13,0.9999031476450356,0.001572801294298479,0.0007611007513754905,-2.889631685081357e-05,31953.6522795587,0.0007251047340123534,-0.001445743431610518,7989.103874661176,2.345366598818583,1.171306680789283,0.0600753627186802,-230.5833967045195,-115.4187205822673,0.3382235810157744,461.6372452077968,-922.252657100891,-0.0001463629025557997,4.99428960631703e-06,0.9999999892764789,0.0002933438922196922,-0.9999999569619927,5.037224108899885e-06,1
2,0.03999999910593033,16,0.9996103789251,1.001648534806217,0.0007842853612292913,-3.705364482714262e-05,36029.33073372795,0.0007215477723626126,-0.001438268383502628,9003.764964823982,2.643214815282262,1.327235926352809,0.1018467541910133,-259.2655532174641,-129.8914374396917,0.3719130216487379,519.765891759106,-1037.476030393144,-0.0001475621122608636,-7.125160304377802e-06,0.9999999890873276,0.0002933456610592712,-0.9999999569490842,-7.081873369547365e-06,1
2,0.03999999910593033,19,0.9997573714637297,0.00158385724327692,1.00085012233882,-3.297403965765862e-05,33990.17602330176,0.0007174073645379489,-0.001443494524658399,8496.819419688578,2.501217665661633,1.245717890333278,0.07871207142504749,-245.1148786432519,-122.2323744544851,0.3550931146795999,488.9736573689037,-980.5418844989874,-0.0001463629023150676,4.994292039204005e-06,0.9999999892764788,0.0002945468020565586,-0.999999956608402,5.037402601329885e-06,1
2,0.03999999910593033,22,0.9994622108337641,1.001635345654081,1.000824803680662,-4.111379427391462e-05,38061.4595609697,0.0007190391659707127,-0.00143861308092057,9509.941013722111,2.799426511592984,1.401827379891974,0.1300929079471734,-273.8250615009335,-136.853341573583,0.3885876973565517,547.7195578625513,-1095.927992502663,-0.0001475621113701774,-7.125151302927309e-06,0.9999999890873277,0.0002945485989882013,-0.9999999565954854,-7.081686857773617e-06,1
3,0.05999999865889549,13,0.9999582396970123,0.002171816645234058,0.00104349559567359,-4.041611681692252e-05,46470.55288199927,0.0009560793341028624,-0.001904630806448038,11619.20282430707,6.735234955519947,3.362849565417742,0.2484766685719024,-441.4352886199641,-220.9936521525697,0.9144076456276354,883.8624099913146,-1765.499761520225,-0.0002887249184018907,9.192898691400634e-06,0.9999999582767052,0.0005790496732086038,-0.9999998323069182,9.360083609971541e-06,1
3,0.05999999865889549,16,0.9993806695810487,1.002290238495746,0.001088706855677067,-5.657230400568301e-05,54541.10726060439,0.0009484579099652669,-0.001891747557461648,13627.11022390561,7.898961328835409,3.972018320689239,0.392151017824889,-516.1887232098383,-258.5663313735563,1.069620295493311,1034.860644017901,-2066.004610055407,-0.0002918378423804378,-1.479426052851024e-05,0.9999999573059009,0.0005790565769198676,-0.9999998322397768,-1.46252680490161e-05,1
3,0.05999999865889549,19,0.9996710297873962,0.00219300882905994,1.00118899083756,-4.849212382387012e-05,50502.94572282757,0.0009434314200111792,-0.001899586044866465,12624.13074874798,7.343983353761111,3.653512159723742,0.3117015487557545,-479.1951952227933,-238.9232888816915,0.9922955935875953,955.8223847577996,-1917.02067022149,-0.0002887249170662507,9.19290898339823e-06,0.9999999582767054,0.0005821770488885059,-0.9999998304911134,9.360996835861036e-06,1
3,0.05999999865889549,22,0.9990872592833708,1.002263438007827,1.001138167157914,-6.460681056904152e-05,58563.11792136246,0.0009460242849770399,-0.001891808736744043,14628.1108916021,8.509612350433317,4.263631640347054,0.4929821942636826,-553.9806832138617,-276.9155990049006,1.145859772176072,1108.595630510214,-2217.85512220185,-0.000291837837678153,-1.479422429426258e-05,0.9999999573059029,0.0005821840967234197,-0.9999998304238891,-1.462431906193812e-05,1
4,0.07999999821186066,13,1.00004766653917,0.002708207079765643,0.001293020607481615,-5.094039614669156e-05,60491.40452530616,0.00114314768127851,-0.002275448898990419,15125.6848627887,13.8000480377843,6.88922885824754,0.6232549796797442,-676.2574619627488,-338.585434212705,-0.5619132191036749,1354.100772058345,-2704.516009061952,-0.0004540836857793284,1.355940658042286e-05,0.9999998968120691,0.0009111640574963455,-0.9999995847923195,1.397314712575648e-05,2
4,0.07999999821186066,16,0.9991392610115365,1.002870603832014,0.001363400963212774,-7.643032516521612e-05,73222.61323299856,0.001130360182830008,-0.002256274156866773,18291.47453192732,16.68771665913995,8.401604003637296,0.9679935177705841,-817.7606607100645,-409.5262670472321,0.5359761165456756,1639.309779022377,-3273.610963863745,-0.0004599368160842844,-2.422285348589045e-05,0.9999998939356838,0.0009111811573759732,-0.9999995845910535,-2.380376018785995e-05,2
4,0.07999999821186066,19,0.9995964171352391,0.002740669297759106,1.001499179681622,-6.368100174321643e-05,66851.90117293374,0.001125226066702668,-0.002266708740800493,16710.35366274366,15.31110604246621,7.610324735860884,0.774626420044678,-747.7389255845897,-372.7919556587244,0.1378082796508937,1491.416828665836,-2991.417127558527,-0.0004540836816675839,1.35594331219461e-05,0.9999998968120706,0.0009170529780122132,-0.9999995794091672,1.397584765372749e-05,2
4,0.07999999821186066,22,0.9986763686184406,1.002827463937726,1.001418091110302,-8.909946416302093e-05,79565.22442260617,0.001128502891562721,-0.002255599019446967,19868.90847496704,18.20457827015556,9.125599279364991,1.21259248594045,-888.579947556213,-444.2494289360998,0.5973825988310408,1778.9310756543,-3558.362307336015,-0.0004599368022360725,-2.422276409495953e-05,0.9999998939356922,0.0009170705051475529,-0.9999995792075128,-2.380096195089352e-05,2
5,0.1000000014901161,13,1.000066050527953,0.003373926946190722,0.001610198139108275,-6.35746549005053e-05,75576.14125842333,0.001421379983411186,-0.002829197551953868,18898.23959488116,21.73390628513167,10.84901334386547,0.9833729216564071,-844.9299554077702,-423.0246304128202,-40.78049045521379,1691.741633018497,-3378.956818443225,-0.0005722580886223935,1.68503917905553e-05,0.9999998361183587,0.00114847488927408,-0.9999993403492385,1.750760758903315e-05,2
5,0.1000000014901161,16,0.998921153642607,1.003578219202703,0.001698318551021746,-9.561396582644888e-05,91571.21144997505,0.001404978566263662,-0.00280557844593296,22867.5446538423,26.29768848033229,13.2435158979762,1.524983393257578,-1022.379417457439,-511.9087257946725,-61.57654141439561,2049.794227165186,-4094.086285615582,-0.0005799463303007435,-3.051794232999582e-05,0.9999998313654405,0.001148501902512933,-0.9999993400259054,-2.985185775935806e-05,2
5,0.1000000014901161,19,0.9994974905487858,0.003414481043020686,1.001869487643398,-7.958842967833833e-05,83565.32070151994,0.001399240896362071,-0.002818019931531316,20886.07911368995,24.12730919016343,11.98906970508313,1.221485419868835,-934.5634070239608,-466.0026252848137,-51.10398164905536,1864.502335960948,-3739.181280985606,-0.0005722580809213118,1.685043923799368e-05,0.9999998361183624,0.001156220030718734,-0.9999993314240601,1.751208709816971e-05,2
5,0.1000000014901161,22,0.9983373160424827,1.00352397276585,1.001767634103825,-0.0001114982385555817,99527.98676828336,0.001403509971586689,-0.002804779367810286,24842.49773004562,28.69670852169248,14.3863756499211,1.909066142422662,-1110.990018443338,-555.492731827512,-72.12864232938992,2225.39411289592,-4451.082544394587,-0.0005799463037842665,-3.051777895825342e-05,0.9999998313654607,0.001156247743842219,-0.999999331099926,-2.984720197249503e-05,2
6,0.119999997317791,13,1.000086932078887,0.004035102783647999,0.001924935455119616,-7.616535772987791e-05,90645.35669510305,0.001696596420891567,-0.003376932202385334,22667.1182757816,31.54117586272623,15.74320943880711,1.429646674039876,-1013.441301536549,-507.3753749530657,-47.56698612465069,2029.011649643569,-4052.71554124895,-0.0006922513748893797,2.01022162787441e-05,0.9999997601919387,0.001389508407935774,-0.9999990344108779,2.106409102486225e-05,2
6,0.119999997317791,16,0.9987018692430216,1.004281800036745,0.002030871103339248,-0.000114833679402937,109940.9751634733,0.001676427538321926,-0.003349025878221816,27444.9456354793,38.18778644088504,19.23654254755897,2.213842330198744,-1227.081788771038,-614.2727760164354,-72.39143376762952,2460.55045662528,-4915.609021700134,-0.0007019192497589342,-3.691827135027518e-05,0.9999997529731736,0.001389547737549064,-0.99999903393213,-3.594289425825784e-05,2
6,0.119999997317791,19,0.9993993017432276,0.004083745034459962,1.002237997829092,-9.549061129550622e-05,100280.2571938464,0.001670370881514635,-0.003363222435500115,25061.04645841928,35.03438103961285,17.4041774053605,1.774831524302234,-1121.335384850102,-559.2338413876663,-59.87056543176926,2237.77320482399,-4486.937972602775,-0.0006922513619156326,2.010229279704068e-05,0.9999997601919463,0.001399259626724402,-0.9999990208137775,2.107091754870975e-05,2
6,0.119999997317791,22,0.9979950455870231,1.004216302742824,1.002115155021214,-0.0001339562536210497,119525.1667999633,0.001675696365988483,-0.003348118650140472,29818.7016440581,41.68386625370027,20.89893808783194,2.769665726387898,-1333.504519028968,-666.8193287239136,-85.0165785891638,2672.717072318835,-5345.296928776359,-0.0007019192040736794,-3.691800190162496e-05,0.9999997529732156,0.001399300010231741,-0.9999990203335706,-3.593577906123536e-05,2
7,0.1400000005960464,13,1.000110276768112,0.004691692433166094,0.002237199871221772,-8.871110004185423e-05,105698.8227022015,0.001968789244044784,-0.003918647586095458,26432.24799155844,43.26040484181526,21.59084271170279,1.964211105727779,-1181.788975766618,-591.6345928242472,-53.27762490088698,2365.899847860439,-4725.784891642495,-0.0008140432645732401,2.331545340835729e-05,0.9999996683949217,0.001634222661788194,-0.9999986643535472,2.464575838949238e-05,2
7,0.1400000005960464,16,0.9984814123715566,1.004981334866468,0.002361037390269468,-0.0001340915615483082,128333.3191213037,0.001944704754312202,-0.003886625475510156,32023.70733870875,52.40920352490811,26.40723446208568,3.037434233757161,-1431.87289105445,-716.6114594816703,-81.84578634766908,2871.579111262686,-5738.257817392157,-0.0008258312362537299,-4.34302771897364e-05,0.9999996580582315,0.001634276790212191,-0.9999986636834054,-4.208059672042587e-05,2
7,0.1400000005960464,19,0.9993018340575025,0.004748423355357009,1.002604717885065,-0.0001113875050096458,116997.1481379572,0.001938625469460403,-0.003902313549433657,29235.24910083144,48.07871077659443,23.87796281580422,2.43718834763346,-1308.051309879032,-652.4919963134178,-67.40698952921132,2611.265343194076,-5234.693724552557,-0.0008140432442799121,2.331556831300817e-05,0.9999996683949354,0.001646125999905006,-0.9999986448297296,2.465556264234141e-05,2
7,0.1400000005960464,22,0.9976495877543226,1.004904431973503,1.002460643902198,-0.0001564770031202018,139558.8546439073,0.001945066356853376,-0.003885623330015381,34797.55901627678,57.2239677337795,28.69256701307784,3.797718931901286,-1556.123543766997,-778.2332887922147,-96.42789834614391,3120.95950969712,-6241.09246345164,-0.0008258311631707535,-4.342986338000173e-05,0.99999965805831,0.001646181624638383,-0.999998644157153,-4.207035079443514e-05,2
8,0.1599999964237213,13,1.000138660403919,0.005333474665762046,0.002538514064454581,-0.0001010067128846399,120683.8451910283,0.002230951925804852,-0.004444734695303938,30180.57390631958,56.96942881118393,28.41667769623835,2.590977400843348,-1349.771659716201,-674.7461074633546,-56.40469414034187,2698.173782501671,-5397.336884245196,-0.0009395324017878781,2.742159106615327e-05,0.9999995582633636,0.001885826324990269,-0.9999982214018286,2.919335012580706e-05,2
8,0.1599999964237213,16,0.9982563818675102,1.00566985111273,0.002682658189886954,-0.0001536084754934979,146808.1201686074,0.002203677555032717,-0.004409824522477191,36618.85419744438,69.12017944779973,34.68652024749679,4.001853353442543,-1637.871122238901,-818.3677755743682,-88.07085955972616,3280.631291811217,-6566.504200324528,-0.000948069773749526,-5.136584936179014e-05,0.9999995492625253,0.001885900175364102,-0.9999982204597011,-4.957781534832959e-05,2
8,0.1599999964237213,19,0.9992030011096669,0.005400349837335285,1.002964668965342,-0.000127458856016952,133755.4674283995,0.002198094837529463,-0.004426515765005549,33418.66753719845,63.27429675393415,31.46325256006138,3.21016106079036,-1495.530641060011,-745.2523500713488,-72.13462722756358,2982.870611335087,-5985.705913929764,-0.0009395323839124179,2.742175603041545e-05,0.9999995582633759,0.001894517836100654,-0.9999982049731043,2.920168056632139e-05,2
8,0.1599999964237213,22,0.9973039204379678,1.005578950188083,1.002796422732495,-0.0001788635649177879,159580.7071601234,0.00220538981240358,-0.00440846273027194,39767.11174293744,75.29229692325207,37.66679371721518,4.989624239992597,-1778.773266248791,-888.5450863675757,-104.009827546999,3565.332570447844,-7138.160569498226,-0.000948069709006813,-5.136525188115806e-05,0.9999995492626171,0.001894592954924718,-0.9999982040286134,-4.956897578099784e-05,2
