time,element,point,heat_r,heat_z
0.10000000149011612,1,1,-102.61987303876381,-27.644456422026529
0.10000000149011612,1,2,-123.20050048449448,174.66160240665883
0.10000000149011612,1,3,109.67813296702784,-1.1855289751032871
0.10000000149011612,1,4,73.83078247269826,204.77710594522051
0.20000000298023224,1,1,-101.34002636234445,-27.786492659302262
0.20000000298023224,1,2,-119.51195421751501,170.82908520531083
0.20000000298023224,1,3,106.2110185432357,-0.72037409285911735
0.20000000298023224,1,4,71.875137307332579,197.7540850355895
0.30000000447034836,1,1,-101.34002636234445,-27.786492659302262
0.30000000447034836,1,2,-119.51195421751501,170.82908520531083
0.30000000447034836,1,3,106.2110185432357,-0.72037409285911735
0.30000000447034836,1,4,71.875137307332579,197.7540850355895
