time,node,pressure,gap,shear,slip,normal_r,normal_z,tangential_r,tangential_z
0.10000000149011612,2,1631275.7917977697,-1.810757994162789e-07,-107355.36614985958,-3.0050580793386914e-07,-3.7978271660372758,0.0052919092449001765,0.00031804989263028625,0.22825382418464457
0.10000000149011612,4,1858475.0154289752,-2.037957217786867e-07,128920.53338921105,3.162984292900831e-07,-4.2746264111136423,-0.0041841294182959959,0.00026468671259068929,-0.27041152392742873
0.10000000149011612,20,1744875.4036133725,-1.3859109988984685e-07,11519.229945361643,5.2188831965368705e-08,-11.628162518411768,-0.0029907904805745421,3.1217172366865677e-05,-0.12137204394787751
0.20000000298023224,2,1631013.5222642927,-1.810492695819203e-07,-107231.58675155923,-3.0015495312108354e-07,-3.7972706365418687,0.0052911226459935257,0.0003176313339532165,0.22795391797985723
0.20000000298023224,4,1858742.6437142212,-2.0382218172719502e-07,129071.74177671035,3.1662829993065545e-07,-4.2751813898829383,-0.0041845431262668188,0.00026498895521127332,-0.270728683074761
0.20000000298023224,20,1744878.0829892568,-1.3859197358819544e-07,11647.119160768954,5.251128682538884e-08,-11.628235618062037,-0.0029894172406357486,3.1395629232757113e-05,-0.12212272316265109
0.30000001192092896,2,918307.1979006801,-1.0980242602076197e-07,183661.43958013604,7.914653182857891e-06,-2.3026319460622262,0.0031109518112353526,-0.00062219036224707056,-0.46052638921244526
0.30000001192092896,4,2611803.398525323,-2.7915204608271083e-07,522360.67970506457,8.411761845945423e-06,-5.8549979739744389,-0.0051816960259472994,0.0010363392051894599,-1.1709995947948879
0.30000001192092896,20,1765055.2982130013,-1.4056211736046833e-07,353011.0596426003,8.147190729164369e-06,-11.792369296754524,0.0011096333427862857,-0.00022192666855725717,-2.3584738593509047
0.4000000059604645,2,1077447.2666300095,-1.273430896373221e-07,215489.45332600194,0.000497688870867738,-2.6709123624854842,0.0028544374174486633,-0.00057088748348973269,-0.53418247249709683
0.4000000059604645,4,2417844.3397161486,-2.613827969456583e-07,483568.86794322974,0.0004982885468285699,-5.4825770379681922,-0.0076809352958017215,0.0015361870591603446,-1.0965154075936385
0.4000000059604645,20,1747645.8031730792,-1.3556785436938581e-07,349529.1606346158,0.0004978926747009241,-11.374750425886019,0.006878137717612233,-0.0013756275435224466,-2.2749500851772035
0.5,2,915475.8512981703,-1.095793387074307e-07,183095.17025963406,0.000997960595808687,-2.2979541077322065,0.0031386324415513603,-0.00062772648831027199,-0.45959082154644137
0.5,4,2613553.3781338907,-2.793870913905357e-07,522710.6756267781,0.000998180439476808,-5.8599367521058756,-0.0051837501785769189,0.0010367500357153839,-1.1719873504211751
0.5,20,1764514.6147160304,-1.4038795431557162e-07,352902.9229432061,0.0009978951954946443,-11.777770980875125,0.00086664778559136704,-0.0001733295571182734,-2.3555541961750253
0.6000000238418579,2,915561.0608027561,-1.0957226407180602e-07,183112.21216055122,0.001997882425584097,-2.2978059839280771,0.0031379847600812461,-0.00062759695201624927,-0.45956119678561547
0.6000000238418579,4,2611998.141229705,-2.792159721140662e-07,522399.62824594113,0.0019979960416870806,-5.8563463595748875,-0.0051753786598682273,0.0010350757319736454,-1.1712692719149778
0.6000000238418579,20,1763779.6010162304,-1.403456441201253e-07,352755.9202032462,0.0019977453950744094,-11.774220180168246,0.00087860024956872874,-0.00017572004991374578,-2.3548440360336493
0.699999988079071,2,915788.7802505505,-1.0959331834909151e-07,183075.33220604697,0.001997882000297301,-2.2982477875699652,0.0031386402050259006,-0.00062746107655793539,-0.4594540746264491
0.699999988079071,4,2611712.111574279,-2.7918565148148704e-07,522194.50260495394,0.0019979957574442347,-5.8557109316339613,-0.0051750706748562494,0.0010347199396079096,-1.1708092975387188
0.699999988079071,20,1763750.4459124147,-1.403461639430609e-07,352634.9174055004,0.001997745061666293,-11.774265089321327,0.0008771781215089245,-0.00017537713264077651,-2.3540678907557115
0.800000011920929,2,2415669.5327379555,-2.611694086549641e-07,-483133.9065475911,0.001001325263923652,-5.4781074231563291,0.0076757481603468274,0.0015351496320693654,1.0956214846312657
0.800000011920929,4,1077158.0048736432,-1.2731825586829117e-07,-215431.6009747286,0.0010019307342657904,-2.6703965608693245,-0.0028494311908796987,-0.00056988623817593972,0.53407931217386495
0.800000011920929,20,1746413.7688057993,-1.3543646611930358e-07,-349282.75376115984,0.0010015868852406436,-11.363743717088052,-0.0068838939339135709,-0.0013767787867827144,2.272748743417611
0.8999999761581421,2,2610434.6727366685,-2.790536728288321e-07,-522086.93454733375,0.0005014359108276541,-5.8529472336833592,0.005162895252756248,0.0010325790505512499,1.170589446736672
0.8999999761581421,4,914908.2700408368,-1.0950103255847135e-07,-182981.65400816733,0.0005016601822970018,-2.2963151389015333,-0.0031347571901820088,-0.0006269514380364019,0.45926302778030664
0.8999999761581421,20,1762671.4713887526,-1.402467360297036e-07,-352534.29427775054,0.0005015866061092413,-11.765934189245806,-0.00086609300402071851,-0.00017321860080414371,2.3531868378491616
1.0,2,2411370.248557017,-2.606445464885799e-07,-482274.04971140355,1.584523419577758e-06,-5.4670880118911951,0.0075961361830983532,0.0015192272366196709,1.0934176023782392
1.0,4,1077396.9094544987,-1.272472125775817e-07,-215479.38189089976,1.8996862040424577e-06,-2.6689031578743427,-0.0028426929075202976,-0.00056853858150405947,0.53378063157486855
1.0,20,1744383.5790057578,-1.354233146357606e-07,-348876.71580115164,1.859064301298766e-06,-11.36261828082975,-0.0069153441472389462,-0.0013830688294477894,2.2725236561659501
