step,input_local_node,input_label,side,output_local_node,output_label,closure_delta_m,copen_m,cnormf_x_n,coord_y_m,coord_z_m
BASE,0,0,secondary,1,532,0,-9.999999999049099e-07,-8.333333332516647,1.647630481335708e-32,7.668348417848732e-33
BASE,0,0,secondary,2,535,0,-9.999999999015749e-07,-8.333333332526749,1,3.858078253890322e-33
BASE,0,0,secondary,3,536,0,-9.999999999127047e-07,-8.333333332505099,1.616834990535462e-33,1
BASE,0,0,secondary,4,539,0,-9.999999999026367e-07,-8.333333332530646,1,1
BASE,0,0,secondary,5,543,0,-9.999999999037988e-07,33.33333333010656,0.5,5.513025457467704e-35
BASE,0,0,secondary,6,547,0,-9.999999998994298e-07,33.33333333008108,0.5,1
BASE,0,0,secondary,7,548,0,-9.999999999066673e-07,33.33333333013599,1.074907942070897e-33,0.5
BASE,0,0,secondary,8,551,0,-9.999999999007258e-07,33.33333333006787,1,0.5
BASE,0,0,primary,1,2,0,,-0.04435905053601744,0,0
BASE,0,0,primary,2,3,0,,-0.1894137295221749,0.125,0
BASE,0,0,primary,3,6,0,,-0.1894137295222915,0,0.125
BASE,0,0,primary,4,7,0,,0.02643730609827983,0.125,0.125
BASE,0,0,primary,5,10,0,,0.3879856169338123,0.0625,0
BASE,0,0,primary,6,14,0,,0.9464044588270426,0.0625,0.125
BASE,0,0,primary,7,18,0,,0.3879856169338137,0,0.0625
BASE,0,0,primary,8,19,0,,0.9464044588265914,0.125,0.0625
BASE,0,0,primary,9,22,0,,0.02844182882983827,0,0.25
BASE,0,0,primary,10,23,0,,-0.2183214980932847,0.125,0.25
BASE,0,0,primary,11,26,0,,0.6504585048487225,0.0625,0.25
BASE,0,0,primary,12,30,0,,0.6532036005582076,0,0.1875
BASE,0,0,primary,13,31,0,,0.8258091017494982,0.125,0.1875
BASE,0,0,primary,14,34,0,,0.1786022524981412,0,0.375
BASE,0,0,primary,15,35,0,,-0.3570560145389284,0.125,0.375
BASE,0,0,primary,16,38,0,,1.57835645955034,0.0625,0.375
BASE,0,0,primary,17,42,0,,-0.1081156960473162,0,0.3125
