input_local_node,output_local_node,node,temperature_k,reaction_heat_flux_w
1,1,1,301,750001.3333333331
1,2,2,300,6.843484112728504e-15
1,3,3,300,-0.3333333333333009
1,4,4,300,-1.27454470588706e-14
1,5,5,300,-3.616486450586098e-14
1,6,6,300,-0.3333333333333336
1,7,7,300,-0.3333333333333366
1,8,8,300,-0.3333333333333282
2,1,9,300,-1.45252733452228e-14
2,2,10,301,750001.3333333329
2,3,11,300,-6.439293542825908e-15
2,4,12,300,-0.333333333333324
2,5,13,300,-0.3333333333333339
2,6,14,300,-8.335346302068558e-15
2,7,15,300,-0.3333333333333304
2,8,16,300,-0.3333333333333065
3,1,17,300,-0.3333333333333298
3,2,18,300,-8.180955912706622e-15
3,3,19,301,750001.3333333331
3,4,20,300,-1.521005543736464e-14
3,5,21,300,-0.3333333333333126
3,6,22,300,-0.333333333333309
3,7,23,300,-3.985700658404312e-14
3,8,24,300,-0.333333333333323
4,1,25,300,-9.311128257305512e-15
4,2,26,300,-0.3333333333333537
4,3,27,300,-1.917910275039958e-14
4,4,28,301,750001.3333333329
4,5,29,300,-0.333333333333317
4,6,30,300,-0.3333333333333171
4,7,31,300,-0.3333333333333156
4,8,32,300,5.542441505745899e-15
5,1,33,300,9.598875513883165e-15
5,2,34,300,-0.3333333333333237
5,3,35,300,-0.333333333333341
5,4,36,300,-0.3333333333333387
5,5,37,301,750001.3333333335
5,6,38,300,-2.294605477848322e-14
5,7,39,300,-0.3333333333333306
5,8,40,300,1.706534219492184e-14
6,1,41,300,-0.3333333333333447
6,2,42,300,-2.244385233218793e-14
6,3,43,300,-0.3333333333333543
6,4,44,300,-0.3333333333333584
6,5,45,300,1.642306082794143e-14
6,6,46,301,750001.3333333335
6,7,47,300,-5.585809592645319e-15
6,8,48,300,-0.3333333333332733
7,1,49,300,-0.3333333333333408
7,2,50,300,-0.3333333333333623
7,3,51,300,-4.266031972122164e-14
7,4,52,300,-0.3333333333333336
7,5,53,300,-0.333333333333328
7,6,54,300,2.817190924986335e-14
7,7,55,301,750001.3333333345
7,8,56,300,2.921274333544943e-14
8,1,57,300,-0.3333333333333268
8,2,58,300,-0.3333333333333354
8,3,59,300,-0.3333333333333316
8,4,60,300,-1.613986722048821e-14
8,5,61,300,-1.15857844151801e-14
8,6,62,300,-0.3333333333333226
8,7,63,300,-1.888766920643548e-14
8,8,64,301,750001.3333333331
