step,input_local_node,input_label,side,output_local_node,output_label,closure_delta_m,copen_m,cnormf_x_n,coord_y_m,coord_z_m
BASE,0,0,secondary,1,532,0,-0.0001000000000000452,-8.333333333327074e-06,0.1799499988555908,0.1799499988555908
BASE,0,0,secondary,2,535,0,-9.999999999992681e-05,-8.333333333329322e-06,0.1800500005483627,0.1799499988555908
BASE,0,0,secondary,3,536,0,-0.0001000000000000048,-8.333333333327645e-06,0.1799499988555908,0.1800500005483627
BASE,0,0,secondary,4,539,0,-0.0001000000000000026,-8.33333333332713e-06,0.1800500005483627,0.1800500005483627
BASE,0,0,secondary,5,543,0,-9.999999999996698e-05,3.333333333331807e-05,0.1800000071525574,0.1799499988555908
BASE,0,0,secondary,6,547,0,-0.0001000000000000037,3.333333333331219e-05,0.1800000071525574,0.1800500005483627
BASE,0,0,secondary,7,548,0,-9.999999999993789e-05,3.333333333331299e-05,0.1799499988555908,0.1800000071525574
BASE,0,0,secondary,8,551,0,-9.999999999995555e-05,3.33333333333102e-05,0.1800500005483627,0.1800000071525574
BASE,0,0,primary,1,2,0,,1.520632571110247e-33,0,0
BASE,0,0,primary,2,3,0,,9.609095833809343e-33,0.125,0
BASE,0,0,primary,3,6,0,,9.609095833809341e-33,0,0.125
BASE,0,0,primary,4,7,0,,-2.383358805331957e-05,0.125,0.125
BASE,0,0,primary,5,10,0,,-1.384775602172051e-33,0.0625,0
BASE,0,0,primary,6,14,0,,-9.408534668340311e-33,0.0625,0.125
BASE,0,0,primary,7,18,0,,-1.384775602172052e-33,0,0.0625
BASE,0,0,primary,8,19,0,,-9.408534668340325e-33,0.125,0.0625
BASE,0,0,primary,9,22,0,,9.721072678216694e-33,0,0.25
BASE,0,0,primary,10,23,0,,-2.463998933331911e-05,0.125,0.25
BASE,0,0,primary,11,26,0,,-9.628335017229094e-33,0.0625,0.25
BASE,0,0,primary,12,30,0,,-6.163793517132279e-33,0,0.1875
BASE,0,0,primary,13,31,0,,5.519358805330148e-05,0.125,0.1875
BASE,0,0,primary,14,34,0,,1.572082652776884e-33,0,0.375
BASE,0,0,primary,15,35,0,,9.044915768068932e-33,0.125,0.375
BASE,0,0,primary,16,38,0,,-1.431629009875728e-33,0.0625,0.375
BASE,0,0,primary,17,42,0,,-1.431629009875727e-33,0,0.3125
BASE,0,0,primary,18,43,0,,-9.617841837080939e-33,0.125,0.3125
BASE,0,0,primary,19,46,0,,-6.092891017497143e-61,0,0.5
BASE,0,0,primary,20,47,0,,-1.756016488434715e-60,0.125,0.5
BASE,0,0,primary,21,50,0,,5.908813346762815e-61,0.0625,0.5
BASE,0,0,primary,22,54,0,,5.916224595418e-61,0,0.4375
BASE,0,0,primary,23,55,0,,2.437012690316384e-60,0.125,0.4375
BASE,0,0,primary,24,58,0,,-6.256600940540198e-89,0,0.625
BASE,0,0,primary,25,59,0,,-1.25958837385711e-88,0.125,0.625
BASE,0,0,primary,26,62,0,,5.390354849689499e-89,0.0625,0.625
BASE,0,0,primary,27,66,0,,6.934403094235512e-89,0,0.5625
BASE,0,0,primary,28,67,0,,-6.389414373332105e-89,0.125,0.5625
BASE,0,0,primary,29,70,0,,1.996404135420095e-115,0,0.75
BASE,0,0,primary,30,71,0,,5.359077886261711e-115,0.125,0.75
BASE,0,0,primary,31,74,0,,-1.705232131982255e-115,0.0625,0.75
BASE,0,0,primary,32,78,0,,-1.999271436999145e-115,0,0.6875
BASE,0,0,primary,33,79,0,,-5.591910714336364e-115,0.125,0.6875
BASE,0,0,primary,34,82,0,,-1.812903052810688e-142,0,0.875
BASE,0,0,primary,35,83,0,,-5.002255025910616e-142,0.125,0.875
BASE,0,0,primary,36,86,0,,1.523481342020129e-142,0.0625,0.875
BASE,0,0,primary,37,90,0,,1.813205565372045e-142,0,0.8125
BASE,0,0,primary,38,91,0,,5.684931534301684e-142,0.125,0.8125
BASE,0,0,primary,39,94,0,,1.304648198325366e-169,0,1
BASE,0,0,primary,40,95,0,,3.682846637183619e-169,0.125,1
BASE,0,0,primary,41,98,0,,-1.104854222247726e-169,0.0625,1
BASE,0,0,primary,42,102,0,,-1.284687576352747e-169,0,0.9375
BASE,0,0,primary,43,103,0,,-4.268958639724406e-169,0.125,0.9375
BASE,0,0,primary,44,105,0,,9.72107267821669e-33,0.25,0
BASE,0,0,primary,45,107,0,,-2.463998933331911e-05,0.25,0.125
BASE,0,0,primary,46,109,0,,-6.16379351713227e-33,0.1875,0
BASE,0,0,primary,47,112,0,,5.519358805330146e-05,0.1875,0.125
BASE,0,0,primary,48,115,0,,-9.628335017229088e-33,0.25,0.0625
BASE,0,0,primary,49,117,0,,-2.400639061331947e-05,0.25,0.25
BASE,0,0,primary,50,119,0,,4.336639061330829e-05,0.1875,0.25
BASE,0,0,primary,51,122,0,,4.336639061330829e-05,0.25,0.1875
BASE,0,0,primary,52,124,0,,8.956934279143057e-33,0.25,0.375
BASE,0,0,primary,53,126,0,,-5.456536043354916e-33,0.1875,0.375
BASE,0,0,primary,54,129,0,,-9.445142185969923e-33,0.25,0.3125
BASE,0,0,primary,55,131,0,,-1.276206916996434e-60,0.25,0.5
BASE,0,0,primary,56,133,0,,7.456017633158887e-61,0.1875,0.5
BASE,0,0,primary,57,136,0,,1.695253531014556e-60,0.25,0.4375
BASE,0,0,primary,58,138,0,,-4.460723912167715e-88,0.25,0.625
BASE,0,0,primary,59,140,0,,1.559958847051215e-88,0.1875,0.625
BASE,0,0,primary,60,143,0,,4.421529360393908e-88,0.25,0.5625
BASE,0,0,primary,61,145,0,,7.016151498868856e-115,0.25,0.75
BASE,0,0,primary,62,147,0,,-2.67799459639487e-115,0.1875,0.75
BASE,0,0,primary,63,150,0,,-8.03244130377218e-115,0.25,0.6875
BASE,0,0,primary,64,152,0,,-5.996416661861099e-142,0.25,0.875
BASE,0,0,primary,65,154,0,,2.247219692671082e-142,0.1875,0.875
BASE,0,0,primary,66,157,0,,7.060217339791811e-142,0.25,0.8125
BASE,0,0,primary,67,159,0,,4.32940664047034e-169,0.25,1
BASE,0,0,primary,68,161,0,,-1.62343926421675e-169,0.1875,1
BASE,0,0,primary,69,164,0,,-5.087279350088811e-169,0.25,0.9375
BASE,0,0,primary,70,166,0,,1.572082652776886e-33,0.375,0
BASE,0,0,primary,71,168,0,,9.04491576806893e-33,0.375,0.125
BASE,0,0,primary,72,170,0,,-1.43162900987573e-33,0.3125,0
BASE,0,0,primary,73,173,0,,-9.617841837080947e-33,0.3125,0.125
BASE,0,0,primary,74,176,0,,-1.431629009875729e-33,0.375,0.0625
BASE,0,0,primary,75,178,0,,8.956934279143054e-33,0.375,0.25
BASE,0,0,primary,76,180,0,,-9.445142185969938e-33,0.3125,0.25
BASE,0,0,primary,77,183,0,,-5.456536043354905e-33,0.375,0.1875
BASE,0,0,primary,78,185,0,,1.531657734443574e-33,0.375,0.375
BASE,0,0,primary,79,187,0,,-1.394815750912786e-33,0.3125,0.375
BASE,0,0,primary,80,190,0,,-1.394815750912783e-33,0.375,0.3125
BASE,0,0,primary,81,192,0,,-1.765880483006765e-61,0.375,0.5
BASE,0,0,primary,82,194,0,,1.511397711498643e-61,0.3125,0.5
BASE,0,0,primary,83,197,0,,1.512603665244469e-61,0.375,0.4375
BASE,0,0,primary,84,199,0,,-4.18739155078313e-88,0.375,0.625
BASE,0,0,primary,85,201,0,,2.228520575664882e-88,0.3125,0.625
BASE,0,0,primary,86,204,0,,4.883946644855864e-88,0.375,0.5625
