normal_displacement,normal_x,normal_y,normal_z,id,x,y,z
0,1,0,0,0,0,0,0
-4.975124378109452e-06,1,0,0,1,1,0,0
-4.975124378109454e-06,1,0,0,2,1,1,0
0,1,0,0,3,0,1,0
0,1,0,0,4,0,0,1
-4.975124378109453e-06,1,0,0,5,1,0,1
-4.975124378109452e-06,1,0,0,6,1,1,1
0,1,0,0,7,0,1,1
-5.024875621890546e-06,1,0,0,8,1,0,0
-1e-05,1,0,0,9,2,0,0
-1e-05,1,0,0,10,2,1,0
-5.024875621890548e-06,1,0,0,11,1,1,0
-5.024875621890549e-06,1,0,0,12,1,0,1
-1e-05,1,0,0,13,2,0,1
-1e-05,1,0,0,14,2,1,1
-5.024875621890547e-06,1,0,0,15,1,1,1
