y,z
1.647630481336e-32,7.668348417849e-33
1.000000000000e+00,3.858078253890e-33
1.616834990535e-33,1.000000000000e+00
1.000000000000e+00,1.000000000000e+00
5.000000000000e-01,5.513025457468e-35
5.000000000000e-01,1.000000000000e+00
1.074907942071e-33,5.000000000000e-01
1.000000000000e+00,5.000000000000e-01
