step,time,id,x,y,z,cnormf_x,cnormf_y,cnormf_z,cshearf_x,cshearf_y,cshearf_z,cslip1,cslip2,copen,cpress
1,1,56,1,2.777936478323686e-32,1.551477688300735e-32,-498.0706396601132,1.054445347540595e-13,0,7.464221513290666e-15,38.71880223154536,0,0,-2.304147454811549e-06,-5.045765664155546e-08,4988.453579507533
1,1,59,1,1.200000047683716,0,-825.6938569632932,1.15299311852002e-14,0,1.074458412672919e-15,60.67358627830356,0,0,-2.674236233814567e-06,-5.020295101891526e-08,4990.67277028165
1,1,60,1,6.449304205380386e-33,1,-498.2795852850584,-4.344234688293803e-14,0,-2.902120746408313e-15,38.73174519053129,0,0,-2.304584759462113e-06,-5.03906037643136e-08,4981.420205284649
1,1,63,1,1.200000047683716,1,-825.609542955709,7.37454963418215e-14,0,5.77925025049633e-15,60.66752763301676,0,0,-2.674139925817886e-06,-5.02240896226444e-08,4992.652704825336
1,1,67,1,0.6000000238418579,0,1995.627107433897,-3.397428667383643e-14,0,-2.881776263065785e-15,-151.5795270935386,0,0,-2.534498742887666e-06,-5.012746744666196e-08,5007.092541064491
1,1,68,1,1.110010572742252e-32,0.5,1984.294987630067,-6.901363055984046e-14,0,-5.29386158873891e-15,-147.8297035582912,0,0,-2.385427841943857e-06,-4.864658519497927e-08,4984.93689239609
1,1,71,1,1.200000047683716,0.5,3320.377930573532,5.376839349380768e-14,0,4.144354745281343e-15,-254.5461376486002,0,0,-2.623589897122286e-06,-5.031842987416355e-08,4991.662737553494
1,1,75,1,0.6000000238418579,1,1995.220143828844,-1.014300419473117e-13,0,-7.337887485823692e-15,-151.5521257184453,0,0,-2.534628941887064e-06,-5.009466771495428e-08,5004.468740890325
1,1,77,1,2,4.125053004366027e-32,-327.1390812584281,-2.253310668721948e-14,0,-1.737426271395048e-15,24.88685322342145,0,0,-2.237988115292562e-06,-5.103178874854133e-08,5038.103365557165
1,1,79,1,2,1,-327.0656655749472,-1.011312324809736e-13,0,-7.072847123871155e-15,24.88191184283057,0,0,-2.237960214890899e-06,-5.106537534851084e-08,5041.522260393873
1,1,82,1,1.600000023841858,-4.123017048150403e-34,1314.552929587207,1.252054431987324e-13,0,9.340120843637389e-15,-97.27241359417948,0,0,-2.446344045136834e-06,-4.792354671981979e-08,4996.858701749507
