time,node,temperature,ur,uz,rf_r,rf_z,reaction_heat
0.5,1,600.3553496871019,-1.5244935725755778e-51,-2.1399720370586783e-51,-5.9301868153435473e-05,0.0005196040437160823,0.0
0.5,2,600.3514745113716,2.4028146661579291e-09,-1.5814932492756586e-37,0.0,0.31545925855437673,0.0
0.5,3,600.3509593509418,2.3760684571908787e-09,6.0719071643826044e-09,0.0,0.0,0.0
0.5,4,600.3549517538164,-1.2769829240621244e-40,6.072328904229355e-09,0.00013115732116978165,0.0,0.0
0.5,5,600.3412205873332,4.7356473255650833e-09,-2.8504506671405381e-37,0.0,0.56879532825472179,0.0
0.5,6,600.3403528782977,4.6832119548106428e-09,6.0733098738749739e-09,0.0,0.0,0.0
0.5,7,600.3204825131562,6.9099685807257664e-09,-3.3349182761335258e-37,0.0,0.66470645222620162,0.0
0.5,8,600.3187302532516,6.8317542713161216e-09,6.0813352269463458e-09,0.0,0.0,0.0
0.5,9,600.2818159301586,8.7714843225303354e-09,-2.1049774169449721e-37,0.0,0.41557549488036127,0.0
0.5,10,600.2778616618018,8.6611712705979749e-09,6.1033170381816184e-09,0.0,0.0,0.0
0.5,11,600.211361676506,1.0043481590606288e-08,2.7157707395371092e-37,0.0,-0.55977680259104434,0.0
0.5,12,600.201708853611,9.8739548041617823e-09,6.1459999165189929e-09,0.0,0.0,0.0
0.5,13,600.0841212084052,1.0224792402038847e-08,7.0329259593050873e-48,0.0,-1.5492790162450993,0.0
0.5,14,600.0590143475425,9.9047908053945671e-09,6.2080905775070632e-09,0.0,0.0,0.0
0.5,15,600.3506029740945,2.2936991110368494e-09,1.2419942993840125e-08,0.0,0.0,0.0
0.5,16,600.3546524707599,1.4462884310988888e-39,1.2447920427002101e-08,-0.00088937400922943044,0.0,0.0
0.5,17,600.3398548523928,4.5324709668247842e-09,1.2347307894779369e-08,0.0,0.0,0.0
0.5,18,600.3179993001442,6.6384671066935369e-09,1.2249361595440065e-08,0.0,0.0,0.0
0.5,19,600.2769332314157,8.45608064615361e-09,1.2158353137402936e-08,0.0,0.0,0.0
0.5,20,600.201343627924,9.6827944305772694e-09,1.210836127071515e-08,0.0,0.0,0.0
0.5,21,600.0630343227069,9.7547939334634949e-09,1.2131699005582499e-08,0.0,0.0,0.0
0.5,22,600.350928087652,2.1462214039087734e-09,1.9864551632799639e-08,0.0,0.0,0.0
0.5,23,600.3549248400468,1.4520909137681124e-39,1.9989620711594338e-08,-0.00092761387645634997,0.0,0.0
0.5,24,600.3403103068426,4.2539025680912365e-09,1.9506094032647899e-08,0.0,0.0,0.0
0.5,25,600.3186657262733,6.2684682762310998e-09,1.8963239951432864e-08,0.0,0.0,0.0
0.5,26,600.2777594610376,8.0661431395902986e-09,1.8334815232326221e-08,0.0,0.0,0.0
0.5,27,600.2015484814121,9.364223080701607e-09,1.777135318510444e-08,0.0,0.0,0.0
0.5,28,600.0587808364993,9.5625038364503953e-09,1.7514965861988512e-08,0.0,0.0,0.0
0.5,29,600.3514223741762,2.8398820315727893e-09,2.839909478081148e-08,0.0,0.0,0.0
0.5,30,600.3553060467257,8.5422480406392325e-51,2.8631026113562655e-08,0.00042735298027764935,0.0,0.0
0.5,31,600.3411450122593,5.5974401993571021e-09,2.7693503176939981e-08,0.0,0.0,0.0
0.5,32,600.3203559112247,8.1685066476863089e-09,2.6486587971163159e-08,0.0,0.0,0.0
0.5,33,600.2815835672641,1.0383318349649696e-08,2.4750268946496449e-08,0.0,0.0,0.0
0.5,34,600.2109077750496,1.1979679413205554e-08,2.2507997013097817e-08,0.0,0.0,0.0
0.5,35,600.0831896393597,1.2559019045763067e-08,2.0174110428073816e-08,0.0,0.0,0.0
0.5,36,600.0796788869955,-3.6425593053550944e-07,-5.528499669090674e-43,0.0,-5.2718447469155558,0.0
0.5,37,600.0375711602948,-3.8949132683929209e-07,5.6370738755508416e-36,0.0,-11.274148933406249,0.0
0.5,38,600.0257465957259,-3.8949132683929156e-07,4.0000000000000062e-07,0.0,0.0,0.0
0.5,39,600.05300180771,-3.642559305355088e-07,4.0000000000000067e-07,0.0,0.0,0.0
0.5,40,600.0,-4.1472672314307464e-07,-6.29453595167372e-43,0.0,-6.0023041864907869,-0.053653807586916166
0.5,41,600.0,-4.1472672314307417e-07,4.0000000000000046e-07,0.0,0.0,-0.0898871701072233
0.5,42,600.0277776542007,-3.8949132683929072e-07,8.000000000000006e-07,0.0,0.0,0.0
0.5,43,600.0582547869998,-3.6425593053550806e-07,8.000000000000007e-07,0.0,0.0,0.0
0.5,44,600.0,-4.1472672314307321e-07,8.0000000000000028e-07,0.0,0.0,-0.08777416163341942
0.5,45,600.0278366546228,-3.8949132683929167e-07,1.2000000000000004e-06,0.0,0.0,0.0
0.5,46,600.0583982824031,-3.6425593053550896e-07,1.2000000000000002e-06,0.0,0.0,0.0
0.5,47,600.0,-4.1472672314307411e-07,1.2000000000000006e-06,0.0,0.0,-0.0877526452547486
0.5,48,600.0255371053654,-3.894913268392913e-07,1.600000000000001e-06,0.0,0.0,0.0
0.5,49,600.0525538716971,-3.6425593053550864e-07,1.6000000000000012e-06,0.0,0.0,0.0
0.5,50,600.0,-4.1472672314307364e-07,1.600000000000001e-06,0.0,0.0,-0.08930735763172229
0.5,51,600.0372590837824,-3.8949132683929008e-07,1.9999999999999999e-06,0.0,11.274148933405765,0.0
0.5,52,600.0790254397135,-3.6425593053550748e-07,1.9999999999999999e-06,0.0,5.2718447469154386,0.0
0.5,53,600.0,-4.1472672314307237e-07,1.9999999999999999e-06,0.0,6.0023041864911066,-0.05321052008748579
0.5,54,600.3534120992367,1.2056836249207931e-09,-1.1850773254261671e-48,0.0,0.31845852872324126,0.0
0.5,55,600.3512169311567,2.3950829408895168e-09,3.0237328519141844e-09,0.0,0.0,0.0
0.5,56,600.3529555523792,1.1923582980594329e-09,6.0717172166960837e-09,0.0,0.0,0.0
0.5,57,600.3551507204592,4.6240889115463657e-51,3.0222092185666167e-09,8.5933015875375428e-05,0.0,0.0
0.5,58,600.3463475493525,3.5817376898666663e-09,-3.530352375694749e-48,0.0,0.89195299620181201,0.0
0.5,59,600.3407867328154,4.7202594385085077e-09,3.0288234949659308e-09,0.0,0.0,0.0
