time,node,temperature,ux,uy,uz,rx,ry,rz
0.10000000149011612,1,600.0,3.6318863339252199e-31,3.6462925852835106e-31,3.6462925852834196e-31,16735808.617219305,9.884078071510027e-05,9.8861751514892513e-05
0.10000000149011612,2,600.0,0.0015,3.6462925852836262e-31,3.6462925852836087e-31,-16735808.617219301,9.8829499754421967e-05,9.8843293215227992e-05
0.10000000149011612,3,600.0,0.0015,-0.00054917029659099111,3.6462925852835527e-31,-16735808.617219312,0.0,9.8858163581374772e-05
0.10000000149011612,4,600.0,3.6318863339254126e-31,-0.00054917029659099013,3.6462925852835702e-31,16735808.617219305,0.0,9.8847276859615146e-05
0.10000000149011612,5,600.0,3.6318863339252847e-31,3.6462925852835036e-31,-0.00054917029659098926,16735808.617219293,9.8837761085400312e-05,0.0
0.10000000149011612,6,600.0,0.0015,3.6462925852834546e-31,-0.00054917029659099111,-16735808.61721931,9.8839224642824518e-05,0.0
0.10000000149011612,7,600.0,0.0015,-0.000549170296590991,-0.000549170296590991,-16735808.617219305,0.0,0.0
0.10000000149011612,8,600.0,3.6318863339254529e-31,-0.00054917029659099013,-0.00054917029659099078,16735808.617219293,0.0,0.0
0.10000000149011612,9,600.0,0.00074999999999999861,-1.4585170341134771e-30,-1.4585170341134799e-30,0.0,-0.000395354027479892,-0.00039536137519161611
0.10000000149011612,10,600.0,0.0015,-0.00027458514829549588,-1.4585170341134729e-30,66943234.468878657,0.0,-0.00039536833708698197
0.10000000149011612,11,600.0,0.00075000000000000012,-0.00054917029659099046,-1.4585170341134575e-30,0.0,0.0,-0.00039536609800284328
0.10000000149011612,12,600.0,-1.4527545335701833e-30,-0.00027458514829549463,-1.4585170341134715e-30,-66943234.468878627,0.0,-0.00039535795607239019
0.10000000149011612,13,600.0,0.00074999999999999915,-1.4585170341134785e-30,-0.00054917029659099067,0.0,-0.00039536643184339023,0.0
0.10000000149011612,14,600.0,0.0015,-0.0002745851482954961,-0.00054917029659099089,66943234.468878664,0.0,0.0
0.10000000149011612,15,600.0,0.00075000000000000121,-0.00054917029659099046,-0.00054917029659099013,0.0,0.0,0.0
0.10000000149011612,16,600.0,-1.4527545335701749e-30,-0.00027458514829549458,-0.00054917029659099024,-66943234.468878627,0.0,0.0
0.10000000149011612,17,600.0,-1.4527545335701896e-30,-1.4585170341134799e-30,-0.0002745851482954948,-66943234.468878634,-0.00039536375808032462,0.0
0.10000000149011612,18,600.0,0.0015,-1.4585170341134589e-30,-0.00027458514829549572,66943234.468878642,-0.00039535910172224995,0.0
0.10000000149011612,19,600.0,0.0015,-0.00054917029659099089,-0.00027458514829549599,66943234.468878634,0.0,0.0
0.10000000149011612,20,600.0,-1.4527545335701819e-30,-0.00054917029659099024,-0.00027458514829549507,-66943234.468878627,0.0,0.0
0.20000000298023224,1,600.0,9.7852869819823678e-37,9.8241009263195073e-37,9.8241003377741523e-37,16804784.61939732,3.1783269661051082e-10,-1.2531621402576588e-08
0.20000000298023224,2,600.0,0.002,9.824100243186506e-37,9.82410033076766e-37,-16804784.619397357,2.388459547865247e-08,-9.7123325402065394e-09
0.20000000298023224,3,600.0,0.002,-0.00079834258456722628,9.8241009473389843e-37,-16804784.619397342,0.0,-1.0231644084639596e-08
0.20000000298023224,4,600.0,9.7852866001285362e-37,-0.0007983425845672265,9.8241001731215827e-37,16804784.619397331,0.0,-6.5178137339970977e-09
0.20000000298023224,5,600.0,9.7852865353184823e-37,9.824100113566398e-37,-0.0007983425845672252,16804784.61939732,6.4201876549151461e-09,0.0
0.20000000298023224,6,600.0,0.002,9.8241008352351071e-37,-0.00079834258456722693,-16804784.619397357,1.691158510806123e-08,0.0
0.20000000298023224,7,600.0,0.002,-0.00079834258456722693,-0.00079834258456722693,-16804784.619397331,0.0,0.0
0.20000000298023224,8,600.0,9.7852865843639285e-37,-0.00079834258456722563,-0.00079834258456722661,16804784.61939735,0.0,0.0
0.20000000298023224,9,600.0,0.001,-3.929640171543421e-36,-3.9296401827538087e-36,0.0,-9.2949017417366071e-09,1.2155961209350814e-08
0.20000000298023224,10,600.0,0.002,-0.0003991712922836133,-3.9296401617343317e-36,67219138.477590814,0.0,-2.7738413204670697e-09
0.20000000298023224,11,600.0,0.001,-0.00079834258456722628,-3.9296401687408241e-36,0.0,0.0,-8.1463267285198149e-09
0.20000000298023224,12,600.0,-3.9141147395436055e-36,-0.00039917129228361303,-3.9296401911615995e-36,-67219138.47759077,0.0,5.9175423639115758e-09
0.20000000298023224,13,600.0,0.00099999999999999872,-3.9296402093784795e-36,-0.0007983425845672265,0.0,-4.8168127429449965e-09,0.0
0.20000000298023224,14,600.0,0.002,-0.0003991712922836139,-0.00079834258456722683,67219138.477590784,0.0,0.0
0.20000000298023224,15,600.0,0.0010000000000000007,-0.00079834258456722628,-0.00079834258456722585,0.0,0.0,0.0
0.20000000298023224,16,600.0,-3.9141147647669778e-36,-0.00039917129228361233,-0.00079834258456722607,-67219138.47759077,0.0,0.0
0.20000000298023224,17,600.0,-3.9141147402442547e-36,-3.9296401911615995e-36,-0.00039917129228361314,-67219138.477590784,7.1375066495783003e-10,0.0
0.20000000298023224,18,600.0,0.002,-3.9296401953654949e-36,-0.00039917129228361282,67219138.477590799,-3.7369219183489899e-09,0.0
0.20000000298023224,19,600.0,0.002,-0.0007983425845672265,-0.0003991712922836139,67219138.477590784,0.0,0.0
